-[ RECORD 1 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-25345-474754
job_title                      | Data Systems Manager I
employer_name                  | Montana State University
secondary_entity_business_name | 
employer_phone                 | 14069943651
employer_poc_first_name        | Renee
employer_poc_last_name         | Lineback
employer_poc_email             | Internationaltax@montana.edu
employer_poc_phone             | 14069947926
employer_poc_phone_ext         | 
worksite_address1              | 910 Technology Blvd, PO Box 173240
worksite_address2              | 2nd Flr
worksite_city                  | Bozeman
worksite_county                | 
lawfirm_name_business_name     | Berry Appleman & Leiden LLP
employer_address1              | 47 Renne Library
employer_address2              | PO Box 172520
employer_city                  | Bozeman
employer_state                 | MT
employer_postal_code           | 59717
begin_date                     | 2026-06-01
end_date                       | 2029-05-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Montana State University
soc_code                       | 15-2051.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-25307-362449
job_title                      | Elementary School Teacher
employer_name                  | Shelby Public School District 14
secondary_entity_business_name | 
employer_phone                 | 14064248910
employer_poc_first_name        | Elliott
employer_poc_last_name         | Crump
employer_poc_email             | elliott.crump@shelby.k12.mt.us
employer_poc_phone             | 14064248910
employer_poc_phone_ext         | 1
worksite_address1              | 453 Union School Road
worksite_address2              | 
worksite_city                  | Ledger
worksite_county                | 
lawfirm_name_business_name     | Law Offices of Elaine O San Juan
employer_address1              | 1010 Oilfield Avenue
employer_address2              | 
employer_city                  | Shelby
employer_state                 | MT
employer_postal_code           | 59474
begin_date                     | 2026-05-05
end_date                       | 2029-05-04
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Shelby Public School District 14
soc_code                       | 25-2021.00
h_1b_dependent                 | No
-[ RECORD 3 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-25324-423595
job_title                      | Data Systems Manager I
employer_name                  | Montana Technological University, which is part of The University of Montana
secondary_entity_business_name | 
employer_phone                 | 14064964477
employer_poc_first_name        | Margie
employer_poc_last_name         | Pascoe
employer_poc_email             | mpascoe@mtech.edu
employer_poc_phone             | 14064964477
employer_poc_phone_ext         | 
worksite_address1              | 1300 W Park St.
worksite_address2              | 
worksite_city                  | Butte
worksite_county                | 
lawfirm_name_business_name     | Curray York & Associates LLC
employer_address1              | 1300 West Park Street
employer_address2              | 
employer_city                  | Butte
employer_state                 | MT
employer_postal_code           | 59701
begin_date                     | 2026-04-01
end_date                       | 2029-03-31
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Montana Technological University, which is part of The University of Montana
soc_code                       | 11-3021.00
h_1b_dependent                 | No
-[ RECORD 4 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-25328-433019
job_title                      | Physical Therapist
employer_name                  | Northeast Montana Health Services
secondary_entity_business_name | Northeast Montana Health Services Inc
employer_phone                 | 14066536500
employer_poc_first_name        | Julie
employer_poc_last_name         | Kauffold
employer_poc_email             | jkauffold@nemhs.net
employer_poc_phone             | 14066536582
employer_poc_phone_ext         | 
worksite_address1              | 211 H Street East
worksite_address2              | 
worksite_city                  | Poplar
worksite_county                | 
lawfirm_name_business_name     | Birdwell & Aamold PC
employer_address1              | 315 Knapp Street
employer_address2              | 
