count|employer_name|employer_address1|employer_address2|employer_city
7|Southern Veterinary Partners LLC|2204 Lakeshore Drive|Suite 325|Homewood
7|Southern Veterinary Partners LLC|2204 Lakeshore Drive|Suite 325|Birmingham
7|Southern Veterinary Partners|2204 Lakeshore Drive|Suite 325|Birmingham
7|Southern Veterinary Partners|2204 Lakeshore Drive|Suite 325|Homewood
7|Oak View Animal Hospital, PC|2204 Lakeshore Drive|Suite 325|Birmingham
7|Oak View Animal Hospital, PLLC|2204 Lakeshore Drive|Suite 325 W|Birmingham
7|Southern Veterinary Partners LLC|2204 Lakeshore Drive|Suite 325 W|Birmingham
4|Goodwyn, Mills and Cawood Inc|2660 EastChase Lane|Suite 200|Montgomery
4|Goodwyn Mills Cawood LLC|2660 EastChase Lane|Suite 200|Montgomery
4|Goodwyn Mills and Cawood LLC|2660 EastChase Lane|Suite 200|Montgomery
4|Goodwyn, Mills and Cawood LLC|2660 EastChase Lane|Suite 200|Montgomery
4|INTERGRAPH CORPORATION|305 INTERGRAPH WAY||Madison
4|INTERGRAPH CORPORATION|305 INTERGRAPH WAY||MADISON
4|Intergraph Corporation|305 Intergraph Way|N/A|Madison
4|Intergraph Corporation|305 Intergraph Way||Madison
4|Euclid Technology Solutions LLC|540 Devall Dr|STE 301|Auburn
4|Fullsteam Personnel LLC|540 Devall Dr|STE 301|Auburn
4|Fullsteam Personnel LLC|540 Devall Dr|Ste 301|Auburn
4|Fullsteam Personnel LLC|540 Devall Dr|Suite 301|Auburn
3|ARD Logistics LLC|10093 Brose Drive||Vance
3|ARD Logistics - Alabama LLC|10093 Brose Drive||Vance
3|ARD Logistics-Alabama LLC|10093 Brose Drive||Vance
3|GURU GROUP LLC|1801 HONEYSUCKLE ROAD||DOTHAN
3|Guru Group LLC|1801 HONEYSUCKLE ROAD||DOTHAN
3|Guru Group LLC|1801 Honeysuckle Road||Dothan
3|Alliance Technical Group LLC|255 Grant St. SE|Suite 600|Decatur
3|Alliance Source Testing|255 Grant St. SE|Suite 600|Decatur
3|Alliance Technical Group|255 Grant St. SE|Suite 600|Decatur
3|Astrape Consulting LLC|3000 Riverchase Galleria|Suite 575|Hoover
3|Foundation for Advancing Science Technology Education and Research|3000 Riverchase Galleria|Suite 755|Hoover
3|Foundation for Advancing Science, Technology, Education and Research|3000 Riverchase Galleria|Suite 755|Hoover
3|EAG Affordable Housing LLC|3595 GRANDVIEW PKWY|SUITE 500|Birmingham
3|EAG Affordable Housing LLC|3595 Grandview Pkwy|Suite 500|Birmingham
3|Tidwell Group LLC|3595 Grandview Pkwy|Suite 500|Birmingham
3|MESA ASSOCIATES INC|480 PRODUCTION AVENUE||MADISON
3|Mesa Associates Inc|480 Production Avenue||Madison
3|Mesa Associates Inc|480 Production Avenue||MADISON
3|MARATHON TARGETS INC|4950 GILMER DR NW|SUITE B|HUNTSVILLE
3|MARATHON TARGETS INC|4950 Gilmer Dr NW|STE B|HUNTSVILLE
3|Marathon Targets Inc|4950 Gilmer Dr NW|STE B|Huntsville
3|CStoreIQ Inc|6210 Mastin Lake Road NW||Huntsville
3|CStoreIQ LLC|6210 Mastin Lake Road NW||Huntsville
3|Lakshmi Distributors LLC|6210 Mastin Lake Road NW||Huntsville
3|Carr, Riggs & Ingram LLC|901 Boll Weevil Cir|Ste 200|Enterprise
3|CRI Advisors LLC|901 Boll Weevil Cir|Suite 200|Enterprise
3|Carr, Riggs & Ingram LLC|901 Boll Weevil Cir|Suite 200|Enterprise
3|Adah Enterprises Inc|950 22nd Street North|Suite 424|Birmingham
3|abatUS LLC|950 22nd Street North|Suite 707|Birmingham
3|Adah Enterprises Inc|950 22nd Street North|Suite 715|Birmingham
2|GURU GROUP LLC|104 S WOODBURN DR||DOTHAN
2|GURUGROUP LLC|104 S WOODBURN DR||DOTHAN
2|Adventa Corporation|155 Autumn Drive|STE A|Harvest
2|Adventa Corporation|155 Autumn Drive|Suite A|Harvest
2|Hargrove & Associates Inc|20 South Royal Street|Suite 300|Mobile
2|Hargrove & Associates Inc|20 South Royal Street||Mobile
2|Tandem Exosuits Inc|2627 10th Avenue|117|Tuscaloosa
2|City Detect Inc|2627 10th Avenue|Suite 131|Tuscaloosa
2|TTL INC|2890 Rice Mine Road NE||TUSCALOOSA
2|TTL Inc|2890 Rice Mine Road NE||TUSCALOOSA
2|CKP, LLP|323 Samford Village Court|Suite 100|Auburn
2|CKP, LLP AL|323 Samford Village Court|Suite 100|Auburn
2|CHOI, KIM & PARK, LLP|323 Samford Village Court 100||Auburn
2|CKP, LLP|323 Samford Village Court 100||Auburn
2|BURR & FORMAN LLP|420 NORTH 20TH STREET|SUITE 3400|BIRMINGHAM
2|PACIFIC CONSULTANCY SERVICES LLC|420 North 20th Street|Suite 2200|Birmingham
2|Computer Programs and Systems Inc|54 St. Emanuel St.||Mobile
2|TruBridge Inc|54 St. Emanuel St.||Mobile
2|Nanoxort LLC|540 Devall Drive|Suite 101 1A02|Auburn
2|Euclid Technology Solutions LLC|540 Devall Drive|Suite 301|Auburn
2|Gulf States Engineering Inc|600 AZALEA ROAD||Mobile
2|Gulf States Engineering Inc|600 Azalea Road||Mobile
2|Prepaid Technologies Company|600 University Park Place|Suite 400|Homewood
2|Daxko LLC|600 University Park Place|Suite 500|Birmingham
2|Eurofins Diatherix Laboratories LLC|601 Genome Way|Suite 2100|Huntsville
2|HudsonAlpha Institute for Biotechnology|601 Genome Way||Huntsville
2|Unify Systems Inc|8650 Minnie Brown Road|Suite 201|Montgomery
2|Unify Systems Inc|8650 Minnie Brown Road|Suite 233|Montgomery
2|RG GROUP INC|8824 MARSTON WAY|N/A|MONTGOMERY
2|RG GROUP INC|8824 MARSTON WAY||MONTGOMERY
1|CITW Inc|1 Chase Corporate Dr|Suite 400|Birmingham
1|Tom McLeod Software Corporation|100 Corporate Parkway||Birmingham
1|ZEBKA LLC|100 Pointe Haven Ct||Huntsville
1|PSE Designs Inc|1000 Hillcrest Road|Suite 222|Mobile
1|Intermark Group Inc|101 25th St. North|Suite 200|Birmingham
1|The Arche Inc|1037 Royal Mile||Hoover
1|Auto Electronic America Corp.|1040 Friction Drive||Prattville
1|Warren Averett Companies LLC|105 Tallapoosa St.|Suite 300|Montgomery
1|Pilot Catastrophe Services Inc|1055 Hillcrest Road||Mobile
1|Adventa Corporation|107 PLACID DRIVE, Suite A||Harvest
1|Volkert Inc|11 N Water St|Ste 18290|Mobile
1|Volkert Inc|11 N. Water St|Suite 18290|Mobile
1|PEARCE BEVILL LEESBURG & MOORE P.C.|110 Office Park Drive|Suite 100|Birmingham
1|Sarralle USA Inc|1110 Montlimar Drive|Suite 555|Mobile
1|Seay, Seay & Litchfield, P.C.|1115 South Court Street||Montgomery
1|K.C. Sol-Tech Inc|1127 W Veterans Blvd|B|Auburn
1|K.C. Sol-Tech Inc|1127 W. Veterans Blvd.|B|Auburn
1|Vel True Technologies LLC|114 Chilton Place||Clanton
1|Luckie & Company LLC|1143 1st Avenue S., Suite 110||Birmingham
1|Luckie & Company LLC|1145 1st Avenue S|Suite 110|Birmingham
1|3-GIS LLC|115 Clinton Ave E, Suite C||Huntsville
1|3-GIS LLC|115 Clinton Ave, Suite C||Huntsville
1|OSHIN AUTOMATION & ROBOTICS LLC|130 WEXFOROAD WAY||Tuscaloosa
1|OSHIN AUTOMATION & ROBOTICS LLC|130 Wexford Way||Tuscaloosa
1|Clear Winds Technologies Inc|13001 Liberty Parkway||Vestavia Hills
