count|employer_name|employer_address1|employer_address2|employer_city
11|Qbotica Inc|10000 N 31ST AVE|STE D 304A|PHOENIX
11|QBOTICA INC|10000 N 31ST AVE|STE D 304A|PHOENIX
11|VIRTUOUSPROS INC|10000 N 31ST AVE|SUITE D404D|PHOENIX
11|VIRTUOUSPROS INC|10000 N 31ST AVE|SUITE D404D|PHOENIX,
11|VIRTUOUSPROS INC|10000 N 31ST AVE|SUITE D406D|PHOENIX
11|Qbotica Inc|10000 N 31st AVE|STE D 304A|Phoenix
11|Qbotica Inc|10000 N 31st Ave|STE D 304 A|Phoenix
11|VIRTUOUSPROS INC|10000 N 31st Ave|STE D404D|Phoenix
11|Cloud Data LLC|10000 N 31st Ave|Suite D133|Phoenix
11|Cloud Data LLC|10000 N 31st Ave|Suite D216|Phoenix
11|Virtuouspros Inc|10000 N 31st Ave|Suite D406D|Phoenix
11|appsFreedom Inc|3133 W Frye Road|Suite 101|Chandler
11|AppsFreedom Inc|3133 W Frye Road|Suite 101|Chandler
11|Global Patent Solutions LLC|3133 W Frye Road|Suite 101 1280|Chandler
11|Mobivity Inc|3133 W Frye Road|Suite 215|Chandler
11|CPA Global North America LLC|3133 W Frye Road|Suite 401|Chandler
11|Clarivate Analytics (US) LLC|3133 W Frye Road|Suite 401|Chandler
11|Decision Resources LLC|3133 W Frye Road|Suite 401|Chandler
11|Decision Resources LLC|3133 W Frye Road||Chandler
11|Clarivate Analytics (US) LLC|3133 W Frye Road||Chandler
11|CPA Global (Landon IP) Inc|3133 W Frye Road||Chandler
11|MicroPatent LLC|3133 W Frye Road||Chandler
7|SIERRA BUSINESS SOLUTION LLC|6909 W RAY ROAD|SUITE 15 137|CHANDLER
7|Virat Inc|6909 W Ray Road|148|Chandler
7|Inherent Technologies LLC|6909 W Ray Road|Suite 115 129|Chandler
7|BNB Tech Source Inc|6909 W Ray Road|Suite 15 143|Chandler
7|Cloudglee LLC|6909 W Ray Road|Suite 21 27|Chandler
7|Vijayanand Inc|6909 W Ray Road|Suite 21 5|Chandler
7|InfoDrive Systems Inc|6909 W Ray Road|Suite 21 9|Chandler
6|GIRIKON INC|15433 N TATUM BLVD|105|PHOENIX
6|Girikon Inc|15433 N TATUM BLVD|STE 105|Phoenix
6|GIRIKON INC|15433 N TATUM BLVD|STE 105|PHOENIX
6|GIRIKON INC|15433 N TATUM BLVD|SUITE 105|PHOENIX
