count|employer_name|employer_address1|employer_city|employer_state
4|K2 CONSULTING SERVICES LLC|425 W CAPITOL AVE|LITTLE ROCK|AR
4|QUALITY GLOBAL SERVICE INC|425 W CAPITOL AVE|LITTLE ROCK|AR
4|QUALITY GLOBAL SERVICES INC|425 W CAPITOL AVE|LITTLE ROCK|AR
4|VRPRO IT LLC|425 W CAPITOL AVE|LITTLE ROCK|AR
3|AMS IT SOLUTIONS LLC|609 SW 8TH STREET|BENTONVILLE|AR
3|FEDERAL SOFT SYSTEMS INC|3101 SW I ST|BENTONVILLE|AR
3|FIRST SOFT SYSTEMS LLC|1116 S WALTON BLVD|BENTONVILLE|AR
3|MAVIS SOLUTIONS LLC|1116 S WALTON BLVD|BENTONVILLE|AR
3|NATIONAL SOFT SYSTEMS INC|3101 SW I ST|BENTONVILLE|AR
3|NXT IT LLC|609 SW 8TH STREET|BENTONVILLE|AR
3|QBRAINX INC|1116 S WALTON BLVD|BENTONVILLE|AR
3|SEGRA SOFTWARE SOLUTIONS INC|609 SW 8TH STREET|BENTONVILLE|AR
3|UNIQUELOGICSOLUTIONS INC|3101 SW I ST|BENTONVILLE|AR
2|DREAM & RISE ASSOCIATES LLC|4505 SW BIRMINGHAM ST.|BENTONVILLE|AR
2|DREAM & RISE ASSOCIATES LLC DBA EMPHASIS SOFTTECH|4505 SW BIRMINGHAM ST.|BENTONVILLE|AR
2|K TEK SOFT INC|2704 SE OTIS CORLEY DRIVE|BENTONVILLE|AR
2|K TEK SOFT NC|2704 SE OTIS CORLEY DRIVE|BENTONVILLE|AR
2|NOVUSTECH INC|1039 W WALNUT ST|ROGERS|AR
2|NOVUSTECHINC|1039 W WALNUT ST|ROGERS|AR
2|SELECT JARVIS LLC|202 NORTH WALTON BLVD|BENTONVILLE|AR
2|TECSOURCE INTERNATIONAL LLC|11901 CRYSTAL HILL ROAD|MAUMELLE|AR
2|TECSOURCE INTERNATIONAL LLC|11901 CRYSTAL HILL ROAD|NORTH LITTLE ROCK|AR
2|UNIQUELOGICSOLUTIONS INC|202 NORTH WALTON BLVD|BENTONVILLE|AR
1|AARIV TECHNOLOGIES INC|650 S SHACKLEFORD ROAD|LITTLE ROCK|AR
1|AARIV TECHNOLOGIES INC|10201 W MARKHAM ST|LITTLE ROCK|AR
1|ABCO COMPUTERS INC|1008 NW J ST|BENTONVILLE|AR
1|AVCO CONSULTING INC|615 JB HUNT CORPORATE DRIVE|LOWELL|AR
1|C & S MANAGEMENT LLC|2301 MCLAIN ST|NEWPORT|AR
1|CLOUD CENTRIC INC|1128 N WALTON BLVD|BENTONVILLE|AR
1|CONFIZ LLC|3326 160TH AVENUE SE|BELLEVUE|AR
1|CREVAVI INC|1202 NE MCCLAIN ROAD, BLDG 7|BENTONVILLE|AR
1|DAKSH IT INC|900 SE 5TH ST|BENTONVILLE|AR
1|ICONNECTIT INTERNATIONAL LLC|2200 SE J ST|BENTONVILLE|AR
1|INTELIBLUE LLC|300 SPRING BLDG.|LITTLE ROCK|AR
1|INVINCIBLE TECH SYSTEMS INC|1803 SW REGIONAL AIRPORT BLVD|BENTONVILLE|AR
1|IVORSOURCE LLC|106 SE EXECUTIVE DRIVE|BENTONVILLE|AR
1|K TEK SOFT INC|2704 SE OTIS CORLEY DR|BENTONVILLE|AR
1|K TEK SOFT NC|1770 KING ROAD|CENTERTON|AR
1|KEE TECHNOLOGIES GROUP INC|4 MCKISSIC CREEK ROAD|BENTONVILLE|AR
1|KITESTRING CONSULTING INC|908 S. WALTON BLVD.|BENTONVILLE|AR
1|LIBERTYCOM LLC|303 WEST CAPITOL AVE|LITTLE ROCK|AR
1|MAVIS SOLUTIONS LLC|4204 SW HOLLOWBROOK ST|BENTONVILLE|AR
1|NATIONAL SOFT SYSTEMS INC|118 N 13TH ST|ROGERS|AR
1|NOVUSTECH INC|1039 W WALNUT ST, UNIT D|ROGERS|AR
1|PALADINO AND COMPANY P.A.|501 MILLWOOD CIRCLE|MAUMELLE|AR
1|PALADINO AND COMPANY P.A.|17300 CHENAL PKWY|LITTLE ROCK|AR
1|PARSH SYSTEMS INC|136 HOLLAND LN|LITTLE ROCK|AR
1|PEARLSOFT SOLUTIONS INC|11415 HURON LN,|LITTLE ROCK|AR
1|PEARLSOFT SOLUTIONS INC|2024 ARKANSAS VALLEY DRIVE|LITTLE ROCK|AR
1|PEARLSOFT SOLUTIONS INC|2024 ARKANSAS VALLEY DR., STE. 306|LITTLE ROCK|AR
1|PEARLSOFT SOLUTIONS INC|11415 HURON LN|LITTLE ROCK|AR
1|QUALITATIVE FINANCIALS LLC|1202 NE MC CLAIN ROAD BUILDING 7|BENTONVILLE|AR
1|UNITED SOLUTIONS LLC|813 W CENTRAL AVE|BENTONVILLE|AR
1|UNITED SOLUTIONS LLC|1811 SW HAYFIELD AVE|BENTONVILLE|AR
1|USA SOFT SYSTEMS LLC|1120 S WALTON SUITES|BENTONVILLE|AR
1|VALUEPRO INC|417 MAIN ST|LITTLE ROCK|AR
1|VIDHA IT SOLUTIONS LLC|1202 NE MCCLAIN ROAD|BENTONVILLE|AR
(57 rows)
