count|employer_name|employer_address1|employer_city|employer_state
16|ACKERMAN TECHNOLOGIES LLC|39899 BALENTINE DRIVE|NEWARK|CA
16|ANAYA TECHNOLOGIES INC|39899 BALENTINE DRIVE|NEWARK|CA
16|APPNET GLOBAL INC|39899 BALENTINE DRIVE|NEWARK|CA
16|CLOUDWICK TECHNOLOGIES INC|39899 BALENTINE DRIVE|NEWARK|CA
16|ESSDEE CONSULTING INC|39899 BALENTINE DRIVE|NEWARK|CA
16|ETOUCH SYSTEMS CORPORATION|39899 BALENTINE DRIVE|NEWARK|CA
16|GLOBALSYNC LLC|39899 BALENTINE DRIVE|NEWARK|CA
16|GROWTHARC INC|39899 BALENTINE DRIVE|NEWARK|CA
16|KPI PARTNERS INC|39899 BALENTINE DRIVE|NEWARK|CA
16|OSO VENTURES INC|39899 BALENTINE DRIVE|NEWARK|CA
16|PROSPANCE INC|39899 BALENTINE DRIVE|NEWARK|CA
16|READPOINTE|39899 BALENTINE DRIVE|NEWARK|CA
16|SAKHA INC|39899 BALENTINE DRIVE|NEWARK|CA
16|SANVEO INC|39899 BALENTINE DRIVE|NEWARK|CA
16|SONATA SOFTWARE NORTH AMERICA INC|39899 BALENTINE DRIVE|NEWARK|CA
16|TRICOPP INC|39899 BALENTINE DRIVE|NEWARK|CA
10|CONFIG CONSULTANTS LLC|4900 HOPYARD ROAD|PLEASANTON|CA
10|COUGAR TECH|4900 HOPYARD ROAD|PLEASANTON|CA
10|COUGAR TECH INC|4900 HOPYARD ROAD|PLEASANTON|CA
10|DOTSOLVED SYSTEMS INC|4900 HOPYARD ROAD|PLEASANTON|CA
10|FIVED INFOTECH INC|4900 HOPYARD ROAD|PLEASANTON|CA
10|INTERNATIONAL B2B SOLUTIONS INC|4900 HOPYARD ROAD|PLEASANTON|CA
10|KUBAYRA INC|4900 HOPYARD ROAD|PLEASANTON|CA
10|TECHTU BUSINESS SOLUTIONS INC|4900 HOPYARD ROAD|PLEASANTON|CA
10|TRAVANCORE ANALYTICS INC|4900 HOPYARD ROAD|PLEASANTON|CA
10|UNITED TECHNO SOLUTIONS INC|4900 HOPYARD ROAD|PLEASANTON|CA
