count|employer_name|employer_address1|employer_city|employer_state
4|APPIC SOLUTIONS LLC|10233 SOUTH PARKER ROAD|PARKER|CO
4|OBJECT EXPERTS LLC|10233 SOUTH PARKER ROAD|PARKER|CO
4|SRILAKSMITECH LLC|10233 SOUTH PARKER ROAD|PARKER|CO
4|TECH9 IT-SOLUTIONS INC|10233 SOUTH PARKER ROAD|PARKER|CO
3|ARCADIS U.S. INC|630 PLAZA DRIVE|HIGHLANDS RANCH|CO
3|DPS GROUP GLOBAL|630 PLAZA DRIVE|HIGHLANDS RANCH|CO
3|DPS GROUP INC|630 PLAZA DRIVE|HIGHLANDS RANCH|CO
3|FIGURE8 CLOUD SOLUTIONS LLC|1624 MARKET STREET|DENVER|CO
3|GALEY SYSTEMS INC|2005 MARFELL ST|ERIE|CO
3|GALEY SYSTEMS LLC|2005 MARFELL ST|ERIE|CO
3|TALENT CLUSTR LLC|2005 MARFELL ST|ERIE|CO
3|THE CLAY MATHEMATICS INSTITUTE|1624 MARKET STREET|DENVER|CO
3|THE CLAY MATHEMATICS INSTITUTE INC|1624 MARKET STREET|DENVER|CO
2|AGILIAD LLC|4770 BASELINE ROAD|BOULDER|CO
2|DATAVAIL CORPORATION|4770 BASELINE ROAD|BOULDER|CO
2|DONATO USA INC|925 S NIAGARA STREET|DENVER|CO
2|DONATOUSA INC|925 S NIAGARA STREET|DENVER|CO
2|ERP NEW LEVEL TECHNOLOGIES INC|6825 S GALENA ST|COLORADO|CO
2|ERP NEW LEVEL TECHNOLOGIES INC|6825 S GALENA ST|CENTENNIAL|CO
2|GALEY SYSTEMS INC|425 GOLDEN EAGLE DR|BROOMFIELD|CO
2|GALEY SYSTEMS INC|601 S BOWEN ST|LONGMONT|CO
2|GALEY SYSTEMS LLC|425 GOLDEN EAGLE DR|BROOMFIELD|CO
2|OBJECT EXPERTS LLC|19751 E MAINSTREET|PARKER|CO
2|SYSCONSULT LLC|19751 E MAINSTREET|PARKER|CO
2|TALENT CLUSTR LLC|601 S BOWEN ST|LONGMONT|CO
2|UTILITY DATA CONTRACTORS INC|82 INVERNESS DRIVE E.|ENGLEWOOD|CO
2|UTILITY DATA CONTRACTORS LLC (FORMERLY INC)|82 INVERNESS DRIVE E.|ENGLEWOOD|CO
1|6E TECHNOLOGIES LLC|6795 EAST TENNESSEE AVE|DENVER|CO
1|7ITTECH LLC|5720 MONTVIEW BLVD|DENVER|CO
1|AA TECH GROUP LLC|10471 S PARKER ROAD|PARKER|CO
1|ACCESS DATA CONSULTING CORPORATION|8101 E. PRENTICE AVENUE|GREENWOOD VILLAGE|CO
1|ACOMPETENT INC|825 N. CIRCLE DR|COLORADO SPRINGS|CO
1|ACOMPETENT INC|825 N CIRCLE DR|COLORADO SPRINGS|CO
1|ACOMPETENT INC|5825 DELMONICO DR|COLORADO SPRINGS|CO
1|ALLIANCE FOR SUSTAINABLE ENERGY LLC|15013 DENVER WEST PARKWAY|GOLDEN|CO
1|ALTEN TECHNOLOGY USA INC|10875 DOVER STREET|WESTMINSTER|CO
1|AMERICAN ANALYST INC|638 W 171ST PL|BROOMFIELD|CO
1|APPIC SOLUTIONS LLC|8400 E CRESCENT PARKWAY|GREENWOOD VILLAGE|CO
1|APPIC SOLUTIONS LLC|10233 SOUTH PARKER ROAD, SUITE 300|PARKER|CO
1|APPIC SOLUTIONS LLC|17116 ROSE MALLOW AVENUE|PARKER|CO
1|APPIC SOLUTIONS LLC|6312 S FIDDLERS GREEN CIRCLE|GREENWOOD VILLAGE|CO
1|APPIC SOLUTIONS LLC|5445 DTC PARKWAY, PENTHOUSE 4|GREENWOOD VILLAGE|CO
1|ARCADIS U.S. INC|630  PLAZA DRIVE|HIGHLANDS RANCH|CO
1|ARIATT INC|6400 S FIDDLERS GREEN CIRCLE|GREENWOOD VILLAGE|CO
1|ARKSTEK INC|2600 S. PARKER ROAD, BUILDING 7|AURORA|CO
1|ARKSTEK INC|2600 S PARKER ROAD|AURORA|CO
1|ARKSTEK INC|2600 S. PARKER ROAD,  BUILDING 7|AURORA|CO
1|ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY|3665 DISCOVERY DRIVE|BOULDER|CO
1|AUREUS TECHSYSTEMS LLC|7400 E. ORCHARD ROAD|GREENWOOD VILLAGE|CO
1|BARN OWL PRECISION AGRICULTURE INC|220 SANTA FE AVENUE|LA JUNTA|CO
1|BETSOL LLC|10901 W 120TH AVE|BROOMFIELD|CO
1|CAP GLOBAL INC|1644 PLATTE STREET|DENVER|CO
1|CENTRA INC|5838 RIVERBLUFF DR.|TIMNATH|CO
1|CLOUD CONSULTING SERVICES INC|932 S PARIS COURT|AURORA|CO
1|COGNITION LLC|4610 S. ULSTER ST.|DENVER|CO
1|CONDUIT CONSULTANCY SERVICES LLC|33101 E QUINCY AVENUE|WATKINS|CO
1|CONNECT MEDIA NETWORKS LLC|3190 SOUTH VAUGHN WAY|AURORA|CO
1|CONQUEST INFOSYS INC|10753 RIVERBROOK CIR|HIGHLANDS RANCH|CO
1|CUBEFORE LLC|1514  CURTIS STREET|DENVER|CO
1|DATAMANUSA LLC|6890 S. TUCSON WAY, SUITE  100|CENTENNIAL|CO
1|DATAMANUSA LLC|6890 S TUCSON WAY|CENTENNIAL|CO
1|DATAVAIL CORPORATION|11800 RIDGE PARKWAY, SUITE 125|BROOMFIELD|CO
1|EFFULGENT INC|11014 BLUEGATE WAY|HIGHLANDS RANCH|CO
1|EINFOCHIPS INC|9151 E PANORAMA CIR|CENTENNIAL|CO
1|EINFOCHIPS INC|9151 E PANORAMA CIRCLE|CENTENNIAL|CO
1|ELLAB INC|303 EAST 17TH AVENUE|DENVER|CO
1|ERP NEW LEVEL TECHNOLOGIES INC|6825 S. GALENA ST.|CENTENNIAL|CO
1|EXTENDEED INC|11099 SHADOWBROOK CIR.|HIGHLANDS RANCH|CO
1|FAST ENTERPRISES LLC|7229 S ALTON WAY|CENTENNIAL|CO
1|FIGURE8 CLOUD SOLUTIONS LLC|1580 N LOGAN STREET|DENVER|CO
1|FLAKASOFT INC|11001 W. 120TH AVENUE SUITE. 400|BROOMFIELD|CO
1|FLAKASOFT INC|11001 W. 120TH AVE|BROOMFIELD|CO
1|GIGIT INC|4770 BASELLINE ROAD|BOULDER|CO
1|GLOBALCLICK LLC|6909 S HOLLY CIRCLE|CENTENNIAL|CO
1|HCL GLOBAL SYSTEMS LLC|1745 SHEA CENTER DRIVE|HIGHLANDS RANCH|CO
1|HCL GLOBAL SYSTEMS LLC|6706 GREEN RIVER DRIVE, UNIT H|HIGHLANDS RANCH|CO
1|HEXABYTE SOLUTIONS|891 ROCKY RIDGE CIRCLE|ERIE|CO
1|HYDE ENGINEERING AND CONSULTING INC|1450 INFINITE DRIVE|LOUISVILLE|CO
1|HYDE ENGINEERING AND CONSULTING INC|6260 LOOKOUT ROAD|BOULDER|CO
1|IMMENSE BRAINS LLC|2860 SOUTH CIRCLE DRIVE|COLORADO SPRINGS|CO
1|IMMENSE BRAINS LLC|2860 SOUTH CIRCLE DR|COLORADO SPRINGS|CO
1|INAAYA CONTRACTING LLC|1225, 17TH ST,|DENVER|CO
1|INTOTO TECHNOLOGIES LLC|10949 E PEAKVIEW AVENUE|ENGLEWOOD|CO
1|IT4 BUSINESS SOLUTIONS INC|1745 SHEA CENTER DR.|HIGHLANDS RANCH|CO
1|KEVELLS LLC|10233 S PARKER ROAD|PARKER|CO
1|KEVELLS LLC|22553 E PICCOLO WAY|AURORA|CO
1|LETS LOVE LIVE HELP LLC|1312 17TH  ST|DENVER|CO
1|MAVEN COMPANIES INC|1155 KELLY JOHNSON BLVD|COLORADO SPRINGS|CO
1|MAVEN COMPANIES INC|PLAZA OF THE ROCKIES|COLORADO SPRINGS|CO
1|MCA CONNECT LLC|8055 E TUFTS AVENUE|DENVER|CO
1|MCA CONNECT LLC|5251 DTC PARKWAY|GREENWOOD VILLAGE|CO
1|MERCURY HEALTHCARE INC|1801 CALIFORNIA ST.|DENVER|CO
1|METHOD DEVELOPMENT LLC|3240 ENDICOTT DR.|BOULDER|CO
1|NILE GROUP|7900 E UNION AVE|DENVER|CO
1|NOVUS PROFESSIONAL SERVICES INC|7215 BIG VALLEY COURT|COLORADO SPRINGS|CO
1|OBJECT EXPERTS LLC|8551 S ROME WAY|AURORA|CO
1|OPTEAMIX LLC|10868 VALLEYBROOK CIRCLE|HIGHLANDS RANCH|CO
1|OPTEAMIX LLC|9609 S. UNIVERSITY BLVD|LITTLETON|CO
1|OPTEAMIX LLC|10868  VALLEYBROOK CIRCLE|HIGHLANDS RANCH|CO
1|PANDIT VIEW SOFTWARE LLC|6825 SOUTH GALENA ST|CENTENNIAL|CO
1|PANDIT VIEW SOFTWARE LLC|6825 SOUTH GALENA STREET|CENTENNIAL|CO
1|PEAFOWL INC|25460 E. EUCLID PL|AURORA|CO
1|PEAFOWL INC|25460 E EUCLID PL|AURORA|CO
1|PEAK17 CONSULTING INC|8200 S. QUEBEC STREET|CENTENNIAL|CO
1|PRIMUS CLOUD SOFTWARE SOLUTIONS LLC|6444 S QUEBEC ST|CENTENNIAL|CO
1|QUANTOM TECH LLC|7208 S. TUCSON WAY|CENTENNIAL|CO
1|RAM INFO LLC|1467 S HALEYVILLE CIR|AURORA|CO
1|SAGILITY LLC|11000 WESTMOOR CIR|WESTMINISTER|CO
1|SDH SYSTEMS LLC|14 INVERNESS DR E|ENGLEWOOD|CO
1|SDH SYSTEMS LLC|14 INVERNESS DR. E|ENGLEWOOD|CO
1|SDH SYSTEMS LLC|14 INVERNESS DR E.|ENGLEWOOD|CO
1|SMR TECH CORP|9615 E COUNTY LINE ROAD|CENTENNIAL|CO
1|SPACE SCIENCE INSTITUTE|4765 WALNUT STREET|BOULDER|CO
1|SPICER JEFFRIES LLP|4601 DTC BLVD|DENVER|CO
1|STAFFX22 LLC|2089 FULLER ROAD|COLORADO SPRINGS|CO
1|SV TEK GROUP INC|3190 S VAUGHN WAY.|AURORA|CO
1|SV TEK GROUP INC|3190 S VAUGHN WAY|AURORA|CO
1|SYSCONSULT LLC|10465 MELODY DRIVE|NORTHGLENN|CO
1|TALENT CLUSTR LLC|601 S BOWEN ST,|LONGMONT|CO
1|TEKXEL LLC|405 ANGLERS DR|STEAMBOAT SPRINGS|CO
1|TEKXEL LLC|405 ANGLERS DRIVE|STEAMBOAT SPRINGS|CO
1|TEKXEL LLC|1625 MID VALLEY DRIVE|STEAMBOAT SPRINGS|CO
1|TEKXEL LLC|1625 MID VALLEY DR|STEAMBOAT SPRINGS|CO
1|TERRA GUIDANCE LLC|67 W. FLOYD AVE|ENGLEWOOD|CO
1|UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH|PO BOX 3000|BOULDER|CO
1|UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH|3375 MITCHELL LANE|BOULDER|CO
1|UPMYND INC|2700 YOUNGFIELD ST|LAKEWOOD|CO
1|VALNET HIRE GROUP LLC|17883 HERRERA DR|PARKER|CO
1|VED OASIS SOLUTIONS LLC|11598 CALLICOTTE ST|PARKER|CO
1|VERTEX IT SYSTEMS|14301 E TENNESSEE AVE|AURORA|CO
1|XTIVIA INC|304 S. 8TH STREET|COLORADO SPRINGS|CO
(131 rows)
