count|employer_name|employer_address1|employer_city|employer_state
8|ITARKS INC|28 MAIN ST|FARMINGTON|CT
8|KOYETECH LLC|28 MAIN ST|FARMINGTON|CT
8|KOYETECH LLC|28 MAIN ST|FAMINGTON|CT
8|NIKTOR IT IN|28 MAIN ST|FARMINGTON|CT
8|NIKTOR IT INC|28 MAIN ST|FARMINGTON|CT
8|NIKTOR LLC|28 MAIN ST|FARMINGTON|CT
8|NIKTOR LLC|28 MAIN ST|UNIONVILLE|CT
8|NIKTOR LLC|28 MAIN ST|FRARMINGTON|CT
3|ANVIL SOLUTIONS INC|360 BLOOMFIELD AVENUE|WINDSOR|CT
3|BROOKLYN CONSULTING GROUP INC|175 CAPITAL BLVD|ROCKY HILL|CT
3|CONVENANT TECH SERVICES LLC|1000 LAFAYETTE BLVD.|BRIDGEPORT|CT
3|COVENANT TECH SERVICES LLC|1000 LAFAYETTE BLVD.|BRIDGEPORT|CT
3|COVENANT TECH SERVICESLLC|1000 LAFAYETTE BLVD.|BRIDGEPORT|CT
3|CYENT INC|99 EAST RIVER DRIVE|EAST HARTFORD|CT
3|CYIENT INC|99 EAST RIVER DRIVE|EAST HARTFORD|CT
3|CYIENT. INC|99 EAST RIVER DRIVE|EAST HARTFORD|CT
3|INNOVIM TECHNOLOGY SOLUTIONS INC|360 BLOOMFIELD AVENUE|WINDSOR|CT
3|KOYETECH LLC|28 MAIN ST.|FARMINGTON|CT
3|NIKTOR IT INC|28 MAIN ST.|FARMINGTON|CT
3|NIKTOR LLC|28 MAIN ST.|FARMINGTON|CT
3|PRISTINE RESOURCE LLC|175 CAPITAL BLVD|ROCKY HILL|CT
3|SOFTWARE ENTERPRISE LLC|360 BLOOMFIELD AVE|WINDSOR|CT
3|SOFTWARE ENTERPRISE LLC|360 BLOOMFIELD AVENUE|WINDSOR|CT
3|SOFTWARE ENTERPRISES LLC|360 BLOOMFIELD AVE|WINDSOR|CT
3|TANU INFOTECH INC|360 BLOOMFIELD AVE|WINDSOR|CT
3|TRAYAH TECH LLC|175 CAPITAL BLVD|ROCKY HILL|CT
2|CAREERWAY SERVICES LLC|7223 AVALON VALLEY DR|DANBURY|CT
2|CLOUD DATA SYSTEMS INC|11 ASYLUM STREET|HARTFORD|CT
2|CYENT INC|99 EAST RIVER DR.|EAST HARTFORD|CT
2|CYIENT INC|99 EAST RIVER DR.|EAST HARTFORD|CT
2|GLOBAL DB SOLUTIONS INC|4 RESEARCH DRIVE|SHELTON|CT
2|INNOVIM TECHNOLOGY SOLUTIONS INC|701 JOHN FITCH BLVD|SOUTH WINDSOR|CT
2|MARC CONSULTING LLC|9 MOTT AVE|NORWALK|CT
2|QUEST GLOBAL SERVICES- N.A. INC|175 ADDISON ROAD|WINDSOR|CT
2|QUEST GLOBAL SERVICES-NA INC|175 ADDISON ROAD|WINDSOR|CT
2|SPRINTPARK|85 FELT ROAD|SOUTH WINDSOR|CT
2|SPRINTPARK LLC|85 FELT ROAD|SOUTH WINDSOR|CT
2|TEAMWORK IT SOLUTIONS INC|7223 AVALON VALLEY DR|DANBURY|CT
2|THE WELLSPRING GROUP INC|4 RESEARCH DRIVE|SHELTON|CT
2|USDOT NETWORKS INC|11 ASYLUM STREET|HARTFORD|CT
2|VLINK INC|701 JOHN FITCH BLVD|SOUTH WINDSOR|CT
2|WEBILENT TECHNOLOGY INC|225 OAKLAND ROAD|SOUTH WINDSOR|CT
2|WINTEK SOLUTIONS INC|225 OAKLAND ROAD|SOUTH WINDSOR|CT
2|XLLOW INC|9 MOTT AVE|NORWALK|CT
1|9TO9 SOFTWARE SOLUTIONS LLC|1224 MILL ST, BLDG B|EAST BERLIN|CT
1|9TO9 SOFTWARE SOLUTIONS LLC|1224 MILL STREET, BUILDING B|EAST BERLIN|CT
1|ACCELERATED MEDICAL PHYSICS SERVICE LLC|222 MAIN STREET|FARMINGTON|CT
1|ACRO SYSTEMS INC|75 HOCKANUM BLVD|VERNON|CT
1|BETTERITS LLC|2519 WHITNEY AVE|HAMDEN|CT
1|BIOINFO SYSTEMS LLC|10 COLUMBUS BLVD, 10 FL|HARTFORD|CT
1|BIOINFO SYSTEMS LLC|10 COLUMBUS BLVD|HARTFORD|CT
1|CHANCE RIVER LLC|500 SUMMER STREET|STAMFORD|CT
1|CLARUS COMMERCE LLC DBA EBBO|175 CAPITAL BLVD.|ROCKY HILL|CT
1|CLOUD DATA SYSTEMS INC|11 ASYLUM ST|HARTFORD|CT
1|CLOUD DATA SYSTEMS INC|11 ASYLUM ST,  507|HARTFORD|CT
1|CORPORATE SYSTEMS ASSOCIATES INC|46 COURT STREET|WINDSOR|CT
1|COVENANT TECH SERVICES LLC|1000 LAFAYETTE BLVD|BRIDGEPORT|CT
1|CYMA SYSTEMS INC|360 TOLLAND TURNPIKE|MANCHESTER|CT
1|CYNORT LLC|83 WOOSTER HTS ROAD|DANBURY|CT
