count|employer_name|employer_address1|employer_city|employer_state
8|GLOBALADEPT LLC|7901 4TH ST N|ST PETERSBURG|FL
8|IVORSOURCE LLC|7901 4TH ST N|ST. PETERSBURG|FL
8|NEW EDGE TECHNOLOGY INC|7901 4TH ST N|ST. PETERSBURG|FL
8|NEW EDGE TECHNOLOGY INC|7901 4TH ST N|ST PETERSBURG|FL
8|NEW EDGE TECHNOLOGY INC|7901 4TH ST N|ST.  PETERSBURG|FL
8|NEW EDGE TECHNOLOGY LLC|7901 4TH ST N|ST PETERSBURG|FL
8|NEW EDGE TECHNOLOGY PRIVATE LIMITED|7901 4TH ST N|ST PETERSBURG|FL
8|STERROFOX INC|7901 4TH ST N|ST. PETERSBURG|FL
6|CLOVER SOLUTIONS LLC|15310 AMBERLY DR|TAMPA|FL
6|CUBEXIT INC|15310 AMBERLY DR|TAMPA|FL
6|KAIZEN SOFT SOLUTIONS LLC|15310 AMBERLY DR|TAMPA|FL
6|ND GLOBAL CONSULTING SERVICES INC|15310 AMBERLY DR|TAMPA|FL
6|SRI TECH SOLUTIONS INC|15310 AMBERLY DR|TAMPA|FL
6|WB SOLUTIONS LLC|15310 AMBERLY DR|TAMPA|FL
5|ADECCO GROUP NA/MODIS INC|4800 DEERWOOD CAMPUS PARKWAY|JACKSONVILLE|FL
5|ADECCO USA INC|4800 DEERWOOD CAMPUS PARKWAY|JACKSONVILLE|FL
5|AKKODIS E&T LLC|4800 DEERWOOD CAMPUS PARKWAY|JACKSONVILLE|FL
5|AKKODIS INC|4800 DEERWOOD CAMPUS PARKWAY|JACKSONVILLE|FL
5|CONNECTEURSTEK LLC|4651 SALISBURY ROAD|JACKSONVILLE|FL
5|ENTEGEE INC|4800 DEERWOOD CAMPUS PARKWAY|JACKSONVILLE|FL
5|SOFT SNIPPETS INC|4651 SALISBURY ROAD|JACKSONVILLE|FL
5|SOFTSNIPPETS INC|4651 SALISBURY ROAD|JACKSONVILLE|FL
5|SOFTTEKSOL INC|4651 SALISBURY ROAD|JACKSONVILLE|FL
5|TECHAHOLIC SOFT LLC|4651 SALISBURY ROAD|JACKSONVILLE|FL
4|ASPIRANTSPRO IT SOLUTIONS LLC|9140 BAYMEADOWS PARK DRIVE|JACKSONVILLE|FL
4|ATTRA INC|1540 INTERNATIONAL PARKWAY|LAKE MARY|FL
4|CUBEXIT INC|15310 AMBERLY DRIVE|TAMPA|FL
4|DISRUPTIVE TECH SOLUTIONS INC|13241 BARTRAM PARK BLVD.|JACKSONVILLE|FL
4|EMAX TECHNOLOGIES INC|1540 INTERNATIONAL PARKWAY|LAKE MARY|FL
4|FAMOUS TECHNOLOGIES INC|10335 CROSS CREEK BLVD|TAMPA|FL
4|GANAIT INC|15310 AMBERLY DRIVE|TAMPA|FL
4|GLOBAL VISSE INC|10335 CROSS CREEK BLVD|TAMPA|FL
4|HSQUARE IT SOLUTIONS INC|9140 BAYMEADOWS PARK DRIVE|JACKSONVILLE|FL
4|IBRIDGE TECHSOFT LLC|13250 N 56TH STREET|TAMPA|FL
4|IRIS INFOTECH INC|9140 BAYMEADOWS PARK DRIVE|JACKSONVILLE|FL
4|LEGEND SOLUTIONS LLC|13250 N 56TH STREET|TAMPA|FL
4|N2 SERVICES INC|13241 BARTRAM PARK BLVD.|JACKSONVILLE|FL
4|OMEGASOFT INTERNATIONAL INC|13250 N 56TH STREET|TAMPA|FL
4|RURI SOFTWARE TECHNOLOGIES LLC|10335 CROSS CREEK BLVD|TAMPA|FL
4|SIGMA ANALYTICS LLC|15310 AMBERLY DRIVE|TAMPA|FL
4|SIRRUS SOFTWARE SERVICES INC|13250 N 56TH STREET|TAMPA|FL
4|SPHERE SOLUTIONS INC|13241 BARTRAM PARK BLVD.|JACKSONVILLE|FL
4|SRI TECH SOLUTIONS INC|15310 AMBERLY DRIVE|TAMPA|FL
4|SUN-IT SOLUTIONS INC|13241 BARTRAM PARK BLVD.|JACKSONVILLE|FL
4|SYNECHRON TECHNOLOGIES INC|1540 INTERNATIONAL PARKWAY|LAKE MARY|FL
4|SYNECHRON TECHNOLOGIES INC (F/K/A ATTRA INC)|1540 INTERNATIONAL PARKWAY|LAKE MARY|FL
4|VEVEY SOFTWARE SOLUTIONS LLC|10335 CROSS CREEK BLVD|TAMPA|FL
4|YASH CREATIONS INC|9140 BAYMEADOWS PARK DRIVE|JACKSONVILLE|FL
3|ADECCO GROUP NA/MODIS INC|10151 DEERWOOD PARK BOULEVARD|JACKSONVILLE|FL
3|AFFLUENT IT SERVICES LLC|111 NORTH ORANGE AVENUE|ORLANDO|FL
3|APLOMB SOLUTIONS LLC|111 NORTH ORANGE AVENUE|ORLANDO|FL
3|ARVYN TECHNOLOGIES INC|51 S MAIN AVE|CLEARWATER|FL
