count|employer_name|employer_address1|employer_city|employer_state
28|AI SOLUTIONS (GEORGIA) INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|CLOUD SOFT INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|CLOUDFEN LLC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|COMPETENT SYSTEMS INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|COMPETENT SYSTEMS INC|4080 MCGINNIS FERRY ROAD|MANASSAS|GA
28|COMPETENT SYSTEMS INC|4080 MCGINNIS FERRY ROAD|ATLANTA|GA
28|DELOS COMPUTERS CORPORATION|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|DRACS CONSULTING GROUP INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|GALLEGA SOFTWARE SOLUTIONS INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|NISSI SOFTWARE SOLUTIONS INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|NOVELTY INFOTECH INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|PETADIGIT LLC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|POSITIVE GROU P LLC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|POSITIVE GROUP LLC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|PROLIFIC TECHNOLOGIES INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|RAPIDIT INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|RIVIC SYSTEMS INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|SHRIZO CONSULTING LLC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|SPECTRA INFO SYSTEMS INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|STIER SOLUTION INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|STIER SOLUTIONS INC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|TANGENT SERVICES CORPORATION|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|TANZO TECHNOLOGIES LLC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|THE OMNITRUST TECHNOLOGIES LLC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|TOPSYS IT SOLUTIONS LLC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|UNICORN TECHNOLOGIES LLC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|VERINOVA TECHNOLOGIES LLC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
28|WELKIN TECHNOLOGIES LLC|4080 MCGINNIS FERRY ROAD|ALPHARETTA|GA
13|ACHIEVA IT INC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
13|COGNIAL TECHNOLOGIES INC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
13|CONSULTVEDA INFO TECHNOLOGIES INC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
13|DATASPARX LLC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
13|DELPHIC SOFTWARE SOLUTIONS INC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
13|GEORGIA IT INC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
13|JICOR SOLUTIONS INC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
13|NEXWAVE TALENT MANAGEMENT SOLUTIONS LLC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
13|ROVER IT LLC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
13|TEJ SOLUTIONS INC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
13|TEKNAUX LLC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
13|TEKNITI LLC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
13|VAMANA SYSTEMS INC|5490 MCGINNIS VILLAGE PLACE|ALPHARETTA|GA
12|ASCENTIT LLC|410 PEACHTREE PARKWAY|CUMMING|GA
