count|employer_name|employer_address1|employer_address2|employer_city
4|TRUSTA, AN ACCOUNTANCY CORPORATION|1003 BISHOP STREET|SUITE 1700|HONOLULU
4|LDDI LLC|1003 Bishop Street|Suite 2155|Honolulu
4|ITSCONSULTING LLC|1003 Bishop Street|Suite 2700|Honolulu
4|ITSConsulting LLC|1003 Bishop Street|Suite 2700|Honolulu
3|Research Corporation of the University of Hawaii|1601 East West Road Burns Hall|4th|Honolulu
3|Research Corporation of the University of Hawaii|1601 East West Road Burns Hall|4th Floor|Honolulu
3|Research Corporation of the University of Hawaii|1601 East West Road Burns Hall||Honolulu
3|Pacific Accounting & Business Services|PO Box 419||Honolulu
3|Pacific Accounting and Business Services INC|PO Box 419||Honolulu
3|Pacific Accounting and Business Services .INC|PO Box 419||Honolulu
2|KOKUA GEOTECH LLC|1017 N. KING ST.||Honolulu
2|KOKUA GEOTECH LLC fka KAI ENGINEERING SERVICES LLC|1017 N. KING ST.||Honolulu
2|Baldridge & Associates Structural Engineering Inc|1164 Bishop Street|Suite 1600|Honolulu
2|Baldridge& Associates Structural Engineer Inc|1164 Bishop Street|Suite 1600|Honolulu
2|Research Corporation of the University of Hawaii|1601 East-West Road|Burns Hall, 4th Floor|Honolulu
2|Center for Cultural & Technical Interchange Between East & West  Inc|1601 East-West Road||Honolulu
2|Makai Pet Hospital|420 Uluniu St||Kailua
2|Pet Hospitals of Hawaii|420 Uluniu St||Kailua
2|Association of Universities for Research in Astronomy|670 N AOhoku Place||Hilo
2|Association of Universities for Research in Astronomy|670 N Aohoku Place||Hilo
2|Dean Sakamoto Architects|99 N. King Street|2nd Floor|Honolulu
2|Dean Sakamoto Architects LLC|99 N. King Street||Honolulu
1|Prowork Pacific Inc|100 N Beretania St|Ste 114|Honolulu
1|Martin, Chock & Carden Inc|1001 Bishop St Ste 2950||Honolulu
1|Carlsmith Ball LLP|1001 Bishop Street|Suite 2100|Honolulu
1|Pacific Forum International|1003 Bishop Street, Pauahi Tower|Suite 1150|Honolulu
1|MCYIA LLC|1050 Queen St, Suite 201||Honolulu
1|UpTech Inc|1150 S King Street|Ste 777|Honolulu
1|Adon Renewables Corporation|1164 BISHOP ST, Suite 1001||Honolulu
1|Community Planning & Engineering Inc|1286 Queen Emma Street||Honolulu
1|DESIGN PARTNERS INCORPORATED|1580 MAKALOA STREET|STE 1100|HONOLULU
1|Research Corporation of the University of Hawaii|1601 East West Road, Burns Hall|4th Floor|Honolulu
1|Decision Research Corporation|1601 Kapiolani Blvd|1100 Suite|Honolulu
1|Marketplace Software LLC|1738 Silva Street||Honolulu
1|International Archaeological Research Institute Inc|2081 Young Street||Honolulu
1|Warren S. Unemori Engineering Inc|2145 Wells St.|Suite 403|Wailuku
1|UniValue Creations LLC|2222 Kalakua Avenue, Suite 1008||Honolulu
1|UniValue Creations LLC|2250 Kalakua Avenue, Suite 404-4||Honolulu
1|VCA INC|2728 WOODLAWN DRIVE||HONOLULU
1|EXPLORATION ASSOCIATES LTD|3-2600 KAUMUALII HWY STE 1300-306||LIHUE
1|Exploration Associates Ltd.|3-2600 Kaumualii Highway|Suite 1300 306|Lihue
1|Hawaii Off-Grid LLC|375 W Kuiaha Road|41|Haiku
1|Cultural Surveys Hawaii Inc|39 Maluniu Avenue||Kailua
1|Felice Valmas CPA & Company LLC|401 Kamakee Street|Suite 402|Honolulu
1|ConsumerTrack Inc|407 Uluniu Street|412|Kailua
1|Unify Dots Corporation|4331 Pilimai Street||Lihue
1|JPB Engineering Inc|47-388 Hui Iwa Street|Suite 16|Kaneohe
1|KAI Hawaii Inc|50 S BERETANIA ST|STE C119C|HONOLULU
1|SSFM INTERNATIONAL INC|501 Sumner Street, Suite 620||Honolulu
1|DESIGN PARTNERS INCORPORATED|560 Halekauwila Street||HONOLULU
1|MARAMA MARKETING INC|59-005 HOALUA ST||HALEIWA
1|MARAMA MARKETING INC|59-005 HOALUA STREET||HALEIWA
1|WaiHome LLC|59-477 Hoalike Road||Haleiwa
1|Pacific Construction Builders Inc|607 N King Street||Honolulu
1|Pacific Construction Builders Inc|607 N. King Street||Honolulu
1|Pacific Construction Builders Inc|607 N.King Street||Honoluly
1|Controlpoint Surveying Inc|615 PIIKOI ST|STE 700|HONOLULU
1|California Association for Research in Astronomy|65-1120 Mamalahoa Highway||Kamuela
1|California Association for Research in Astronomy|65-1120 Mamalahoa Hwy||Kamuela
1|Canada-France-Hawaii Telescope Corporation|65-1238 Mamalahoa Hwy.||Kamuela
1|ProService National Inc|6600 Kalanianaole Hwy Ste 200||Honolulu
1|Association of Universities for Research in Astronomy|670 N. Aohoku Place||Hilo
1|MGA ARCHITECTURE LLC|677 ALA MOANA BLVD||HONOLULU
1|Yogi Kwong Engineers LLC|677 Ala Moana Boulevard|Suite 710|Honolulu
