count|employer_name|employer_address1|employer_address2|employer_city
3|ERICSSON ENTERPRISE SOLUTIONS INC|1100 W. Idaho Street|Suite 800|Boise
3|ERICSSON ENTERPRISE WIRELESS SOLUTIONS INC|1100 W. Idaho Street|Suite 800|Boise
3|CRADLEPOINT INC|1100 W. Idaho Street|Suite 800|Boise
3|Prefab Logistics LLC (DBA Prefab Logic)|16376 Star Road|Ste 200|Nampa
3|Prefab Logistics LLC|16376 Star Road|Suite 200|Nampa
3|Autovol Inc|16376 Star Road||Nampa
2|J-U-B Engineers Inc|2760 W Excursion Ln.|Ste 400|Meridian
2|J-U-B Engineers Inc|2760 W Excursion Ln.|Suite 400|Meridian
2|Z DATA INC|408 W. IDAHO STREET||BOISE
2|Z Data Inc|408 W. Idaho Street||Boise
2|25-2 Solutions LLC|815 S 1st Ave Suite A|Suite A|Pocatello
2|25 2 Solutions LLC|815 S 1st Ave Suite A|Suite A|Pocatello
2|GLOBAL TELEMATIC SOLUTIONS LLC|850 E FRANKLIN ROAD|SUITE 410|MERIDIAN
2|Global Telematics Solutions LLC|850 E Franklin Road|Suite 410|Meridian
2|Strata Inc|8653 W. Hackamore Drive||Boise
2|STRATA Inc|8653 W. Hackamore Drive||Boise
2|HR GREEN INC|8710 Earhart Lane SW||Cedar Rapids
2|HR Green Inc|8710 Earhart Lane SW||Cedar Rapids
1|WCSC Inc|1020 N. Hickory Ave|Suite 110|Meridian
1|Rm Acquisition LLC|1100 West Idaho|Suite 310|Boise
1|WCSC Inc|1120 S. Rackham Way|Suite 300|Meridian
1|Connections Credit Union|1150 North 8th Avenue||Pocatello
1|Axiom PLLC|121 N 9th St|Suite 401|Boise
1|Glancey Rockwell & Associates|1257 W River St|Ste 110|Boise
1|Glancey Rockwell & Associates|1257 W River St. Suite 110||Boise
1|NorthPoint Group LLC|1317 W JEFFERSON ST||BOISE
1|NorthPoint Group, LLP|1317 W. Jefferson Street||Boise
1|Plan North PLLC|1401 S Robert Street|Suite 101|Boise
1|Plan North PLLC|1401 S. Robert St, Ste 101||Boise
1|Idaho Veterinary Hospital|1420 North Midland Boulevard||Nampa
1|The Internet Truckstop LLC|1444 S Entertainment Avenue|Suite 110|Boise
1|Coforge BPM Inc|1550 S. Tech Lane|Suite 210|Meridian
1|Rimon, P.C.|1655 W Fairview Ave|Suite 102|Boise
1|RedBuilt LLC|200 E Mallard Drive||Boise
1|Hummel Architects, PLLC|205 N 10th St|Ste 300|Boise
1|BLKMARKET LLC|206 W Iowa St||Boise
1|The Internet Truckstop LLC|222 N Plymouth Ave||New Plymouth
1|BLKMARKET LLC|2227 S Broadway Ave|200|Boise
1|Accendero Software Inc|2235 E 25th St.|Suite 190|Idaho Falls
1|Accendero Software Inc|2275 W. Broadway|Suite D|Idaho Falls
1|Joe Frick Law PLLC|250 S 5th St. Ste  302||Boise
1|Joe Frick Law PLLC|250 S. 5th St., Suite 302||Boise
1|Joe Frick Law PLLC|250 S. 5th., Suite 302||Boise
1|Sirma Group Inc|250 W Bobwhite Ct|STE 120|Boise
1|KOOTENAI MOUNTAIN LABORATORY|261 GREAT NORTHERN ROAD||BONNERS FERRY
1|Health and Commerce Inc|2624 N Ballantyne Lane||Eagle
1|J-U-B Engineers Inc|2760  W. Excursion Ln.|STE 400|Meridian
1|J-U-B Engineers|2760 W Excursion Lane Suite 400||Meridian
1|Zennify Inc|2775 W Navigator Dr.|Suite 100|Meridian
1|CONRELV SOLUTIONS INC|300 W MAIN STREET|SUITE 111|BOISE
1|Webb, Clovis & Associates, PLLC|302 E. Linden Avenue|Suite 101|Coeur d Alene
1|Engineering Consultants Inc|303 S. Federal Way||Boise
1|HOLLADAY ENGINEERING COMPANY|32 N MAIN ST|PO BOX 235|PAYETTE
1|COZiBOX LLC|3441 Clearview Ln||Ammon
1|COZiBOX LLC|3510 Samuel St.||Ammon
1|The Framed Eye LLC|3739 W Pinehurst Dr||Boise
1|Resola LLC|3814 Washington Pkwy||IdahoFalls
1|POWER Engineers Inc|3940 Glenbrook Drive||Hailey
1|POWER Engineers Inc|3940 Glenbrook Drive, PO Box 1066||Hailey
1|EON Collective LLC|3991 S. Mill Site Avenue||Boise
1|Covr Financial Technologies Inc|401 W. Front Street|Suite 500|Boise
1|Cole Architects, PLLC|404 S 8th  St|Ste 250|Boise
1|Cole Architects, PLLC|404 S. 8th St.|Suite 250|Boise
1|Z Data Inc|408 West Idaho Street||Boise
1|KPFF Inc|412 E Parkcenter Blvd|Suite 200|Boise
1|Rimon, P.C.|420 W Main St|Suite 101B|Boise
1|FA Engineering, P.A.|427 Fredregill Road||Pocatello
1|Wolfley Accounting LLC|427 Main St. Ste. B||Pocatello
1|Rudd & Company PLLC|490 First American Circle||Rexburg
