count|employer_name|employer_address1|employer_city|employer_state
3|LER TECHFORCE LLC|1888 POSHARD DRIVE|COLUMBUS|IN
3|LER TECHFORCE LLC|305 FRANKLIN STREET|COLUMBUS|IN
3|LHP DATA ANALYTIC SOLUTIONS LLC|305 FRANKLIN STREET|COLUMBUS|IN
3|LHP DATA ANALYTIC SOLUTIONS LLC|1888 POSHARD DRIVE|COLUMBUS|IN
3|LHP ENGINEERING SOLUTIONS LLC|1888 POSHARD DRIVE|COLUMBUS|IN
3|LHP ENGINEERING SOLUTIONS LLC|305 FRANKLIN STREET|COLUMBUS|IN
2|IT WORKFORCE|127 E MICHIGAN ST|INDIANAPOLIS|IN
2|IT WORKFORCE INC|127 E MICHIGAN ST|INDIANAPOLIS|IN
2|QUADRALITE SYSTEMS INC|2005 VALPARAISO ST|VALPARAISO|IN
2|RACAR DESIGN & ENGINEERING LLC|800 MAIN STREET|ANDERSON|IN
2|RACAR INTL D/E LLC|800 MAIN STREET|ANDERSON|IN
2|RAD CUBE LLC|1119 KEYSTONE WAY|CARMEL|IN
2|SAHASRA TECHNOLOGIES CORPORATION|1119 KEYSTONE WAY|CARMEL|IN
2|TAURUS IT INC|2005 VALPARAISO ST|VALPARAISO|IN
2|TECH KART LLC|5076 HAMLIN CT|SOUTH BEND|IN
2|TECHKART TECHNOLOGIES LLC|5076 HAMLIN CT|SOUTH BEND|IN
1|AGILE SCIENTIFIC GROUP|3815 RIVER CROSSING PARKWAY,|INDIANAPOLIS|IN
1|ALLIANCE GROUP TECHNOLOGIES COMPANY - CALUMET INC|8252 VIRGINIA STREET|MERRILLVILLE|IN
1|APTITUDE SOLUTION INC|3917 W SAWTELLE DR.|BLOOMINGTON|IN
1|ARRK TECHNOLOGIES LLC|2005 VALPARAISO STREET|VALPARAISO|IN
1|AVTECH SOLUTIONS INC|55 MONUMENT CIRCLE|INDIANAPOLIS|IN
1|AVTECH SOLUTIONS INC|5455 WEST 86TH STREET|INDIANAPOLIS|IN
1|BCFORWARD RAZOR LLC|9777 COLLEGE AVE|INDIANAPOLIS|IN
1|BRITE SYSTEMS INC|101 W OHIO STREET, SUITE 2000|INDIANAPOLIS|IN
1|BRITE SYSTEMS INC|101 W. OHIO STREET|INDIANAPOLIS|IN
1|BRITE SYSTEMS INC|101 W. OHIO STREET, SUITE 2000|INDIANAPOLIS|IN
1|BUCHER AND CHRISTIAN CONSULTING INC|9777 N COLLEGE AVENUE|INDIANAPOLIS|IN
1|CAREER WEST CONSULTING LLC|10008 COVINGTON ROAD|FORT WAYNE|IN
1|CATALINA BUSINESS SOLUTIONS INC|8888 KEYSTONE CROSSING|INDIANAPOLIS|IN
1|COGENT LLC|1302 NORTH MERIDIAN STREET|INDIANAPOLIS|IN
1|CONVERSIGHT.AI|1220 WATERWAY BLVD.|INDIANAPOLIS|IN
1|COSWORTH ELECTRONICS LLC|5355 W. 86TH STREET|INDIANAPOLIS|IN
1|CREATIVE SOLUTIONS CONSULTING INC|5719 LAWTON LOOP DRIVE EAST|INDIANAPOLIS|IN
1|CYBERGUARD SOLUTIONS LLC|6525E 82ND ST|INDIANAPOLIS|IN
1|CYBERGUARD SOLUTIONS LLC|6525 E 82ND ST|INDIANAPOLIS|IN
1|CYBERGUARD SOLUTIONS LLC|6515 E 82ND ST|INDIANAPOLIS|IN
1|DATUM CONSULTING GROUP LLC|410 N SHORTRIDGE ROAD|INDIANAPOLIS|IN
1|DATUM CONSULTING GROUP LLC|8520 ALLISON POINTE BLVD|INDIANAPOLIS|IN
1|DATUM CONSULTING GROUP LLC|8520 ALLISON POINT BLVD|INDIANAPOLIS|IN
1|EIGHT ELEVEN GROUP LLC|6215 N. COLLEGE AVENUE|INDIANAPOLIS|IN
1|EIGHT ELEVEN GROUP LLC|6215  N. COLLEGE AVENUE|INDIANAPOLIS|IN
1|EIGHT ELEVEN GROUP LLC|8365 KEYSTONE CROSSING|INDIANAPOLIS|IN
1|ESENSE INC|14799 DAVENTRY DRIVE|FISHERS|IN
1|EXCEL IT CORP|438 S EMERSON AVENUE SUITE -146 ,GREENWOOD IN-46143|GREENWOOD|IN
1|EXCEL IT CORP|438 S EMERSON AVE SUITE -146|GREENWOOD|IN
1|EXCEL IT CORP|438 S EMERSON AVENUE SUITE- 146|GREENWOOD|IN
1|EXCEL IT CORP|438 S EMERSON AVE|GREENWOOD|IN
1|EXCEL IT CORP|438 SOUTH EMERSON AVENUE|GREENWOOD|IN
1|EXCEL IT CORP|438 SOUTH EMERSON AVENUE,  SUITE 146|GREENWOOD|IN
1|FINDRHIRE CORP|10475 CROSSPOINT BLVD|INDIANAPOLIS|IN
1|GDN INFOTECH INC|2346 S LYNHURST DR|INDIANAPOLIS|IN
1|GDN INFOTECH INC|2346 S LYNHURST DRIVE|INDIANAPOLIS|IN
1|GDN INFOTECH INC|2346 S. LYNHURST DR.|INDIANAPOLIS|IN
1|GDN INFOTECH INC|2346 S. LYNHURST DRIVE|INDIANAPOLIS|IN
1|GENESIS BUSINESS SOLUTIONS INC|3485 SEDGEMOOR CIRCLE|CARMEL|IN
1|GYANSYS INC|702 ADAMS STREET|CARMEL|IN
1|HR SOLUTIONS INC|100 N SAINT JOSEPH AVE|EVANSVILLE|IN
1|HYDROZN LLC|8526 BAY COLONY DR|INDIANAPOLIS|IN
1|INDEXHIRE INC|1025 E 54TH ST|INDIANAPOLIS|IN
1|INDIANA LEGAL SERVICES INC|1200 MADISON AVENUE|INDIANPOLIS|IN
1|INFOMINDS LLC|10255 COMMERCE DRIVE|CARMEL|IN
1|IT TRANSFORMERS INC|12821 EAST NEW MARKET STREET|CARMEL|IN
1|IT TRANSFORMERS INC|11495 N PENNSYLVANIA STREET|CARMEL|IN
1|JSYS TECHNOLOGIES LLC|160 W CARMEL DR|CARMEL|IN
1|KEY CUBE CONSULTING LLC|2601 FORTUNE CIR E|INDIANAPOLIS|IN
1|KEY CUBE CONSULTING LLC|2601 FORTUNE CIR E, SUITE 201 C|INDIANAPOLIS|IN
1|KSN TECHNOLOGIES INC|364 INDIAN BOUNDARY ROAD|CHESTERTON|IN
1|LER TECHFORCE LLC|1888  POSHARD DRIVE|COLUMBUS|IN
1|MIDWEST TECHNOLOGY PARTNERSHIP LLC|2625 N MERIDIAN ST|INDIANAPOLIS|IN
1|MORPHIMMUNE INC|1281 WIN HENTSCHEL BLVD., SUITE 1300|WEST LAFAYETTE|IN
1|NOVOS SOLUTIONS LLC|410 WEST OAK STREET|ZIONSVILLE|IN
1|NSK VETERINARY SERVICES LLC|12653 AMBER STAR DRIVE|NOBLESVILLE|IN
1|PACIV-USA LLC|2507 BLOYD AVENUE|INDIANAPOLIS|IN
1|PEOPLELINK LLC|431 E. COLFAX AVENUE|SOUTH BEND|IN
1|PREMIER BUSINESS SOLUTIONS LLC|3202 N KENMORE ST|SOUTH BEND|IN
1|PRIDESOFT LLC|14438 CAMDEN LN|CARMEL|IN
1|PYRAMID TECHNOLOGY SOLUTIONS INC|9535 E. 59TH STREET|INDIANAPOLIS|IN
1|PYRAMID TECHNOLOGY SOLUTIONS INC|9535 E 59TH STREET|INDIANAPOLIS|IN
