count|employer_name|employer_address1|employer_city|employer_state
5|NYBBLE TEKSOLUTIONS INC|5550 WILD ROSE LANE|WEST DES MOINES|IA
5|SIRI CONSULTANCY SERVICE INC|5550 WILD ROSE LANE|WEST DES MOINES|IA
5|SREE INFOTECK LLC|5550 WILD ROSE LANE|WEST DES MOINES|IA
5|WESTGATE TECHNOLOGIES INC|5550 WILD ROSE LANE|WEST DES MOINES|IA
5|WESTGATE TECHNOLOGIES INC|5550 WILD ROSE LANE|WEST DESMOINES|IA
3|NYBBLE TEKSOLUTIONS INC|5550 WILD ROSE LN|WEST DESMOINES|IA
3|SIRI CONSULTANCY SERVICE INC|5550 WILD ROSE LN|WEST DES MOINES|IA
3|SIRI CONSULTANCY SERVICES INC|5550 WILD ROSE LN|DES MOINES|IA
2|MINDZONE IT SOLUTIONS|14225 UNIVERSITY AVENUE|WAUKEE|IA
2|MINDZONE IT SOLUTIONS LLC|14225 UNIVERSITY AVENUE|WAUKEE|IA
2|QUADYSTER|2535 TECH DR|BETTENDORF|IA
2|R3 UNIQ INC|2535 TECH DR|BETTENDORF|IA
2|SOFTWORLD TECHNOLOGIES LLC|699 WALNUT ST|DES MOINES|IA
2|SOOFTWORLD TECHNOLOGIES LLC|699 WALNUT ST|DES MOINES|IA
1|AMERICAN TECHNOLOGY CONSULTING LLC|6600 WESTOWN PARKWAY|WEST DES MOINES|IA
1|AMERICAN TECHNOLOGY CONSULTING LLC|12951 UNIVERSITY AVENUE|CLIVE|IA
1|AMES IT AND NUMERIC SOLUTIONS LLC|510 S 17TH STREET|AMES|IA
1|AWOISOLUTIONS LLC|755 NE BADGER LN|WAUKEE|IA
1|CEREBRAL GROUP LLC|1540 HIGH STREET|DES MOINES|IA
1|CLODATICS INC|6165 NORTHWEST 86TH STREET|JOHNSTON|IA
1|CONCAT SYSTEMS INC|7743 DOUGLAS AVE|URBANDALE|IA
1|DISTEK INTEGRATION INC|6612 CHANCELLOR DRIVE|CEDAR FALLS|IA
1|DONATECH CORPORATION|200 WEST LOWE AVENUE|FAIRFIELD|IA
1|DREAMFOX SOLUTIONS INC|1001 OFFICE PARK ROAD, SUITE 105|WEST DES MOINES|IA
1|E-GIANTS TECHNOLOGIES LLC|4500 WESTOWN PARKWAY|WEST DES MOINES|IA
1|E-GIANTS TECHNOLOGIES LLC|4500 WESTON PARKWAY|WEST DES MOINES|IA
1|E-GIANTS TECHNOLOGIES LLC|4500 WESTOWN PKWY.|WEST DES MOINES|IA
1|ENLIGHTEN MANAGEMENT SOLUTIONS INC|317 6TH AVE, SUITE 1040|DES MOINES|IA
1|ENLIGHTEN MANAGEMENT SOLUTIONS INC|317 6TH AVE|DES MOINES|IA
1|EPATHUSA INC|1075 JORDAN CREEK PARKWAY STE. 295|WEST DES MOINES|IA
1|EPATHUSA INC|1075 JORDAN CREEK PARKWAY|WEST DES MOINES|IA
1|FLEMING TECHNICAL RESOURCES LLC|2500 SE OLSON DRIVE|WAUKEE|IA
1|GENOVA TECHNOLOGIES INC|4250 RIVER CENTER CT. NE|CEDAR RAPIDS|IA
1|GIS MONK INC|3432 JERSEY RIDGE ROAD|DAVENPORT|IA
1|INFINITE COMPUTING SYSTEMS INC|425 2ND ST.SE|CEDAR RAPIDS|IA
1|INFINITE COMPUTING SYSTEMS INC|425 2ND ST. SE|CEDAR RAPIDS|IA
1|INFOWEB SYSTEMS INC|3435 ASBURY ROAD|DUBUQUE|IA
1|INTELIROUTE TECHNOLOGIES LLC|11302 AURORA AVENUE|URBANDALE|IA
1|INTELIROUTE TECHNOLOGIES LLC|7020 DOUGLAS AVE|URBANDALE|IA
1|INTELIROUTE TECHNOLOGIES LLC|7020 DOUGLAS AVENUE|URBANDALE|IA
1|INTELIX SYSTEMS LLC|2800 PIERCE ST|SIOUX CITY|IA
1|ITVIAN INC|6165 N.W. 86TH STREET|JOHNSTON|IA
1|KANAP SYSTEMS LLC|4949 PLEASANT STREET|WEST DES MOINES|IA
1|KANAP SYSTEMS LLC|4949 PLEASANT ST|WEST DES MOINES|IA
1|KCL ENGINEERING|300 4TH STREET|WEST DES MOINES|IA
1|KMAR TECH SOLUTIONS INC|620 S DODGE ST|IOWA CITY|IA
