count|employer_name|employer_address1|employer_city|employer_state
2|ARANYA CLOUD TECHNOLOGIES LLC|8101 COLLEGE BLVD|OVERLAND PARK|KS
2|ASHATEK LLC|6600 W 95TH ST|OVERLAND PARK|KS
2|BLACK & VEATCH CORPORATION|11401 LAMAR AVENUE|OVERLAND PARK|KS
2|COSMOS IT SOLUTIONS|3706 SW TOPEKA BLVD|TOPEKA|KS
2|COSMOS IT SOLUTIONS INC|3706 SW TOPEKA BLVD|TOPEKA|KS
2|CYBERBRAINS INC.|7304 W 130TH STREET|OVERLAND PARK|KS
2|DYNAMIC ITSOLUTIONS INC|7900 COLLEGE BLVD|OVERLAND PARK|KS
2|GATIX E SOLUTIONS INC|401 E 1ST STREET|WICHITA|KS
2|GATIX E-SOLUTIONS INC|401 E 1ST STREET|WICHITA|KS
2|HYR GLOBAL SOURCE INC|7304 W 130TH STREET|OVERLAND PARK|KS
2|I GIANTS INC|7810 W 119TH ST.|OVERLAND PARK|KS
2|IPRIME INFO SOLUTIONS|10551 BARKLEY ST|OVERLAND PARK|KS
2|IPRIME INFO SOLUTIONS INC|10551 BARKLEY ST|OVERLAND PARK|KS
2|MAGNA INFOTECH LTD.|9300 WEST 110TH STREET|OVERLAND PARK|KS
2|OVERLAND CONTRACTING INC|11401 LAMAR AVENUE|OVERLAND PARK|KS
2|S4SOFT INC|6600 W 95TH ST|OVERLAND PARK|KS
2|SAICON CONSULTANTS INC|9300 WEST 110TH STREET|OVERLAND PARK|KS
2|SISMOS SOLUTIONS INC|7810 W 119TH ST.|OVERLAND PARK|KS
2|SOHUM SYSTEMS LLC|7900 COLLEGE BLVD|OVERLAND PARK|KS
2|SUNAR TECH SOLUTIONS INC|8101 COLLEGE BLVD|OVERLAND PARK|KS
1|A K CONSULTING SERVICES INC|6727 SW WENTLEY LN|TOPEKA|KS
1|ACROTEK IT SOLUTIONS INC|10100 W 87TH ST|OVERLAND PARK|KS
1|AMERICAN INFO SYSTEMS INC|7300 WEST 110TH STREET, COMMERCE PLAZA 1|OVERLAND PARK|KS
1|ARANYA CLOUD TECHNOLOGIES LLC|8101 COLLEGE BLVD SUITE 100 0|OVERLAND PARK|KS
1|ARANYA CLOUD TECHNOLOGIES LLC|8101 COLLEGE BLVD.|OVERLAND PARK|KS
1|ARGUS CONSULTING INC|7900 COLLEGE BLVD STE 200|OVERLAND PARK|KS
1|ASCEND INFOTECH INC|14670 BARKLEY ST|OVERLAND PARK|KS
1|ASHATEK LLC|6600 W 95TH ST.|OVERLAND PARK|KS
1|BLUE INFOSOFT INC|17333 BALLENTINE ST|OVERLAND PARK|KS
