count|employer_name|employer_address1|employer_city|employer_state
2|KNIGHT INFOTECH|7020 HOLLOW OAKS DR|LOUISVILLE|KY
2|KNIGHT INFOTECH LLC|7020 HOLLOW OAKS DR|LOUISVILLE|KY
2|WORK4CE|7310 TURFWAY ROAD|FLORENCE|KY
2|WORK4CE INC|7310 TURFWAY ROAD|FLORENCE|KY
1|7TECHNIX LLC|9322 TAYLORSVILLE ROAD|LOUISVILLE|KY
1|CONSULTANT SOLUTIONS INC|700  ALLENRIDGE POINT|LEXINGTON|KY
1|CONTROL SPACE TECH LLC|312 S 4TH ST. SUITE 700,   LOUISVILLE USA  40202|LOUISVILLE|KY
1|COOLSOFT LLC|3240 OFFICE POINTE PLACE|LOUISVILLE|KY
1|GENTIS SOLUTIONS LLC|50 E RIVERCENTER BLVD|COVINGTON|KY
1|GLOBAL IT SOLUTIONS LLC|111 LOCUST RIDGE ROAD|FRANKFORT|KY
1|GO SYSTEMS LLC|1007 DELAPLAIN ROAD|GEORGETOWN|KY
1|H-3 TECHNOLOGIES LLC|71 CAVALIER BOULEVARD|FLORENCE|KY
1|H-3 TECHNOLOGIES LLC|71  CAVALIER BOULEVARD|FLORENCE|KY
1|KNIGHT INFOTECH|101 N 7TH ST STE 701|LOUISVILLE|KY
1|KNIGHT INFOTECH|101 NORTH SEVENTH STREET, SUITE 701|LOUISVILLE|KY
1|KNIGHT INFOTECH LLC|101 NORTH 7TH STREEET|LOUISVILLE|KY
1|KNIGHT INFOTECH LLC|101 NORTH 7TH STREET|LOUISVILLE|KY
1|KV CONSULTING LLC|1206 MEADOW GLEN DR.|FRANKFORT|KY
1|MERIDIAN SOFTWARE SOLUTIONS INC|2501 CROSSINGS BLVD.|BOWLING GREEN|KY
1|MERIDIAN SOFTWARE SOLUTIONS INC|2501 CROSSINGS BLVD|BOWLING GREEN|KY
1|MKS VISION GROUP INC|4801 OLYMPIA PARK PLAZA, SUITE 1400|LOUISVILLE|KY
1|MKS VISION GROUP LLC|6309 FERN VALLEY PASS, SUITE 103|LOUISVILLE|KY
1|NANOCUBE TECHNOLOGIES LLC|1512 LOUISVILLE ROAD|FRANKFORT|KY
1|PROTACK LLC|2901  RICHMOND ROAD|LEXINGTON|KY
1|PULSE PRO DIGITAL LLC|505 W MAIN ST|LEXINGTON|KY
1|RELIANT CONSULTING SERVICES LLC|10200 LINN STATION ROAD|LOUISVILLE|KY
1|ROBOTICS AUTOMATION CONSULTING LLC|217 E MAIN ST|LOUISVILLE|KY
1|RPS TEK SOL LLC|140 KINGS DAUGHTERS DR|FRANKFORT|KY
1|SAMITEON LLC|5932 TIMBER RIDGE DR|PROSPECT|KY
1|SITEK INC|1040 MONARCH STREET|LEXINGTON|KY
1|STAKEHOLDER PAYROLL SERVICES LLC|12201 BLUEGRASS PARKWAY|LOUISVILLE|KY
1|TECHNOLANCE IT SERVICES LLC|9850 VON ALLMEN CT|LOUISVILLE|KY
1|V-SOFT CONSULTING GROUP INC|2550 EASTPOINT PARKWAY|LOUISVILLE|KY
1|V-SOFT CONSULTING GROUP INC|101 BULLITT LANE|LOUISVILLE|KY
1|VIBRANT TECH LLC|1030 BURLINGTON LN|FRANKFORT|KY
(35 rows)
