count|employer_name|employer_address1|employer_address2|employer_city
5|Tech Rakers Inc|1602 W Pinhook Road|Suite 202 B|Lafayette
5|Tech Raker Inc|1602 W Pinhook Road|Suite 202 B|Lafayette
5|TECH RAKERS INC|1602 W Pinhook Road|Suite 202B|LAFAYETTE
5|Tech Rakers Inc|1602 W Pinhook Road||Lafayette
5|TECH RAKERS INC|1602 W Pinhook Road||LAFAYETTE
4|TAI Engineers LLC|2021 LAKESHORE DRIVE|Unit 414|NEW ORLEANS
4|TAI Engineers LLC|2021 Lakeshore Drive|Suite 414|New Orleans
4|TAI Engineers LLC|2021 Lakeshore Drive|Suite 414|NEW ORLEANS
4|TAI ENGINEERS LLC|2021 Lakeshore Drive|Suite 414|New Orleans
4|Phelps Dunbar LLP|365 Canal Street|Suite 2000|New Orleans
4|Cint USA Inc|365 Canal Street|Suite 3100|New Orleans
4|Lucid Holdings Inc|365 Canal Street|Suite 3100|New Orleans
4|Lucid Holdings LLC|365 Canal Street|Suite 3100|New Orleans
3|Aptim Federal Services LLC|1200 Brickyard Lane|Suite 202|Baton Rouge
3|Aptim Environmental & Infrastructure LLC|1200 Brickyard Lane|Suite 202|Baton Rouge
3|Aptim Environmental & Infrastructure Inc|1200 Brickyard Lane|Suite 202|Baton Rouge
3|CipherQore Solutions Inc|16179 STATE BANK DRIVE|SUITE D|PRAIRIEVILLE
3|CipherQore Solutions Inc|16179 State Bank Drive|Suite D|Prairieville
3|CipherQore Solutions Inc|16179 State Bank Drive||Prairieville
3|APS Engineering and Testing, L.L.C.|1645 Nicholson Dr||Baton Rouge
3|A P S Engineering and Testing LLC|1645 Nicholson Dr||Baton Rouge
3|APS Engineering and Testing|1645 Nicholson Dr||Baton Rouge
3|Cybirical LLC|1654 Ochsner Boulevard||Covington
3|Ampirical Solutions LLC|1654 Ochsner Boulevard||Covington
3|Ampirical Services Inc|1654 Ochsner Boulevard||Covington
3|INFOSYTECH SOLUTIONS INC|211 W ALABAMA AVE||RUSTON
3|Infosytech Solutions Inc|211 W ALABAMA AVE||RUSTON
3|Infosytech Solutions Inc|211 W Alabama Ave||Ruston
3|BONTON ASSOCIATES LLC|232 3rd STREET|SUITE 100|BATON ROUGE
3|BOSTON ASSOCIATES LLC|232 3rd STREET|SUITE 100|BATON ROUGE
3|BONTON ASSOCIATES LLC|232 3rd Street|Suite 100|Baton Rouge
3|BRIS ENGINEERING LLC|4171 ESSEN LANE|SUITE 1100|BATON ROUGE
3|Bear Process Safety LLC|4171 Essen Lane|Suite 425|Baton Rouge
3|Aptim Federal Services LLC|4171 Essen Lane||Baton Rouge
3|Resolvit Resources LLC DBA Resolvit LLC|909 Poydras Street|Suite 1425|New Orleans
