count|employer_name|employer_address1|employer_city|employer_state
35|AMERICAN IT SOLUTIONS INC|38345 W 10 MILE ROAD|FARMINGTON|MI
35|AMEX SYSTEMS INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|APTDATA SOLUTIONS INC|38345 W 10 MILE ROAD|FARMINGTON|MI
35|ARKS IT INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|BHRIGUS INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|BHRIGUS INC|38345 W 10 MILE ROAD|FARMINGTON HILL|MI
35|BHRIUS INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|BRAINS TECHNOLOGY SOLUTIONS INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|BRIGHTSHARKS ENGINEERING SERVICES LLC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|COMPUTEK SOLUTIONS INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|COMPUTEK SOLUTIONS IT|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|DVS TECHNOSOFT INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|EMERGTECH BUSINESS SOLUTIONS INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|EXITO TECH INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|GBSN INFOTECH INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|GENESIS SOFTWARE SOLUTIONS INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|IKON SOFTWARE SERVICES|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|IT RYSOURCES INC|38345 W 10 MILE ROAD|NORTHVILLE|MI
35|IT RYSOURCES INC|38345 W 10 MILE ROAD|FARMINGTONHILLS|MI
35|IT RYSOURCES INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|JK IT SERVICES LLC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|LANCOSOFT INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|MERCEDES-BENZ FINANCIAL SERVICES|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|S3STAFFINGUSA INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|S3STAFFINGUSA LLC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|SAMRU SYSTEMS LLC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|SAMRU SYSTEMS LLC|38345 W 10 MILE ROAD|FARMINGTION HILLS|MI
35|TECHNOVISION SOLUTION LLC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|TECHSWITCH LLC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|TED SOFT SOLUTIONS INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|TEKZENS INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|TISCO GROUP INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|TRENDSET|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|TRENDSET IT INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
35|VKTEK INC|38345 W 10 MILE ROAD|FARMINGTON HILLS|MI
20|9DOTS TECHNOLOGY INC|24155 DRAKE ROAD|FARMINGTON|MI
20|AMEYA GLOBAL INC|24155 DRAKE ROAD|FARMINGTON HILLS|MI
20|CARDUS INC|24155 DRAKE ROAD|FARMINGTON HILLS|MI
20|CODE TECH INC|24155 DRAKE ROAD|FARMINGTON HILLS|MI
20|CODE TECH. INC|24155 DRAKE ROAD|FARMINGTON HILLS|MI
20|NOVISYS LLC|24155 DRAKE ROAD|FARMINGTON HILLS|MI
20|NOVISYS LLC|24155 DRAKE ROAD|FARMINGTON|MI
20|PEGASYS SYSTEMS & TECHNOLOGIES INC|24155 DRAKE ROAD|FARMINGTON|MI
20|POLYGON IT SOLUTIONS LLC|24155 DRAKE ROAD|FARMINGTON HILLS|MI
20|RELYNK IT INC|24155 DRAKE ROAD|FARMINGTON HILLS|MI
20|SATURN TECH LLC|24155 DRAKE ROAD|FARMINGTON|MI
20|TALENT TRUST TECH INC|24155 DRAKE ROAD|FARMINGTON|MI
20|TEK LABS INC|24155 DRAKE ROAD|FARMINGTON HILLS|MI
