count|employer_name|employer_address1|employer_city|employer_state
3|BPK TECH INC|12800 WHITEWATER DRIVE|MINNETONKA|MN
3|GENISYS TECHNOLOGIES INC|3545 PLYMOUTH BLVD|PLYMOUTH|MN
3|MARITZ CONSULTING GROUP|12800 WHITEWATER DRIVE|MINNETONKA|MN
3|MARITZ CONSULTING GROUP INC|12800 WHITEWATER DRIVE|MINNETONKA|MN
3|SOFTN INC|3545 PLYMOUTH BLVD|PLYMOUTH|MN
3|SOFTNINC|3545 PLYMOUTH BLVD|PLYMOUTH|MN
2|ARCUS TECHNOLOGIES|11095 VIKING DRIVE|EDEN PRAIRIE|MN
2|ARCUS TECHNOLOGIES|11095 VIKING DRIVE|EDEN PRAIRE|MN
2|ARROW SOLUTIONS INC|100 S 5TH STREET|MINNEAPOLIS|MN
2|CONCORD USA|509 2ND AVENUE S|HOPKINS|MN
2|CONCORD USA LLC|509 2ND AVENUE S|HOPKINS|MN
2|EVS INC|10025 VALLEY VIEW ROAD|EDEN PRAIRIE|MN
2|EVS INC.|10025 VALLEY VIEW ROAD|EDEN PRAIRIE|MN
2|G-SOL LLC|5858 BLACKSHIRE PATH|INVER GROVE HEIGHTS|MN
2|HEALTHCARE INFORMATION TECHNOLOGY CONSULTING SERVICES|2355 HIGHWAY 36 WEST|ROSEVILLE|MN
2|ICON IT GROUP|3535 PLYMOUTH BLVD|PLYMOUTH|MN
2|ICON ITGROUP|3535 PLYMOUTH BLVD|PLYMOUTH|MN
2|INTEGRATED HEALTH GROUP|2355 HIGHWAY 36 WEST|ROSEVILLE|MN
2|ITPROFOUND INC|5858 BLACKSHIRE PATH|INVER GROVE HEIGHTS|MN
2|KONNECTINGTREE INC|6385 OLD SHADY OAK ROAD|EDEN PRAIRIE|MN
2|LEADING EDGE TECHNOLOGIES|333 WASHINGTON AVENUE N|MINNEAPOLIS|MN
2|LEADING EDGE TECHNOLOGIES LLC|333 WASHINGTON AVENUE N|MINNEAPOLIS|MN
2|NANOARK TECHNOLOGY LLC|6385 OLD SHADY OAK ROAD|EDEN PRAIRIE|MN
2|NEXT TECHNOLOGIES LLC|8120 PENN AVE S|BLOOMINGTON|MN
2|NIHILENT ANALYTICS INC|2665 LONG LAKE ROAD|ROSEVILLE|MN
2|NIHILENT INC|2665 LONG LAKE ROAD|ROSEVILLE|MN
2|OPTUM SERVICES INC|11000 OPTUM CIRCLE|EDEN PRAIRIE|MN
2|OPTUM SERVICES INC|11000 OPTUM CIRCLE|EDEN PRARIE|MN
2|OREMDA INFOTECH INC|5851 CEDAR LAKE ROAD SOUTH|SAINT LOUIS PARK|MN
2|OREMDA INFOTECH INC|5851 CEDAR LAKE ROAD SOUTH|ST. LOUIS PARK|MN
2|PROFESSIONAL CONSULTING INC|5275 EDINA INDUSTRIAL BLVD|EDINA|MN
2|PROFESSIONAL CONSULTING INC |5275 EDINA INDUSTRIAL BLVD|EDINA|MN
2|REDIFCARD TECHNOLOGIES LLC|8120 PENN AVE S|BLOOMINGTON|MN
2|ROGERS FREELS & ASSOCIATES INC|12986 VALLEY VIEW ROAD|EDEN PRAIRIE|MN
2|ROGERS FREELS AND ASSOCIATES INC|12986 VALLEY VIEW ROAD|EDEN PRAIRIE|MN
2|SMART SOLUTIONS INC|8401 WAYZATA BLVD|55426|MN
2|SMART SOLUTIONS INC|8401 WAYZATA BLVD|GOLDEN VALLEY|MN
2|TURNBERRY SOLUTIONS INC|100 S 5TH STREET|MINNEAPOLIS|MN
2|U.S. ELECTRONICS INC|900 COLORADO AVENUE S|MINNEAPOLIS|MN
2|US ELECTRONICS INC|900 COLORADO AVENUE S|MINNEAPOLIS|MN
1|AGILE TECHNOLOGIES INC|8385 BRUMBY TRL|WOODBURY|MN
1|AGILE TECHNOLOGIES INC|732 LAKE RIDGE DR|WOODBURY|MN
1|AGILEITSERVICE LLC|7373 WEST 147TH STREET|APPLE VALLEY|MN
1|AGILEITSERVICE LLC|7373 WEST 147TH STREET, SUITE 151D|APPLE VALLEY|MN
1|AI IN MOTION CORPORATION|3411 A KILMER LANE NORTH|PLYMOUTH|MN
1|ALEVAR TECHNOLOGIES INC|1380 CORPORATE CENTER CURVE|EAGAN|MN
1|ALPINE TECHQ INC|5624 LINCOLN DRIVE|EDINA|MN
1|ALPINE TECHQ INC|5624 LINCOLN DR|EDINA|MN
1|B2B TECHNOLOGY INC|15600 35TH AVENUE N|PLYMOUTH|MN
1|BASSWOOD LLC|3947 HUNTINGDON DRIVE|MINNETONKA|MN
1|BETASHARP INC|1710 NORTH DOUGLAS DR|GOLDEN VALLEY|MN
1|BETASHARP INC|1710 DOUGLAS DRIVE|GOLDEN VALLEY|MN
1|BPTEK LLC|1710 NORTH DOUGLAS DRIVE|GOLDEN VALLEY|MN
1|CADAN CORPORATION|4131 OLD SIBLEY MEMORIAL HWY|EAGAN|MN
1|CERIDIAN HCM INC|3311 EAST OLD SHAKOPEE ROAD|MINNEAPOLIS|MN
1|CLIFF IT SOLUTIONS INC|9380 CENTRAL AVE, NE , SUITE 200|BLAINE|MN
1|COMPETNT SYSTEMS LLC|1710 DOUGLAS DR N|GOLDEN VALLEY|MN
1|DA VINCI SOFTWARE SOLUTIONS LLC|202 N. CEDAR AVENUE (VIRTUAL LOCATION)|OWATONNA|MN
1|DEV-X CONSULTING LLC|1285 124TH CT NE|BLAINE|MN
1|DWAITH INFO TECH INC|7300 WEST 147TH STREET|APPLE VALLEY|MN
1|ELAN TC LLC|400 SOUTH 4TH STREET|MINNEAPOLIS|MN
1|ELITE INFOSYSTEMS INC|3811 WHITETAIL DRIVE|SHAKOPEE|MN
1|EMBLEMATIC TECH SOLUTIONS LLC|11670 FOUNTAINS DR|MINNEAPOLIS|MN
1|ENABLE DATA INC|2811 UNIVERSITY AVENUE SE|MINNEAPOLIS|MN
1|EXPLICIT SYSTEMS USA INC|12100 SINGLETREE LANE|EDEN PRAIRIE|MN
1|FRONTAGE TECHNOLOGIES INC|6215 BRANCH LANE NW|ROCHESTER|MN
1|GENISYS TECHNOLOGIES INC|3545 PLYMOUTH BLVD.|PLYMOUTH|MN
1|GLOBAL INTELLECTUALS LLC|900 AMERICAN BOULEVARD E|BLOOMINGTON|MN
1|GLOBAL IT SOLUTIONS INC|6417 PENN AVE S|MINNEAPOLIS|MN
