count|employer_name|employer_address1|employer_city|employer_state
7|ALPHA SYNOPSYS INC|100 CHESTERFIELD BUSINESS PARKWAY|CHESTERFIELD|MO
7|DATAMONK SOLUTIONS INC|100 CHESTERFIELD BUSINESS PARKWAY|ST LOUIS|MO
7|DATAMONK SOLUTIONS INC|100 CHESTERFIELD BUSINESS PARKWAY|CHESTERFIELD|MO
7|DEVOIR SOFTWARE SOLUTIONS LLC|100 CHESTERFIELD BUSINESS PARKWAY|CHESTERFIELD|MO
7|HANUHIGH TECHNOLOGIES INC|100 CHESTERFIELD BUSINESS PARKWAY|CHESTERFIELD|MO
7|KI INFOSYSTEMS LLC|100 CHESTERFIELD BUSINESS PARKWAY|CHESTERFIELD|MO
7|RS SOLUTIONS LLC|100 CHESTERFIELD BUSINESS PARKWAY|CHESTERFIELD|MO
3|AMDOCS INC|625 MARYVILLE CENTRE DRIVE|TOWN & COUNTRY|MO
3|AMDOCS INC|625 MARYVILLE CENTRE DRIVE|ST. LOUIS|MO
3|CREDENCE TECHNOLOGIES LLC|930 KEHRS MILL ROAD|BALLWIN|MO
3|DATALEADS TECHNOLOGY SERVICES LLC|100 CHESTERFIELD BUSINESS PKWY|CHESTERFIELD|MO
3|I3GLOBALTECH INC|930 KEHRS MILL ROAD|BALLWIN|MO
3|INSPIRIX TECHNOLOGIES LLC|330 JUNGERMANN ROAD|ST PETERS|MO
3|INSPIRIX TECHNOLOGIES LLC|330 JUNGERMANN ROAD|ST. PETERS|MO
3|INSPIRIX TECHNOLOGIES LLC|330 JUNGERMANN ROAD|SAINT PETERS|MO
3|NETARCH AMERICA INC|930 KEHRS MILL ROAD|BALLWIN|MO
3|NSTARX INC|13610  BARRETT OFFICE DR.|MANCHESTER|MO
3|NSTARX INC F.K.A ABHRA INC|13610  BARRETT OFFICE DR.|MANCHESTER|MO
3|NSTARX INC F/K/A ABHRA INC|13610  BARRETT OFFICE DR.|MANCHESTER|MO
3|RECHARS SOLUTIONS LLC|100 CHESTERFIELD BUSINESS PKWY|CHESTERFIELD|MO
3|SOVEREIGN TECHNOLOGIES LLC|13421 MANCHESTER ROAD|ST  LOUIS|MO
3|SOVEREIGN TECHNOLOGIES LLC|13421 MANCHESTER ROAD|ST.  LOUIS|MO
3|SOVEREIGN TECHNOLOGIES LLC|13421 MANCHESTER ROAD|ST. LOUIS|MO
3|TEKGLOBAL LLC|100 CHESTERFIELD BUSINESS PKWY|CHESTERFIELD|MO
3|TELECOM TECHNOLOGY SERVICES INC|625 MARYVILLE CENTRE DRIVE|ST. LOUIS|MO
3|VINTECH SOLUTIONS INC|9715 OLIVE BLVD|SAINT LOUIS|MO
3|VINTECH SOLUTIONS INC|9715 OLIVE BLVD|OLIVETTE|MO
3|VINTECH SOLUTIONS INE|9715 OLIVE BLVD|OLIVETTE|MO
2|AI LABS WEB LLC|929 FEE FEE ROAD|MARYLAND HEIGHTS|MO
