count|employer_name|employer_address1|employer_address2|employer_city
19|HDR Architecture Inc|1917 South 67th Street||Omahah
19|Henningson, Durham & Richardson of Penn. Archs. & Engrs. P.C.|1917 South 67th Street||Omaha
19|Henningson, Durham & Richardson, PC|1917 South 67th Street||Omaha
19|Henningson, Durham & Richardson of Penn, Archs. & Engrs. P.C.|1917 South 67th Street||Omaha
19|Henningson, Durham & Richardson of Penn Archs. & Engrs. P.C.|1917 South 67th Street||Omaha
19|HDR Architecture Inc|1917 South 67th Street||Omaha
19|Henningson, Durham & Richardson of Penn., Archs. & Engrs., P.C.|1917 South 67th Street||Omaha
19|HDr Architecture Inc|1917 South 67th Street||Omaha
19|HDR Michigan Inc|1917 South 67th Street||Omaha
19|HDR Inc|1917 South 67th Street||Omaha
19|HDR Engineering, inc.|1917 South 67th Street||Omaha
19|HDR Engineering Inc of the Carolinas|1917 South 67th Street||Omaha
19|HDR Engineering Inc|1917 South 67th Street||Omaha
19|HDR Corporate Services Inc|1917 South 67th Street||Omaha
19|HDR Construction Control Corporation|1917 South 67th Street||Omaha
19|HDR Architects and Engineers, PC|1917 South 67th Street||Omaha
19|HDR Architects & Engineers, PC|1917 South 67th Street||Omaha
19|City Point Partners LLC|1917 South 67th Street||Omaha
19|HDR Architecture Inc|1917 south 67th Street||Omaha
11|TRACEMATRIX TECHNOLOGIES LLC|1408 FORT CROOK ROAD||BELLEVUE
11|TOPROW RESOURCES|1408 FORT CROOK ROAD||BELLEVUE
11|TNEXTSYSTEMS LLC|1408 FORT CROOK ROAD||BELLEVUE
11|STACKLE LLC|1408 FORT CROOK ROAD||BELLEVUE
11|DIGITALDRIP LLC|1408 FORT CROOK ROAD||BELLEVUE
11|DATADEX SYSTEMS|1408 FORT CROOK ROAD||BELLEVUE
11|VERTEXPIRE LLC|1408 FORT CROOK ROAD||BELLEVUE
11|SELOGIX SERVICES LLC|1408 FORT CROOK ROAD||BELLEVUE
11|NEXTILE TECHNOLOGIES LLC|1408 FORT CROOK ROAD||BELLEVUE
11|CRYSTAL ANALYTICS LLC|1408 FORT CROOK ROAD||BELLEVUE
11|DATAREK SERVICES LLC|1408 FORT CROOK ROAD||BELLEVUE
6|CLOUD BIG DATA TECHOLOGIES|639 S LOCUST ST|SUITE 101|GRAND ISLAND
6|CLOUD BIG DATA TECHNOLOGIES LLC|639 S LOCUST ST|SUITE 101|GRAND ISLAND
6|ROBOTIC PROCESS AUTOMATION LLC|639 S LOCUST ST|SUITE 103|GRAND ISLAND
6|MACHINE LEARNING TECHNOLOGIES LLC|639 S LOCUST ST|SUITE 105|GRAND ISLAND
6|ARTIFINT TECHNOLOGIES LLC|639 S LOCUST ST|SUITE 107|GRAND ISLAND
6|AMERICAN TECHNOLOGY GROUP LLC|639 S LOCUST ST|SUITE 115|GRAND ISLAND
4|ROBOTICS TECHNOLOGIES LLC|110 E C ST|SUITE 101|MCCOOK
4|ARTIFICIAL INTELLIGENCE TECHNOLOGIES LLC|110 E C ST|SUITE 103|MCCOOK
4|DATA SCIENCE TECHNOLOGIES LLC|110 E C ST|SUITE 201|MCCOOK
4|CLOUD HYBRID TECHNOLOGIES LLC|110 E C ST|SUITE 203|MCCOOK
4|SOHANIT INC|11414 W CENTER ROAD|SUITE 233|OMAHA
4|Sohanit INC|11414 W CENTER ROAD||OMAHA
4|TANGLE SYSTEMS LLC|11414 W Center Road|Ste 235|Omaha
4|Tangle Systems LLC|11414 W Center Road|Ste 235|Omaha
4|DIGITAL TECHNOLOGIES LLC|640 S PINE ST|SUITE 109|GRAND ISLAND
4|BLOCKCHAIN TECHNOLOGIES LLC|640 S PINE ST|SUITE 111|GRAND ISLAND
4|VCLOUD TECHNOLOGY GROUP LLC|640 S PINE ST|SUITE 113|GRAND ISLAND
4|SUNRISE TECHNOLOGIES LLC|640 S PINE ST|SUITE 117|GRAND ISLAND
