count|employer_name|employer_address1|employer_city|employer_state
3|TELUS INTERNATIONAL (U.S.) CORP|2251 S. DECATUR BLVD.|LAS VEGAS|NV
3|TELUS INTERNATIONAL DIGITAL SOLUTIONS LLC|2251 S. DECATUR BLVD.|LAS VEGAS|NV
3|XAVIENT DIGITAL LLC|2251 S. DECATUR BLVD.|LAS VEGAS|NV
2|INFOTRON SOLUTION LLC|350 E. 2ND STREET|RENO|NV
2|INFOTRON SOLUTION LLC|300 E. 2ND STREET|RENO|NV
2|INFOTRON SOLUTIONS LLC|300 E. 2ND STREET|RENO|NV
2|INFOTRON SOLUTIONS LLC|350 E. 2ND STREET|RENO|NV
1|ALPHAMINT TECH LLC|400 S. 4TH STREET|LAS VEGAS|NV
1|B.I.R SOLUTIONS LLC|450 SINCLAIR ST.|RENO|NV
1|BREADWARE HOLDING LLC|450 SINCLAIR ST|RENO|NV
1|CHRYSOS AMERICA LLC|200 S VIRGINIA STREET|RENO|NV
1|ELLIANSE LLC|2520 SAINT ROSE PARKWAY|HENDERSON|NV
1|ELLIANSE LLC|2520 SAINT  ROSE PARKWAY|HENDERSON|NV
1|ENLIGHTENED SOLUTIONS LLC|400 S 4TH ST|LAS VEGAS|NV
1|INFOTRON SOLUTIONS LLC|3225 MCLEOD DR.|LAS VEGAS|NV
1|INFOTRON SOLUTIONS LLC|300 E 2ND STREET|RENO|NV
1|INTENTMACRO INC|316 CALIFORNIA AVE  42|RENO|NV
1|INTENTMACRO INC|316 CALIFORNIA AVE  41|RENO|NV
1|KNITT LLC|401 RYLAND STREET|RENO|NV
1|KNITT LLC|401 RYLAND ST|RENO|NV
1|KRONICTECH CORP|4280 W WINDMILL LN|LAS VEGAS|NV
1|MAXANA LLC|10175 W. TWAIN AVENUE|LAS VEGAS|NV
1|MELLOWSOFT INC|1050 E FLAMINGO ROAD|LAS VEGAS|NV
1|NEVADA NANOTECH SYSTEMS INC|1395 GREG ST.|SPARKS|NV
1|NIVIDOUS SOFTWARE SOLUTIONS INC|4730 S. FORT APACHE ROAD|LAS VEGAS|NV
1|ORPHOSYS CORP|3651 LINDELL ROAD|LAS VEGAS|NV
1|PUYENPA SERVICES LLC|511 DUCKWATER FALLS ROAD|DUCKWATER|NV
1|RAKIRS SYSTEMS LLC|2831 ST.ROSE PKWY|HENDERSON|NV
1|RS CONSULTING SERVICES LLC|2318 COPPER SPRINGS DR|RENO|NV
1|SAINERGY INC|10655 PROFESSIONAL CIRCLE|RENO|NV
1|SIMPLE MAX TECH LLC|8860 S MARYLAND PKWY|LAS  VEGAS|NV
1|SRIPADHA INC|10161 W PARK RUN DR|LAS VEGAS|NV
1|SRIPADHA INC|10161 W. PARK RUN DR.|LAS VEGAS|NV
1|SRIPADHA INC|10161 W PARK RUN DR,|LAS VEGAS|NV
1|SRIPADHA INC|8350 W SAHARA AVE|LAS VEGAS|NV
1|TELUS INTERNATIONAL (U.S.) CORP|2251 S. DECATURE BLVD.|LAS VEGAS|NV
1|THINKBYTE LLC|3867 PARK FIELD DR|LAS VEGAS|NV
1|THINKBYTE LLC|3460 EAST SUNSET ROAD|LAS VEGAS|NV
1|TRIPLEAIM HEALTHCARE P.C.|2445 EMBER MIST COURT|LAS VEGAS|NV
(39 rows)
