count|employer_name|employer_address1|employer_city|employer_state
7|CLOUD BRIDGE SOLUTIONS INC|1 TARA BLVD|NASHUA|NH
7|CLOUD BRIDGE SOLUTIONS INC|1 TARA BLVD|SUITE 200|NH
7|DATASERV INC|1 TARA BLVD|NASHUA|NH
7|DEEBECON INC|1 TARA BLVD|NASHUA|NH
7|EBYTES TECHNOLOGY INC|1 TARA BLVD|NASHUA|NH
7|I.T.EXCEL LLC|1 TARA BLVD|NASHUA|NH
7|TECHMIND SOFTWARE SOLUTIONS LLC|1 TARA BLVD|NASHUA|NH
3|EMR IT SOLUTIONS LLC|402 AMHERST STREET|NASHUA|NH
3|I.T. EXCEL LLC|402 AMHERST STREET|NASHUA|NH
3|I.T.EXCEL LLC|402 AMHERST STREET|NASHUA|NH
2|9THNETWORKS INC|17 GRAND STREET|SOMERSWORTH|NH
2|9THNETWORKS INC|17 GRAND STREET|SOMERWORTH|NH
2|HIGHDATA SOFTWARE CORPORATION|45 STILES ROAD|SALEM|NH
2|HIGHDATA SOTWARE CORPORATION|45 STILES ROAD|SALEM|NH
1|9THNETWORKS INC|103 MAIN STREET|SOMERSWORTH|NH
1|9THNETWORKS INC|17 GRAND ST|SOMERSWORTH|NH
1|AKKEN INC|98 SPIT BROOK ROAD|NASHUA|NH
1|AKKEN INC|300 INNOVATIVE WAY|NASHUA|NH
1|ARISTON TEK INC|5 INDEPENDENCE WAY|PRINCETON|NH
1|AXZORA RESOURCING LLC|2 JEANNETTE LANE|DERRY|NH
1|BIG SKY GLOBAL LLC|20 COUNTRY CLUB DRIVE|MANCHESTER|NH
1|BIZANALYTICA LLC|1B COMMONS DRIVE|LONDONDERRY|NH
1|BRIDGEPOINT CONSULTING INC|1000 MARKET STREET|PORTSMOUTH|NH
1|CAMP SYSTEMS INTERNATIONAL INC|11 CONTINENTAL BOULEVARD|MERRIMACK|NH
1|CCSOLTECH LLC|12 SUNBLAZE DR|NASHUA|NH
1|CLOUD BRIDGE SOLUTIONS INC|1 TARA BLVD SUITE 200|NASHUA|NH
1|DECISIONWAVE TECHNOLOGIES INC|264 SOUTH RIVER ROAD|BEDFORD|NH
1|EMR IT SOLUTIONS LLC|400 AMHERST STREET|NASHUA|NH
1|FOURHUB TECHNOLOGIES INC|15 CONSTITUTION DR|BEDFORD|NH
1|FUBEUS INC|1 TARA BOULEVARD|NASHUA|NH
1|HIGHDATA SOFTWARE CORPORATION|7 STILES ROAD|SALEM|NH
1|HIGHDATA SOFTWARE CORPORATION|7 STILES ROAD, SUITE 101|SALEM|NH
1|HIGHDATA SOFTWARE CORPORATION|45STILES ROAD|SALEM|NH
1|IPURA CONSULTING GROUP LLC|8 MOHAWK STREET|HAMPTON|NH
1|KANAP SYSTEMS LLC|130 MAIN STREET|SALEM|NH
1|MICRODESK INC|10 TARA BOULEVARD|NASHUA|NH
1|MM INFO SOLUTIONS INC|ONE TARA BLVD|NASHUA|NH
1|PEAKPOINT TECHNOLOGIES INC|155 MAIN DUNSTABLE ROAD|NASHUA|NH
1|PEAKPOINT TECHNOLOGIES INC|25 SCHWINN DRIVE|NASHUA|NH
1|REDDY INFOSYS INC|66 HIGH STREET|SOMERSWORTH|NH
1|REDDY INFOSYS INC|82 HIGH STREET|SOMERSWORTH|NH
1|REDDY INFOSYS INC|66 HIGHSTREET|SOMERSWORTH|NH
1|ROSHI TECH INC|5 CASTLETON COURT|MERRIMACK|NH
1|SCIENTIA SYSTEMS LLC|71 SPIT BROOK ROAD|NASHUA|NH
1|SERVE PROFESSIONALS INC|1 HARDY ROAD|BEDFORD|NH
1|SINCERA TECHNOLOGIES INC|61 NORTH STREET|MANCHESTER|NH
1|SMA TECH LLC|46 TECHNOLOGY WAY|NASHUA|NH
1|TECHLOGIC SOLUTIONS LLC|20 TRAFALGAR SQUARE|NASHUA|NH
1|UNIQUE SYSTEM SKILLS LLC|547 AMHERST STREET|NASHUA|NH
1|UNIQUE SYSTEM SKILLS LLC|505 WEST HOLLIS STREET|NASHUA|NH
1|WESPOTHIRE LLC|1 TARA BOULEVARD, SUITE 200|NASHUA|NH
1|ZENITH SOFTWARE INC|43 SCOTT AVENUE|NASHUA|NH
1|ZENITH SOFTWARE INC|43 SCOTT AVE|NASHUA|NH
(53 rows)
