count|employer_name|employer_address1|employer_city|employer_state
1|APPLIED RESEARCH ASSOCIATES INC|4300 SAN MATEO BLVD NE|ALBUQUERQUE|NM
1|ARMONICA TECHNOLOGIES INC|5901 INDIAN SCHOOL ROAD NE|ALBUQUERQUE|NM
1|ATRIX TECHNOLOGIES LLC|5203 JUAN TABO BLVD NE|ALBUQUERQUE|NM
1|HYPERION TECHNOLOGIES LLC|21335 SIGNAL HILL PLAZA|STERLING|NM
1|LOGICONIX SYSTEMS INC|11311 MENAUL BLVD NE|ALBUQUERQUE|NM
1|NMC INC|4200 W JEMEZ ROAD|LOS ALAMOS|NM
1|NMC INC|4200 W. JEMEZ ROAD|LOS ALAMOS|NM
1|NMC INC|4200 WEST JEMEZ ROAD|LOS ALAMOS|NM
1|SPERIDIAN TECHNOLOGIES LLC|2400 LOUISIANA BLVD. NE, BLDG. 3,|ALBUQUERQUE|NM
1|SPERIDIAN TECHNOLOGIES LLC|2400 LOUISIANA BOULEVARD NE|ALBUQUERQUE|NM
1|SPERIDIAN TECHNOLOGIES LLC|2400 LOUISIANA BOULEVARD NORTHEAST|ALBUQUERQUE|NM
1|SPERIDIAN TECHNOLOGIES LLC|2400 LOUISIANA BOULEVARD. NE, BUILDING. 3|ALBUQUERQUE|NM
1|SPERIDIAN TECHNOLOGIES LLC|2400  LOUISIANA BLVD. NE|ALBUQUERQUE|NM
1|SPERIDIAN TECHNOLOGIES LLC|2400 LOUISANA BLVD. NE|ALBUQUERQUE|NM
1|SPERIDIAN TECHNOLOGIES LLC|2400 LOUISIANA BLVD NE|ALBUQUERQUE|NM
1|SPERIDIAN TECHNOLOGIES LLC|2400 LOUISIANA BLVD.|ALBUQUERQUE|NM
1|SPERIDIAN TECHNOLOGIES LLC|2400 LOUISIANA BLVD. NE|ALBUQUERQUE|NM
1|SPERIDIAN TECHNOLOGIES LLC|2400 LOUISIANA BLVD. NE, , , NM, USA|ALBUQUERQUE|NM
1|SPERIDIAN TECHNOLOGIES LLC|2400 LOUISIANA BLVD. NE, BLDG. 3|ALBUQUERQUE|NM
1|TETRIXSOFT LLC|4041 JEFFERSON PLZ NE|ALBUQUERQUE|NM
1|THE NATIONAL CENTER FOR GENOME RESOURCES|2935 RODEO PARK DRIVE EAST|SANTA FE|NM
1|TIME AND SPACE HUB LLC|1617 CAMINO LA CANADA|SANTA FE|NM
1|TRIAD NATIONAL SECURITY LLC|PO BOX 1663, MS P237|LOS ALAMOS|NM
1|UNIBYTE SYSTEMS LLC|4900 LANG AVE|ALBUQUERQUE|NM
1|VERDACITY LLC|6765 GUADALUPE TRAIL NW|LOS RANCHOS|NM
1|WHIZ TECH CONSULTING LLC|6300 RIVERSIDE PLAZA LN NW STE|ALBUQUERQUE|NM
(26 rows)
