count|employer_name|employer_address1|employer_city|employer_state
5|BOTO3 INC|175 GREENWICH STREET|NEW YORK|NY
5|CONSULTADD INC|175 GREENWICH STREET|NEW YORK|NY
5|EUREKA INFOTECH INC|76 N BROADWAY|HICKSVILLE|NY
5|LETHYA GROUP INC|76 N BROADWAY|HICKSVILLE|NY
5|NETRESOLUTE INC|175 GREENWICH STREET|NEW YORK|NY
5|NETROVERT SOFTWARE INC|76 N BROADWAY|HICKSVILLE|NY
5|PYTHONWISE INC|175 GREENWICH STREET|NEW YORK|NY
5|SRIVIN INFOSYSTEMS INC|76 N BROADWAY|HICKSVILLE|NY
5|SVN IT SERVICES INC|76 N BROADWAY|HICKSVILLE|NY
5|ZIOQU INC|175 GREENWICH STREET|NEW YORK|NY
4|SRIVEN INFO INC|400 S OYSTER BAY ROAD|HICHSVILLE|NY
4|SRIVEN INFO INC|400 S OYSTER BAY ROAD|HICKSVILLE|NY
4|TT TECHNOLOGIES INC|400 S OYSTER BAY ROAD|HICJSVILLE|NY
4|TT TECHNOLOGIES INC|400 S OYSTER BAY ROAD|HICKSVILLE|NY
3|ACCORD SOFTWARE LLC|90 STATE STREET|ALBANY|NY
3|ALBANY INFORMATION TECHNOLOGY GROUP LLC|90 STATE STREET|ALBANY|NY
3|ANDRE GLOBAL INC|1460 BROADWAY|NEW YORK|NY
3|BAHA INDUSTRIES CORPORATION|469 7TH AVENUE|NEW YORK|NY
3|BOTO3 INC|175 GREENWICH ST|NEW YORK|NY
3|CONSULTADD INC|175 GREENWICH ST.|NEW YORK|NY
3|DELFERS BUSINESS SOLUTIONS INC|401 PARK AVENUE SOUTH|NEW YORK|NY
3|DELFERS BUSINESS SOLUTIONS INC|401 PARK AVENUE SOUTH|NY-NEW YORK|NY
3|ENQUERO INC|521 5TH AVENUE|NEW YORK|NY
3|EXALT-FI NORTH AMERICA INC|1460 BROADWAY|NEW YORK|NY
3|FRACTAL ANALYTICS INC|ONE WORLD TRADE CENTER|NEW YORK|NY
3|GENISYS SOFTWARE LTD.|1345 AVENUE OF THE AMERICAS|NEW YORK|NY
3|GENPACT LLC|521 5TH AVENUE|NEW YORK|NY
3|HEADSTRONG SERVICES LLC|521 5TH AVENUE|NEW YORK|NY
3|HEALTH RESEARCH INC|150 BROADWAY|MENANDS|NY
3|HEATH RESEARCH INC|150 BROADWAY|MENANDS|NY
3|INNOVEE CONSULTING LLC|1345 AVENUE OF THE AMERICAS|NEW YORK|NY
3|NETRESOLUTE INC|175 GREENWICH ST|NEW YORK|NY
3|OMICROWN LLC|ONE WORLD TRADE CENTER|NEW YORK|NY
3|OPEN SYSTEMS TECHNOLOGIES INC|469 7TH AVENUE|NEW YORK|NY
3|POCURIO INC|ONE WORLD TRADE CENTER|NEW YORK|NY
3|PYTHONWISE INC|175 GREENWICH ST.|NEW YORK|NY
3|QUANTEAM NORTH AMERICA INC|1460 BROADWAY|NEW YORK|NY
3|RADIANTZE INC|1345 AVENUE OF THE AMERICAS|NEW YORK|NY
3|RESEARCH FOUNDATION FOR STATE UNIVERSITY OF NEW YORK|S5422 MELVILLE LIBRARY|STONY BROOK|NY
3|RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK|S5422 MELVILLE LIBRARY|STONY BROOK|NY
3|SBS INFO SYSTEMS LLC|90 STATE STREET|ALBANY|NY
3|SRIVEN INFO INC|43-14, MAIN STREET|FLUSHING|NY
3|SRIVEN INFOSYS INC|43-14, MAIN STREET|FLUSHING|NY
3|THE RESEARCH FOUNDATION FOR MENTAL HYGIENE INC|150 BROADWAY|MENANDS|NY
3|THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK|S5422 MELVILLE LIBRARY|STONY BROOK|NY
3|THE VERITAS HEALTHCARE SOLUTIONS LLC|469 7TH AVENUE|NEW YORK|NY
3|TT TECHNOLOGIES INC|43-14, MAIN STREET|FLUSHING|NY
3|VITECH SYSTEMS GROUP SUB LLC|401 PARK AVENUE SOUTH|NEW YORK|NY
3|ZIOQU INC|175 GREENWICH ST|NEW YORK|NY
3|ZIOQU INC|175 GREENWICH ST.|NEW YORK|NY
2|ACQUIRE CONSULTING GROUP LTD|269 ACRE LANE|HICKSVILLE|NY
2|ACQUIRE CONSULTING GROUP LTD.|269 ACRE LANE|HICKSVILLE|NY
2|ALPHAPRIMETECH INC|116 NEW SOUTH ROAD|HICKSVILLE|NY
2|AMERICAN SOFTWARE RESOURCES INC|4 BROWER AVENUE|WOODMERE|NY
2|APPLIED VALUE LLC|350 FIFTH AVENUE|NEW YORK|NY
2|AVANI TECHNOLOGY SOLUTIONS INC|687 LEE ROAD|ROCHESTER|NY
2|BAHA INDUSTRIES CORPORATION|102 WEST, 38TH STREET|NEW YORK|NY
2|BAISYS CONSULTING LLC|50 MAIN STREET|WHITE PLAINS|NY
2|COLD SPRING HARBOR LABORATORY|1 BUNGTOWN ROAD|COLD SPRING HARBOR|NY
2|COLD SPRING HARBOR LABORATORY SCHOOL OF BIOLOGICAL SCIENCES|1 BUNGTOWN ROAD|COLD SPRING HARBOR|NY
2|COMPUTER TASK GROUP INC|300 CORPORATE PARKWAY|AMHERST|NY
2|COMPUTER TASK GROUP INC|300 CORPORATE PARKWAY|BUFFALO|NY
2|EXL|320 PARK AVENUE|NEW YORK|NY
2|EXLSERVICE.COM LLC|320 PARK AVENUE|NEW YORK|NY
2|FINASTRA FINANCIAL TECHNOLOGY CORPORATION|285 MADISON AVENUE|NEW YORK CITY|NY
2|FIVESKY LLC|1 PENN PLAZA|NEW YORK|NY
2|GLACIER LAW PLLC|41 MADISON AVENUE|NEW YORK|NY
2|HALLMARK GLOBAL TECHNOLOGIES INC|200 MOTOR PARKWAY|HAUPPAUGE|NY
2|HEALTH RESEARCH INC|150 BROADWAY, SUITE 280|MENANDS|NY
2|HEATH RESEARCH INC|150 BROADWAY, SUITE 280|MENANDS|NY
2|INDOTRONIX INTERNATIONAL CORPORATION|687 LEE ROAD|ROCHESTER|NY
2|INSYS GROUP INC|600 5TH AVENUE|NEW YORK|NY
2|IQ INFOTEK INC|300 GREAT OAKS BLVD|ALBANY|NY
2|JEDI ARK CORP|300 GREAT OAKS BLVD|ALBANY|NY
2|KEANE SYSTEMS LLC|107-109 BROADWAY|HICKSVILLE|NY
2|KNOVIQ IT SOLUTIONS|30 BAYBERRY LANE|LEVITTOWN|NY
2|KNOVIQ IT SOLUTIONS LLC|30 BAYBERRY LANE|LEVITTOWN|NY
2|KNOWLEDGE BUILDERS INC|1977 WESTERN AVENUE|ALBANY|NY
2|KNOWLEDGE BUILDERS INCORPORATED|1977 WESTERN AVENUE|ALBANY|NY
2|LABELLA ASSOCIATES D.P.C|300 STATE STREET|ROCHESTER|NY
2|LABELLA ASSOCIATES D.P.C.|300 STATE STREET|ROCHESTER|NY
2|LETHYA GROUP INC|116 NEW SOUTH ROAD|HICKSVILLE|NY
2|LUXOFT USA INC|600 5TH AVENUE|NEW YORK|NY
2|LUXOFT USA INC|1 ROCKEFELLER PLAZA|NEW YORK|NY
2|M&J ENGINEERING P.C.|2003 JERICHO TURNPIKE|NEW HYDE PARK|NY
2|M&J ENGINEERING PC.|2003 JERICHO TURNPIKE|NEW HYDE PARK|NY
2|MACH 2000 TECHNOLOGIES INC|4 BROWER AVENUE|WOODMERE|NY
2|MAGNIT LLC|999 STEWART AVENUE|BETHPAGE|NY
2|MICRONET IT SOLUTIONS INC|5 COMPUTER DRIVE W|ALBANY|NY
2|MP ENGINEERS AND ARCHITECT P.C.|40 RECTOR STREET|NEW YORK|NY
2|MP ENGINEERS AND ARCHITECTS P.C.|40 RECTOR STREET|NEW YORK|NY
2|MPHASIS CORPORATION|41 MADISON AVENUE|NEW YORK|NY
2|NAFI TECHNOLOGIES CORP|50 FOUNTAIN PLAZA|BUFFALO|NY
2|NSD LNTERNATIONAL INC|50 MAIN STREET|WHITE PLAINS|NY
2|OMNIMARKETS LLC|85 BROAD STREET|NEW YORK CITY|NY
2|OPEN SYSTEMS TECHNOLOGIES INC|102 WEST, 38TH STREET|NEW YORK|NY
2|ORANGE INFORMATION TECHNOLOGY SOLUTIONS|499 S WARREN ST|SYRACUSE|NY
2|ORANGE INFORMATION TECHNOLOGY SOLUTIONS INC|499 S WARREN ST|SYRACUSE|NY
2|PEGAFRAME INFOTECH INC|1177 AVENUE OF THE AMERICAS|NEW YORK CITY|NY
2|PRESIDIO NETWORKED SOLUTIONS LLC|ONE PENN PLAZA|NEW YORK|NY
2|PRO UNLIMITED INC|999 STEWART AVENUE|BETHPAGE|NY
2|RAZAQ TECHNOLOGIES LLC|50 FOUNTAIN PLAZA|BUFFALO|NY
2|SIEMENS MOBILITY INC|1 PENN PLAZA|NEW YORK|NY
2|SOFTWARE LABS LLC|545 S OYSTERBAY ROAD|PLAINVIEW|NY
2|SOFTWARE LABS LLC|545 S OYSTER BAY ROAD|PLAINVIEW|NY
2|SOFTWARE LABS LLC|545 S OYESTER BAY ROAD|PLAINVIEW|NY
2|SOLUTIONSOFT INC|5 COMPUTER DRIVE W|ALBANY|NY
2|SRIVEN INFO INC|400 S OYESTER BAY ROAD|HICKSVILLE|NY
2|SSG GLOBAL LLC|1177 AVENUE OF THE AMERICAS|NEW YORK|NY
2|SV IT INC|545 S OYESTER BAY ROAD|PLAINVIEW|NY
2|SV IT INC|545 S OYSTER BAY ROAD|PLAINVIEW|NY
2|SV IT INC|545 S OYSTERBAY ROAD|PLAINVIEW|NY
