count|employer_name|employer_address1|employer_city|employer_state
12|ACROTEK IT SOLUTIONS INC|10130 MALLARD CREEK ROAD|CHARLOTTE|NC
12|CLOUDSPACE LLC|10130 MALLARD CREEK ROAD|CHARLOTTE|NC
12|GVKTEK INC|10130 MALLARD CREEK ROAD|CHARLOTTE|NC
12|INTECA IT SOLUTIONS LLC|10130 MALLARD CREEK ROAD|CHARLOTTE|NC
12|METRIX IT SOLUTIONS INC|10130 MALLARD CREEK ROAD|CHARLOTTE|NC
12|NEXUS AI SOLUTIONS INC |10130 MALLARD CREEK ROAD|CHARLOTTE|NC
12|PERFICIENTCORP INC|10130 MALLARD CREEK ROAD|CHARLOTTE|NC
12|SAMHIRES LLC|10130 MALLARD CREEK ROAD|CHARLOTTE|NC
12|TECHOPS DIGITAL LLC|10130 MALLARD CREEK ROAD|CHARLOTTE|NC
12|TILA TECHNOLOGIES INC|10130 MALLARD CREEK ROAD|CHARLOTTE|NC
12|TILA TILATECHNOLOGIES INC|10130 MALLARD CREEK ROAD|CHARLOTTE|NC
12|VIDLEXINFO LLC|10130 MALLARD CREEK ROAD|CHARLOTTE|NC
8|AADHYA INFOTECH|301 MCCULLOUGH DR|CHARLOTTE|NC
8|AADHYA INFOTECH LLC|301 MCCULLOUGH DR|CHARLOTTE|NC
8|ANALYTE IT SERVICES LLC|4819 EMPEROR BLVD|DURHAM|NC
8|CANDORSOFT TECHNOLOGIES LLC|4819 EMPEROR BLVD|DURHAM|NC
8|CLARKSTECH LLC|301 MCCULLOUGH DR|CHARLOTTE|NC
8|COGENT CUBE LLC|301 MCCULLOUGH DR|CHARLOTTE|NC
8|CONCOR IT SOLUTIONS INC|301 MCCULLOUGH DR|CHARLOTTE|NC
8|CREDENCE CONSULTING SERVICES INC|4819 EMPEROR BLVD|DURHAM|NC
8|GAIT SOLUTIONS LLC|4819 EMPEROR BLVD|DURHAM|NC
8|INFINICS INC|301 MCCULLOUGH DR|CHARLOTTE|NC
8|LORVISH TECHNOLOGIES INC|4819 EMPEROR BLVD|DURHAM|NC
8|MARVEL TECH GROUPS INC|4819 EMPEROR BLVD|DURHAM|NC
8|PERIGON INFOTECH INC|4819 EMPEROR BLVD|DURHAM|NC
8|SAAP TECH SOLUTIONS LLC|301 MCCULLOUGH DR|CHARLOTTE|NC
8|SOFTTECHERS LLC|301 MCCULLOUGH DR|CHARLOTTE|NC
8|VR ITECH CONSULTING LLC|4819 EMPEROR BLVD|DURHAM|NC
7|CLOUDREX LLC|1135 KILDAIRE FARM ROAD|CARY|NC
7|EMINENCE IT SOLUTIONS INC|1135 KILDAIRE FARM ROAD|CARY|NC
7|FEATHER TECHNOLOGIES INC|1135 KILDAIRE FARM ROAD|CARY|NC
7|PREMIUM PEOPLE GROUP LLC|1135 KILDAIRE FARM ROAD|CARY|NC
7|PUNDIT INC|1135 KILDAIRE FARM ROAD|CARY|NC
7|SKILL BUDDY INC|1135 KILDAIRE FARM ROAD|CARY|NC
7|TORQUE TECHNOLOGIES LLC|1135 KILDAIRE FARM ROAD|CARY|NC
6|ADROTEK SOLUTIONS LLC|301 MCCULLOUGH DRIVE|CHARLOTTE|NC
6|BYTEBRIDGE TECHNOLOGIES INC|301 MCCULLOUGH DRIVE|CHARLOTTE|NC
6|CLOUD SYSTEMS LLC|301 MCCULLOUGH DRIVE|CHARLOTTE|NC
6|EVERSOFT TECHNOLOGIES LLC|9700 RESEARCH DRIVE|CHARLOTTE|NC
6|META IT SYSTEMS LLC|301 MCCULLOUGH DRIVE|CHARLOTTE|NC
6|ORIGINTEK SOLUTIONS LLC|9700 RESEARCH DRIVE|CHARLOTTE|NC
6|PNK CONNECTIONS LLC|301 MCCULLOUGH DRIVE|CHARLOTTE|NC
6|SAAP TECH SOLUTIONS LLC|301 MCCULLOUGH DRIVE|CHARLOTTE|NC
6|TECHSUFFICE LLC|9700 RESEARCH DRIVE|CHARLOTTE|NC
6|UI PATH TEK LLC|9700 RESEARCH DRIVE|CHARLOTTE|NC
6|UIPATHTEK LLC|9700 RESEARCH DRIVE|CHARLOTTE|NC
6|VEEHA IT SOLUTIONS LLC|9700 RESEARCH DRIVE|CHARLOTTE|NC
4|ALGOSPARK TECHNOLOGIES LLC|15000 WESTON PARKWAY|CARY|NC
4|AMP SOLUTIONS LLC|8307 UNIVERSITY EXECUTIVE PARK DRIVE|CHARLOTTE|NC
4|APPLOGICS LLC|15000 WESTON PARKWAY|CARY|NC
4|CSV INFORMATICS LLC|2530 MERIDIAN PARKWAY|DURHAM|NC
4|DATA CARBON LLC|600 PARK OFFICES DRIVE|DURHAM|NC
4|DEVXPACE LLC|15000 WESTON PARKWAY|CARY|NC
4|DIGI CLOUD LLC|8307 UNIVERSITY EXECUTIVE PARK DRIVE|CHARLOTTE|NC
4|EAPPS TECH LLC|1000 BEAR CAT WAY|MORRISVILLE|NC
4|ENTERPRISE QA LABS INC|2530 MERIDIAN PARKWAY|DURHAM|NC
4|GO8 IT INC|11220 ELM LANE|CHARLOTTE|NC
4|GO8IT INC|11220 ELM LANE|CHARLOTTE|NC
4|INFOTEK GROUPS INC|2530 MERIDIAN PARKWAY|DURHAM|NC
4|IRADIUS INC|15000 WESTON PARKWAY|CARY|NC
4|IT KEYSOURCE INC|11220 ELM LANE|CHARLOTTE|NC
4|JPS TECH SOLUTIONS LLC|1000 BEAR CAT WAY|MORRISVILLE|NC
4|KDEX GLOBAL LLC|600 PARK OFFICES DRIVE|DURHAM|NC
4|KUBE CLOUDS INC|1000 BEAR CAT WAY|MORRISVILLE|NC
4|NIYANTRA INC|600 PARK OFFICES DRIVE|DURHAM|NC
4|PERIGON INFOTECH INC|4819 EMPEROR BLVD.|DURHAM|NC
4|PROSQUIRE LLC|600 PARK OFFICES DRIVE|DURHAM|NC
4|RACOM SOFTWARE SERVICES LLC|4819 EMPEROR BLVD.|DURHAM|NC
4|RADCOM SOFTWARE SERVICES LLC|4819 EMPEROR BLVD.|DURHAM|NC
4|SWIFTWIN SOLUTIONS INC |11220 ELM LANE|CHARLOTTE|NC
4|UI PATH TEK LLC|8307 UNIVERSITY EXECUTIVE PARK DRIVE|CHARLOTTE|NC
4|UIPATHTEK LLC|8307 UNIVERSITY EXECUTIVE PARK DRIVE|CHARLOTTE|NC
4|VARUNAVI IT CONSULTANTS INC|1000 BEAR CAT WAY|MORRISVILLE|NC
4|VR ITECH CONSULTING L.L.C.|4819 EMPEROR BLVD.|DURHAM|NC
4|YJ INFOTECH LLC|2530 MERIDIAN PARKWAY|DURHAM|NC
3|ARDOR IT SOLUTIONS INC|8801 JM KEYNES DR|CHARLOTTE, NC, 28262|NC
3|ARDOR IT SOLUTIONS INC|8801 JM KEYNES DR|CHARLOTTE|NC
3|ARDORITSOLUTIONS INC|8801 JM KEYNES DR|CHARLOTTE|NC
3|BRUMASOFT LLC|2015 AYRSLEY TOWN BLVD|CHARLOTTE|NC
3|CLOUD NINE TEK LLC|10735 DAVID TAYLOR DR|CHARLOTTE|NC
3|CLOUD SPACE LLC|1909 J N PEASE PLACE|CHARLOTTE|NC
3|CLOUDNINE TEK LLC|10735 DAVID TAYLOR DR|CHARLOTTE|NC
3|CLOUDNINETEK LLC|10735 DAVID TAYLOR DR|CHARLOTTE|NC
3|CLOUDSPACE LLC|1909 J N PEASE PLACE|CHARLOTTE|NC
3|COSMORYZE LLC|1263 ARROW PINE DRIVE|CHARLOTTE|NC
3|CRAFTNER INC|10150 MALLARD CREEK ROAD|CHARLOTTE|NC
3|CYGTEC INC|6512 SIX FORKS ROAD|RALEIGH|NC
3|D2SOL INC|5920 S MIAMI BLVD|MORRISVILLE|NC
3|DATALORE TECHNOLOGIES INC|133 KEYBRIDGE DR|MORRISVILLE|NC
3|DCUBE SOLUTIONS|800 PARK OFFICES DRIVE|DURHAM|NC
3|DCUBE SOLUTIONS|800 PARK OFFICES DRIVE|RESEARCH TRIANGLE PARK|NC
3|DEV SYSTEMS INC|3230 PROSPERITY CHURCH ROAD|CHARLOTTE|NC
3|EHIKA LLC|101 NORTH TRYON STREET|CHARLOTTE|NC
3|ELEVATEX LLC|9700 RESEARCH DR|CHARLOTTE|NC
3|ELITEGEEK SOLUTIONS LLC|3230 PROSPERITY CHURCH ROAD|CHARLOTTE|NC
3|ELITEGEEK SOLUTIONS LLCSSSSSS|3230 PROSPERITY CHURCH ROAD|CHARLOTTE|NC
3|ERP TECH SOLUTIONS LLC|1263 ARROW PINE DRIVE|CHARLOTTE|NC
3|ERP TECH SOLUTIONS LLC|15720 BRIXHAM HILL AVENUE|CHARLOTTE|NC
3|ETYME INC|150 PRESTON EXECUTIVE DR|CARY|NC
3|EUCLID INNOVATIONS INC|15720 BRIXHAM HILL AVENUE|CHARLOTTE|NC
3|EVAL CONSULTING INC|101 NORTH TRYON STREET|CHARLOTTE|NC
3|EVERSOFT TECHNOLOGIES LLC|9700 RESEARCH DR|CHARLOTTE|NC
3|EVERSOFT TECHNOLOGIES LLC|10150 MALLARD CREEK ROAD|CHARLOTTE|NC
3|FLEXGEN HOLDINGS INC|280 S. MANGUM STREET|DURHAM|NC
3|FLEXGEN POWER SYSTEMS|280 S. MANGUM STREET|DURHAM|NC
3|FLEXGEN POWER SYSTEMS LLC|280 S. MANGUM STREET|DURHAM|NC
3|GANGES SYSTEMS LLC|1263 ARROW PINE DRIVE|CHARLOTTE|NC
3|GREENPOINT IT LLC|150 PRESTON EXECUTIVE DR|CARY|NC
3|IBM CORPORATION|3039 CORNWALLIS ROAD|DURHAM|NC
3|IBM INDIA PRIVATE LIMITED|3039 CORNWALLIS ROAD|DURHAM|NC
3|INFOEXCEL INC|2530 MERIDIAN PKWY|DURHAM|NC
3|INSIGHT INTELLI INC|1909 J N PEASE PLACE|CHARLOTTE|NC
3|INTERNATIONAL BUSINESS MACHINES CORPORATION|3039 CORNWALLIS ROAD|DURHAM|NC
3|IT VISION INC|5000 CENTRE GREEN WAY|CARY|NC
3|KDEX GLOBAL LLC|800 PARK OFFICES DRIVE|DURHAM|NC
3|KRONSYS INC|6512 SIX FORKS ROAD|RALEIGH|NC
3|LINXAI INC|6512 SIX FORKS ROAD|RALEIGH|NC
3|MAS TEK IT LLC|624 MATTHEWS MINT-HILL ROAD|MATTHEWS|NC
3|MASTEK IT LLC|624 MATTHEWS MINT-HILL ROAD|MATTHEWS|NC
3|MAVEN TECHNOLOGIES LLC|624 MATTHEWS MINT-HILL ROAD|MATTHEWS|NC
3|NEXTGEN SOLUTIONS INC|11020 DAVID TAYLOR DRIVE|CHARLOTTE|NC
3|NITYOSOFT INCORPORATED|1973 J N PEASE PL|CHARLOTTE|NC
3|PERDIS AI LLC|2015 AYRSLEY TOWN BLVD|CHARLOTTE|NC
3|PRISTINE EMBED TECHNOLOGIES INC|9700 RESEARCH DR|CHARLOTTE|NC
3|SAHAA SOLUTIONS LLC|150 CORNERSTONE DRIVE|CARY|NC
3|SAIN TECHNOLOGIES LLC|5920 S MIAMI BLVD|MORRISVILLE|NC
3|SANSOFT LLC|133 KEYBRIDGE DR|MORRISVILLE|NC
3|SG SOFTECH LLC|15720 BRIXHAM HILL AVENUE|CHARLOTTE|NC
3|SHRIVE SOLUTIONS LLC|10150 MALLARD CREEK ROAD|CHARLOTTE|NC
3|SIGNATURE IT SOLUTIONS INC|11020 DAVID TAYLOR DRIVE|CHARLOTTE|NC
3|SPRYDO SYSTEMS LLC|1973 J N PEASE PL|CHARLOTTE|NC
3|SPRYDOSYSTEMS LLC|1973 J N PEASE PL|CHARLOTTE|NC
3|ST TECH INC|5000 CENTRE GREEN WAY|CARY|NC
3|STAT9 TECHNOLOGIES INC|5000 CENTRE GREEN WAY|CARY|NC
3|SUNRISE INFOTEK CORP|150 CORNERSTONE DRIVE|CARY|NC
3|SUNTECHPROS INC|5920 S. MIAMI BLVD|MORRISVILLE|NC
3|SYNTACTECH INC|150 PRESTON EXECUTIVE DR|CARY|NC
3|TABNER INC|11020 DAVID TAYLOR DRIVE|CHARLOTTE|NC
3|TECHNOSOFT ENGINEERING INC|600 AIRPORT BLVD|MORRISVILLE|NC
3|TECHNOSOFT INNOVATIONS INC|600 AIRPORT BLVD|MORRISVILLE|NC
3|TECHNOSOFT SERVICES INC|600 AIRPORT BLVD|MORRISVILLE|NC
