count|employer_name|employer_address1|employer_city|employer_state
8|COLUMBUS TECHNOLOGY SOLUTIONS INC|545 METRO PLACE SOUTH|DUBLIN|OH
8|DBAFFINITY LLC|545 METRO PLACE SOUTH|DUBLIN|OH
8|DEDICATED TECH SERVICES INC|545 METRO PLACE SOUTH|DUBLIN|OH
8|EXCEL SOFTECH INC|545 METRO PLACE SOUTH|DUBLIN|OH
8|ONFOCUS SOFTWARE INC|545 METRO PLACE SOUTH|DUBLIN|OH
8|REYTECHNOLOGIES LLC|545 METRO PLACE SOUTH|DUBLIN|OH
8|SENSE & RESPOND SOFTWARE LLC|545 METRO PLACE SOUTH|DUBLIN|OH
8|ZAPS TECHNOCRATS INC|545 METRO PLACE SOUTH|DUBLIN|OH
6|HONEYCOMB TECHNOLOGIES LTD|470 OLDE WORTHINGTON ROAD|WESTERVILLE|OH
6|KLINK TECH SOLUTIONS INC|470 OLDE WORTHINGTON ROAD|WESTERVILLE|OH
6|NEUMERIC TECHNOLOGIES CORPORATION|470 OLDE WORTHINGTON ROAD|WESTERVILLE|OH
6|RACAR ENGINEERING LLC|555 METRO PLACE NORTH|DUBLIN|OH
6|RACAR ENGINEERING LLC DBA TOOGANN|555 METRO PLACE NORTH|DUBLIN|OH
6|RACAR INTERNATIONAL D/E LLC|555 METRO PLACE NORTH|DUBLIN|OH
6|REPAVE IT LLC|470 OLDE WORTHINGTON ROAD|WESTERVILLE|OH
6|SAAS GLOBAL SOLUTIONS LLC|555 METRO PLACE NORTH|DUBLIN|OH
6|SAAS IT SERVICES|555 METRO PLACE NORTH|DUBLIN|OH
6|SLN SOLUTIONS LLC|470 OLDE WORTHINGTON ROAD|WESTERVILLE|OH
6|SUDHI INFOMATICS INC|470 OLDE WORTHINGTON ROAD|WESTERVILLE|OH
6|TOOGANN TECHNOLOGIES LLC|555 METRO PLACE NORTH|DUBLIN|OH
5|3AMIGOSIT LLC|100 E CAMPUS VIEW BLVD|COLUMBUS|OH
5|BELCAN ENGINEERING GROUP LLC|10151 CARVER ROAD|CINCINNATI|OH
5|BELCAN ENGINEERING GROUP LLC|10151 CARVER ROAD|BLUE ASH|OH
5|BELCAN SERVICES GROUP|10151 CARVER ROAD|CINCINNATI|OH
5|BELCAN SERVICES GROUP LIMITED PARTNERSHIP|10151 CARVER ROAD|CINCINNATI|OH
5|BELCAN SERVICES GROUP LTD PARTNERSHIP|10151 CARVER ROAD|CINCINNATI|OH
5|DASH TECHNOLOGIES INC|565 METRO PLACE SOUTH|DUBLIN|OH
5|GATHI ANALYTICS LLC|565 METRO PLACE SOUTH|DUBLIN|OH
5|GENSYS CORP|565 METRO PLACE SOUTH|DUBLIN|OH
5|PLATINOTECH CONSULTING LLC|100 E CAMPUS VIEW BLVD|COLUMBUS|OH
5|RACEDOG LTD|100 E CAMPUS VIEW BLVD|COLUMBUS|OH
5|RACEDOG LTD|100 E CAMPUS VIEW BLVD|WORTHINGTON|OH
5|STAR TECHNOLOGY SOLUTIONS INC|100 E CAMPUS VIEW BLVD|COLUMBUS|OH
5|UNITED SOFTWARE GROUP INC|565 METRO PLACE SOUTH|DUBLIN|OH
5|YASH CLOUD SERVICES INC|565 METRO PLACE SOUTH|DUBLIN|OH
4|3AMIGOSIT LLC|8522 COTTER ST|LEWIS CENTER|OH
4|CEM TECHNOLOGY INC|565 METRO PLACE S|DUBLIN|OH
4|DATAECONOMY INC|565 METRO PLACE S|DUBLIN|OH
4|DIGITAL BIZ TECH LLC|565 METRO PLACE S|DUBLIN|OH
4|GATHI ANALYTICS LLC|565 METRO PLACE S|DUBLIN|OH
4|LAMBDANETS INC|2929 KENNY ROAD|COLUMBUS|OH
4|LAMBDANETS SERVICES LLC|2929 KENNY ROAD|COLUMBUS|OH
4|OMNICRON TECHNOLOGIES LLC|2929 KENNY ROAD|COLUMBUS|OH
4|OMNICRON TECHNOLOGIES LLC|2929 KENNY ROAD|COLOMBUS|OH
4|RACEDOG LIMITED|8522 COTTER ST|LEWIS  CENTER|OH
4|RACEDOG LIMITED|8522 COTTER ST|LEWIS CENTER|OH
4|RACEDOG LTD|8522 COTTER ST|LEWIS CENTER|OH
3|AG INFOTEK INC|11427 REED HARTMAN HWY|CINCINNATI|OH
3|AG INFOTEK INC|11427 REED HARTMAN HWY|BLUE ASH|OH
3|ALECTA INFOTECH LLC|11427 REED HARTMAN HWY|CINCINNATI|OH
3|ASSURANT TECHNOLOGY GROUP INC|6465 REFLECTIONS DR|DUBLIN|OH
3|CHAKMAS INC|1445 WORTHINGTON WOODS BLVD|WORTHINGTON|OH
3|COLUMBUS INTERNATIONAL CORPORATION|200 E CAMPUS VIEW BLVD|COLUMBUS|OH
3|DENOVO SYSTEMS INC|1445 WORTHINGTON WOODS BLVD|WORTHINGTON|OH
3|DEVFI INC|4449 EASTON WAY|COLUMBUS|OH
3|INNOVATIVE SOFTWARE SERVICES INC|6465 REFLECTIONS DR|DUBLIN|OH
3|SCHRILL TECHNOLOGIES LLC|200 E CAMPUS VIEW BLVD|COLUMBUS|OH
3|SHARK ANALYTICS LLC|6465 REFLECTIONS DR|DUBLIN|OH
3|SOLSTICE SYSTEMS & TECHNOLOGY LLC|1445 WORTHINGTON WOODS BLVD|WORTHINGTON|OH
3|SPARKZIT LLC|200 E CAMPUS VIEW BLVD|COLUMBUS|OH
3|SYNAPSE TECH SERVICES INC|4449 EASTON WAY|COLUMBUS|OH
3|TECHNOCRAFT SOLUTIONS LLC|3974 BROWN PARK DRIVE|HILLIARD|OH
3|TELLIGEN TECH INC|4449 EASTON WAY|COLUMBUS|OH
3|UNITED SOFTWARE GROUP INC|6000 VENTURE DR.|DUBLIN|OH
3|USG INC|6000 VENTURE DR.|DUBLIN|OH
3|VIVID SOFT GLOBAL INC|6000 VENTURE DR.|DUBLIN|OH
3|XPEDANTIC LLC|3974 BROWN PARK DRIVE|HILLIARD|OH
3|YASHCO SYSTEMS INC|3974 BROWN PARK DRIVE|HILLIARD|OH
2|A SQUARED BUSINESSES AND CONSULTING|84 N MAIN STREET|SPRINGBORO|OH
2|A SQUARED BUSINESSES AND CONSULTING LLC|84 N MAIN STREET|SPRINGBORO|OH
2|ASCENDUM SOLUTIONS LLC|10290 ALLIANCE ROAD|BLUE ASH|OH
2|ASCYNDENT LLC|6465 REFLECTIONS DRIVE|DUBLIN|OH
2|CBTS TECHNOLOGY SOLUTIONS LLC|25 MERCHANT STREET|CINCINNATI|OH
2|CBTS TECHNOLOGY SOLUTIONS LLC D/B/A CBTS|25 MERCHANT STREET|CINCINNATI|OH
2|COLUMBUS INTERNATIONAL CORPORATION|200 EAST CAMPUS VIEW BLVD|COLUMBUS|OH
2|CYANICSOFT INC|17800 CHILLICOTHE ROAD|CHAGRIN FALLS|OH
2|CYANICSOFT INC|17800 CHILLICOTHE ROAD|BAINBRIDGE|OH
2|CYBER SYSTEM TECHNOLOGIES LLC|8876 OAK VILLAGE BLVD|LEWIS CENTER|OH
2|CYBERVATION INC|485 METRO PLACE SOUTH|DUBLIN|OH
2|DASH TECHNOLOGIES INC|565 METRO PL S|DUBLIN|OH
2|DATA SYSTEMS INTEGRATION GROUP INC|485 METRO PLACE SOUTH|DUBLIN|OH
2|DEEMSYS INC|800 CROSS POINTE ROAD|GAHANNA|OH
