count|employer_name|employer_address1|employer_city|employer_state
9|3D TECHNOLOGIES LLC|322 N 3RD AVE|DURANT|OK
9|ARTIFICIAL INTELLIGENCE TECHNOLOGIES LLC|322 N 3RD AVE|DURANT|OK
9|AUTOMATION TECHNOLOGIES LLC|322 N 3RD AVE|DURANT|OK
9|CLOUD BIG DATA TECHNOLOGIES LLC|322 N 3RD AVE|DURANT|OK
9|DIGITAL TECHNOLOGIES LLC|322 N 3RD AVE|DURANT|OK
9|MACHINE LEARNING TECHNOLOGIES LLC|322 N 3RD AVE|DURANT|OK
9|QUANTUM TECHNOLOGIES LLC|322 N 3RD AVE|DURANT|OK
9|ROBOTICS TECHNOLOGIES LLC|322 N 3RD AVE|DURANT|OK
9|VCLOUD TECHNOLOGY GROUP LLC|322 N 3RD AVE|DURANT|OK
2|CHEROKEE NATION ASSURANCE LLC|777 WEST CHEROKEE STREET|CATOOSA|OK
2|CHEROKEE NATION OPERATIONAL SOLUTIONS LLC|777 WEST CHEROKEE STREET|CATOOSA|OK
2|METAPRO USA LLC|333 WEST MAIN STREET|ARDMORE|OK
2|METAPROUSA LLC|333 WEST MAIN STREET|ARDMORE|OK
1|ADVANCED KNOWLEDGE TECH LLC|2502 CROSSROADS DRIVE|ARDMORE|OK
1|AMERIINFOVETS INC|33 WOODCREEK LANE|PRYOR|OK
1|AR IT SOFTWARE SOLUTIONS LLC|100 NE 5TH STREET, 1ST FLOOR|OKLAHOMA CITY|OK
1|CCK STRATEGIES PLLC|8811 S. YALE AVENUE|TULSA|OK
1|CHEROKEE NATION INTEGRATED HEALTH LLC|2 W. 2ND STREET|TULSA|OK
1|CIBER PATHWAY INC|5601 NW 72ND ST|WARR ACRES|OK
1|INDEPENDENT INTERNATIONAL BUSINESS CONSULTANTS LLC (IIBC)|1212 N YELLOWOOD AVENUE|BROKEN ARROW|OK
1|IT HOPPERS INC|4334 NORTHWEST EXPRESSWAY, STE   235|OKLAHOMA CITY|OK
1|LABARTHE LAW LLC|6303 N PORTLAND AVENUE, SUITE 210|OKLAHOMA CITY|OK
1|MAXOTECH SOLUTIONS LLC|333 W MAIN ST.|ARDMORE|OK
1|MNEMONIC SOLUTIONS LLC|19005 BUTTERFLY BLVD.|EDMOND|OK
1|OBJECTSTREAM INC|7725 W. RENO AVENUE|OKLAHOMA CITY|OK
1|OBJECTSTREAM INC|7725 W RENO AVENUE|OKLAHOMA CITY|OK
1|REFLECTIONS SYSTEMS INC|619 W MAIN ST|OKLAHOMA CITY|OK
1|REFLECTIONS SYSTEMS INC|619 W. MAIN ST.|OKLAHOMA CITY|OK
1|SKYLER INFO SYSTEMS INC|101 PARK AVENUE|OKLAHOMA CITY|OK
1|SPRINGPOINT TECHNOLOGIES LLC|611 E. 4TH STREET|TULSA|OK
1|SPRINGPOINT TECHNOLOGIES LLC|4755 E. 91ST STREET|TULSA|OK
1|THINK VENTURE GROUP LLC|3621 NW 50TH STREET|OKLAHOMA CITY|OK
1|TRAITTEK LLC|12950 BIG SKY DR|EDMOND|OK
1|VELIE LAW FIRM PLLC|401 WEST MAIN STREET|NORMAN|OK
1|VERIDIC SOLUTIONS LLC|1201 W EVERGREEN STREET|DURANT|OK
1|VERIDIC SOLUTIONS LLC|1201 W. EVERGREEN STREET|DURANT|OK
(36 rows)
