count|employer_name|employer_address1|employer_address2|employer_city
6|PRODAPT NORTH AMERICA INC|10260 SW Greenburg ROAD|Suite 630, Floor 6|Portland
6|PRODAPT NORTH AMERICA|10260 SW Greenburg ROAD|Suite 630, Floor 6|Portland
6|Lumovy Technology Solutions|10260 SW Greenburg Road|4th Floor|Portland
6|Lumovy Technology Solutions f/k/a llumina Technology Solutions LLC|10260 SW Greenburg Road|4th Floor|Portland
6|Prodapt North America Inc|10260 SW Greenburg Road|Ste 630|Portland
6|Prodapt North America Inc|10260 SW Greenburg Road|Suite 630|Portland
5|ADVANTAGE IT INC|4950 NE BELKNAP COURT|SUITE 201|HILLSBORO
5|Advantage IT Inc|4950 NE Belknap Court|Suite 201|Hillsboro
5|Advantage IT Inc|4950 NE Belknap Court|Suite no 201|Hillsboro
5|ADVANTAGE IT INC|4950 NE Belknap court|Suite 201|Hillsboro
5|Advantage IT Inc|4950 NE Belknap court|Suite 201|Hillsboro
4|KBF CPAS LLP|111 SW FIFTH AVENUE|SUITE 1850|PORTLAND
4|KBF CPAs LLP|111 SW Fifth Avenue|Suite 1850|Portland
4|CorVel Corporation|111 SW Fifth Avenue|Suite 200|Portland
4|CorVel Healthcare Corporation|111 SW Fifth Avenue|Suite 200|Portland
4|ADVANTAGE IT INC|4950 NE BELKNAP CT|SUITE 201|HILLSBORO
4|Advantage IT Inc|4950 NE Belknap Ct|Suite 201|Hillsboro
4|ADVANTAGE IT INC|4950 NE Belknap Ct|Suite 201|Hillsboro
4|ADVANTAGE IT INC|4950 NE Belknap Ct|Suite 201|HILLSBORO
4|Marquam Group LTD|811 SW Naito Parkway|Suite 600|Portland
4|Lantern US LLC|811 SW Naito Parkway|Suite 600|Portland
4|Marquam Group Ltd.|811 SW Naito Parkway|Suite 600|Portland
4|Marquam Group LLC|811 SW Naito Parkway|Suite 600|Portland
4|Reach Platform Inc|9450 SW Gemini Dr|PMB 54281|Beaverton
4|AQP Inc|9450 SW Gemini Dr|PMB 72216|Beaverton
4|Minion AI Inc|9450 SW Gemini Dr|PMB 97192|Beaverton
4|UserClouds Inc|9450 SW Gemini Dr|Ste 66441|Beaverton
3|VR & A TECHNOLOGY LLC|10700 SW BEAVERTON-HILLSDALE HWY|SUITE 550|Beaverton
3|Intersoft Systems Inc|10700 SW Beaverton-Hillsdale Hwy|Suite 315|Beaverton
3|InterSoft systems Inc|10700 SW Beaverton-Hillsdale Hwy|Suite 315|Beaverton
3|Zimmer Gunsul Frasca Architects LLP|1223 SW WASHINGTON STREET|SUITE 200|PORTLAND
3|Zimmer Gunsel Frasca Architects LLP|1223 SW Washington Street|Suite 200|Portland
3|Zimmer Gunsul Frasca Architects LLP|1223 SW Washington Street|Suite 200|Portland
3|Education Northwest|1417 NW Everett Street|Suite 310|Portland
3|VESTAS-AMERICAN WIND TECHNOLOGY INC|1417 NW Everett Street||PORTLAND
3|VESTAS-AMERICAN WINDTECHNOLOGY INC|1417 NW Everett Street||Portland
3|NerdPine Solutions LLC|1849 NE 106th Ave|Suite 204|Hillsboro
3|NerdPine Solutions LLC|1849 NE 106th Ave|Suite 204|Portland
3|NerdPine Solutions LLC|1849 NE 106th Ave|Suite 204|HILLSBORO
3|NerdPine Solutions LLC|1849 NE 106th Avenue|Ste 204|Hillsboro
3|NerdPine Solutions LLC|1849 NE 106th Avenue|Suite 204|Hillsboro
3|NerdPine Solutions LLC|1849 NE 106th Avenue||Hillsboro
3|American Chase LLC|3055 NW YEON AVE|530|Portland
3|Epic Design Labs LLC|3055 NW YEON AVE|PMB 311|PORTLAND
3|Nutshell Labs Inc|3055 NW Yeon Ave|795|Portland
3|NV5 Inc|421 SW 6th Avenue|STE 800|Portland
3|Clark Kjos Architects LLC|421 SW 6th Avenue|Suite 1300|Portland
3|Galois Inc|421 SW 6th Avenue|Suite 300|Portland
3|STOEL RIVES LLP|760 SW 9th Avenue|Suite 3000|Portland
3|Stoel Rives, LLP|760 SW 9th Avenue|Suite 3000|Portland
3|Stoel Rives LLP|760 SW 9th Avenue|Suite 3000|Portland
3|Gurobi Optimization LLC|9450  SW Gemini Dr.|90729|Beaverton
3|Gurobi Optimization LLC|9450  SW Gemini Dr.|STE 90729|Beaverton
3|Gurobi Optimization|9450  SW Gemini Dr.|Suite 90729|Beaverton
2|Schrodinger Inc|101 SW Main St.|Suite 1300|Portland
2|Alta Planning & Design Inc|101 SW Main St.|Suite 2000|Portland
2|GAIT SOLUTIONS LLC|10350 N VANCOUVER WAY|5094|PORTLAND
2|GAIT SOLUTIONS LLC|10350 N Vancouver Way|5094|Portland
2|Sensobright Industries LLC|10950 SW 5th Street|Ste 260 270|Beaverton
2|Sensobright Industries LLC|10950 SW 5th Street|Suites 260 270|Beaverton
2|Quantum Spatial Inc|1100 NE Circle Boulevard|Suite 126|Corvallis
2|NV5 Geospatial Inc|1100 NE Circle Boulevard|Suite 126|Corvallis
2|GBD ARCHITECTS INCORPORATED|1120 NW COUCH ST.|SUITE 300|PORTLAND
2|GBD Architects Incorporated|1120 NW Couch St.|Suite 300|Portland
2|Klarquist Sparkman, LLP|121 SW Salmon Street|Suite 1600|Portland
2|iMedRIS Data Corporation|121 SW Salmon Street||Portland
2|CENTIZEN INC|12725 SW MILLIKAN WAY|SUITE 300|BEAVERTON
2|CENTIZEN APPS INC|12725 SW MILLIKAN WAY|SUITE 300|BEAVERTON
2|Novus Labs LLC|1365 NE AMBERGLEN PARKWAY||HILLSBORO
2|Novus Labs LLC|1365 NE Amberglen Parkway||Hillsboro
2|WACOM TECHNOLOGY CORPORATION|1455 NW IRVING STREET|SUITE 800|PORTLAND
2|Orca Security Inc|1455 NW Irving Street|Suite 390|Portland
2|VJ Consulting Services LLC|1500 Northwest Bethany Boulevard|Suite 200|Beaverton
2|Sigma Consultants Group Inc|1500 Northwest Bethany Boulevard|Suite 200|Beaverton
2|Hitek Force LLC|1800 NW 169th Place|STE D100|Beaverton
2|HITEK FORCE LLC|1800 NW 169th Place|Suite D100|Beaverton
2|1 Oak Media LLC|2015 NW 39th Street|Suite 201|Lincoln City
2|Fire Sky Lodging Solutions LLC|2015 NW 39th Street|Suite 201|Lincoln City
2|Open Office INC|20784 Arago Circle||Bend
2|Open Office LLC|20784 Arago Circle||Bend
2|Lantern US LLC|2175 NW Raleigh Street|Suite 110|Portland
2|LegitScript LLC|2175 NW Raleigh Street|Suite 350|Portland
