count|employer_name|employer_address1|employer_city|employer_state
9|AAA TECH GROUP LLC|600 EAGLEVIEW BLVD|EXTON|PA
9|AKSAI LLC|600 EAGLEVIEW BLVD|EXTON|PA
9|BPX USA INC|600 EAGLEVIEW BLVD|EXTON|PA
9|INFOCONS INC|600 EAGLEVIEW BLVD|EXTON|PA
9|MASTECH DIGITAL ALLIANCES INC|1305 CHERRINGTON PARKWAY|MOON TOWNSHIP|PA
9|MASTECH DIGITAL CONSULTING INC|1305 CHERRINGTON PARKWAY|MOON TOWNSHIP|PA
9|MASTECH DIGITAL INFOTECH INC|1305 CHERRINGTON PARKWAY|MOON TOWNSHIP|PA
9|MASTECH DIGITAL RESOURCING INC|1305 CHERRINGTON PARKWAY|MOON TOWNSHIP|PA
9|MASTECH DIGITAL SERVICES INC|1305 CHERRINGTON PARKWAY|MOON TOWNSHIP|PA
9|MASTECH DIGITAL SOLUTIONS INC|1305 CHERRINGTON PARKWAY|MOON TOWNSHIP|PA
9|MASTECH DIGITAL SYSTEMS INC|1305 CHERRINGTON PARKWAY|MOON TOWNSHIP|PA
9|MASTECH DIGITAL TECHNOLOGIES INC|1305 CHERRINGTON PARKWAY|MOON TOWNSHIP|PA
9|MASTECH INFOTRELLIS INC|1305 CHERRINGTON PARKWAY|MOON TOWNSHIP|PA
9|OCTATEK INC|600 EAGLEVIEW BLVD|EXTON|PA
9|PARABOLA SOLUTIONS LLC|600 EAGLEVIEW BLVD|EXTON|PA
9|R4 IT SOLUTIONS INC|600 EAGLEVIEW BLVD|EXTON|PA
9|RAGAN CONSULTING SOLUTIONS LLC|600 EAGLEVIEW BLVD|EXTON|PA
9|SCS TECH SERVICES LLC|600 EAGLEVIEW BLVD|EXTON|PA
5|AMDA SOFTWARE SOLUTIONS|5002 LENKER STREET|MECHANICSBURG|PA
5|ANALYTICS SOLUTIONS LLC|600 EAGLEVIEW BLVD.|EXTON|PA
5|AVK TECH SOLUTIONS INC|600 EAGLEVIEW BLVD.|EXTON|PA
5|CI&T INC|630 FREEDOM BUSINESS CENTER DRIVE|KING OF PRUSSIA|PA
5|ICOINAGE SOFT LABS LLC|600 EAGLEVIEW BLVD.|EXTON|PA
5|INVERGIS TECHNOLOGIES LLC|600 EAGLEVIEW BLVD.|EXTON|PA
5|ISHIFT CORP|630 FREEDOM BUSINESS CENTER DRIVE|KING OF PRUSSIA|PA
5|ISHIFTCORP|630 FREEDOM BUSINESS CENTER DRIVE|KING OF PRUSSIA|PA
5|MAHATHI INFOTECH LLC|630 FREEDOM BUSINESS CENTER DRIVE|KING OF PRUSSIA|PA
5|OCTATEK INC|600 EAGLEVIEW BLVD.|EXTON|PA
5|TECHSTAND LLC|630 FREEDOM BUSINESS CENTER DRIVE|KING OF PRUSSIA|PA
5|THE UNICA GROUP INC|5002 LENKER STREET|MECHANICSBURG|PA
5|TIMESCOPE LLC|5002 LENKER STREET|MECHANICSBURG|PA
5|UNICA GROUP INC|5002 LENKER STREET|MECHANICSBURG|PA
5|XPERT TECHNOLOGIES INC|5002 LENKER STREET|MECHANICSBURG|PA
4|AZZUR CONSULTING LLC|330 S. WARMINSTER ROAD|HATBORO|PA
4|AZZUR GROUP DBA AZZUR CONSULTING LLC|330 S. WARMINSTER ROAD|HATBORO|PA
4|AZZUR GROUP LLC|330 S. WARMINSTER ROAD|HATBORO|PA
4|AZZUR GROUP LLC DBA AZZUR CONSULTING LLC|330 S. WARMINSTER ROAD|HATBORO|PA
4|CLOUD INFO SOLUTIONS INC|41 UNIVERSITY DRIVE|NEWTOWN|PA
4|CLOUD WALKING|5 GREAT VALLEY PARKWAY|MALVERN|PA
4|DELOITTE & TOUCHE LLP|1700 MARKET STREET|PHILADELPHIA|PA
4|DELOITTE CONSULTING LLP|1700 MARKET STREET|PHILADELPHIA|PA
4|DELOITTE TAX LLP|1700 MARKET STREET|PHILADELPHIA|PA
4|DELTASOFT SOLUTIONS LLC|41 UNIVERSITY DRIVE|NEWTOWN|PA
4|EPAM SYSTEMS INC|41 UNIVERSITY DRIVE|NEWTOWN|PA
4|MERAKI IT SOLUTIONS LLC|5 GREAT VALLEY PARKWAY|MALVERN|PA
4|NESTING TECHNOLOGIES INCORPORATED|41 UNIVERSITY DRIVE|NEWTOWN|PA
4|PRISIO TECHNOLOGIES LLC|5 GREAT VALLEY PARKWAY|MALVERN|PA
4|RJTECHGLOBAL INC|5 GREAT VALLEY PARKWAY|MALVERN|PA
4|THE JPI GROUP LLC|1700 MARKET STREET|PHILADELPHIA|PA
3|BASM TECHNOLOGIES INC|225 WILMINGTON WEST CHESTER PIKE|CHADDS FORD|PA
3|CALSOFT LABS INC|501 ALLENDALE ROAD|KING OF PRUSSIA|PA
3|COMPUTER AID INC|1390 RIDGEVIEW DR.|ALLENTON|PA
3|COMPUTER AID INC|1390 RIDGEVIEW DR.|ALLENTOWN|PA
3|COMPUTERAID INC|1390 RIDGEVIEW DR.|ALLENTOWN|PA
3|DASCASE TECHNOLOGIES INC|81 BIG OAK ROAD|MORRISVILLE|PA
3|ICONICIT SYSTEMS INC|81 BIG OAK ROAD|MORRISVILLIE|PA
3|ICONICIT SYSTEMS INC|81 BIG OAK ROAD|MORRISVILLE|PA
3|IT CONSULTING SERVICES INC|225 LINCOLN HWY|FAIRLESS HILL|PA
3|ITCONSULTING SERVICES|225 LINCOLN HWY|FAIRLESS HILLS|PA
3|ITCONSULTING SERVICES INC|225 LINCOLN HWY|FAIRLESS HILLS|PA
3|PRANA LIFE SCIENCES LLC|801 SPRINGDALE DRIVE|EXTON|PA
3|PVR TECHNOLOGIES INC|501 ALLENDALE ROAD|KING OF PRUSSIA|PA
3|R4 IT SOLUTIONS INC|801 SPRINGDALE DRIVE|EXTON|PA
3|RAGAN CONSULTING SOLUTIONS LLC|225 WILMINGTON WEST CHESTER PIKE|CHADDS FORD|PA
3|SKILLBODHI LLC|225 WILMINGTON WEST CHESTER PIKE|CHADS FORD|PA
3|STATMINDS LLC|501 ALLENDALE ROAD|KING OF PRUSSIA|PA
3|VENTLEYTECH LLC|801 SPRINGDALE DRIVE|EXTON|PA
2|ACCION LABS|DDI PLAZA I, 1225 WASHINGTON PIKE|BRIDGEVILLE|PA
2|ACCION LABS US INC|DDI PLAZA I, 1225 WASHINGTON PIKE|BRIDGEVILLE|PA
2|AKT TECHNOLOGIES LLC|4740 DUNHAM DRIVE|READING|PA
2|BIZ MATHEMATICA LLC|325 SENTRY PARKWAY, BUILDING 5 WEST|BLUE BELL|PA
2|BROAD PEAK SYSTEM INC|630 FREEDOM CENTER DR, SUITE 300|KING OF PRUSSIA|PA
2|BROAD PEAK SYSTEMS INC|630 FREEDOM CENTER DR, SUITE 300|KING OF PRUSSIA|PA
2|CIBERSQL|ONE PPG PLACE|PITTSBURGH|PA
2|CLOUD SOURCE INC|300 N POTTSTOWN PIKE|EXTON|PA
2|CODEWAVE IT LLC|5008 LENKER STREET|MECHANICSBURG|PA
2|CODEWAVE IT LLC|5008 LENKER ST|MECHANICSBURG|PA
2|COULOIR TECHNOLOGY GROUP INC|300 N POTTSTOWN PIKE|EXTON|PA
2|CV DESIGNERS INC|3400 MCKNIGHT EAST DRIVE|PITTSBURGH|PA
2|CV DESIGNERS INC D/B/A CV ENGINEERING|3400 MCKNIGHT EAST DRIVE|PITTSBURGH|PA
2|DECISION SIX INC|18 CAMPUS BLVD|NEWTOWN SQUARE|PA
2|DEX TECH LLC|325 SENTRY PARKWAY, BUILDING 5 WEST|BLUEBELL|PA
2|DIGITALTREE LLC|6081 HAMILTON BLVD|ALLENTOWN|PA
2|DIGITALTREE LLC|1275 GLENLIVET DRIVE|ALLENTOWN|PA
2|DVI TECHNOLOGES INC|800 MCKNIGHT PARK DRIVE|PITTSBURGH|PA
2|DVI TECHNOLOGIES INC|800 MCKNIGHT PARK DRIVE|PITTSBURGH|PA
2|ELECTRONIC DATA PROFESSIONALS INC|3070 BRISTOL PIKE|BENSALEM|PA
2|ELLUCIAN COMPANY L.P.|4 COUNTRY VIEW ROAD|MALVERN|PA
2|ELLUCIAN COMPANY LLC|4 COUNTRY VIEW ROAD|MALVERN|PA
2|ELSOURCE INC|1275 GLENLIVET DRIVE|ALLENTOWN|PA
2|ELSOURCE INC|6081 HAMILTON BLVD|ALLENTOWN|PA
2|EUROFI NS LANCASTER LABORATORIES PROFESSIONALSCIENTIFI C SERVICES LLC|2425 NEW HOLLAND PIKE|LANCASTER|PA
2|EUROFINS LANCASTER LABORATORIES PROFESSIONAL SCIENTIFIC SERVICES LLC|2425 NEW HOLLAND PIKE|LANCASTER|PA
2|I & I SOFTWARE INC|2571 BAGLYOS CIRCLE|BETHLEHEM|PA
2|I&I SOFTWARE INC|2571 BAGLYOS CIRCLE|BETHLEHEM|PA
2|IBUSINESS SOLUTION LLC|5000 LENKER STREET|MECHANICSBURG|PA
2|IMINDS TECHNOLOGY SYSTEMS|1145 BOWERHILL ROAD|PITTSBURGH|PA
2|IMINDS TECHNOLOGY SYSTEMS INC|1145 BOWERHILL ROAD|PITTSBURGH|PA
2|INFI IT LLC|2300 E. LINCOLN HWY|LANGHORNE|PA
2|INFOCONS INC|18 CAMPUS BLVD|NEWTOWN SQUARE|PA
2|INNOVIT USA INC|2300 E. LINCOLN HWY|LANGHORNE|PA
2|ISHIFT CORP|630 FREEDOM BUSINESS CENTER|KING OF PRUSSIA|PA
2|ISTACK TECHNOLOGIES INC|601 EVERGREEN CT|NORTH WALES|PA
2|ISTACK TECHNOLOGIES LLC|601 EVERGREEN CT|NORTH WALES|PA
2|JAGO LINK INC|150 MONUMENT ROAD|BALA CYNWYD|PA
2|JUDGE TECHNICAL SERVICES INC|151 SOUTH WARNER ROAD|WAYNE|PA
2|METASYS LLC|5000 RITTER ROAD|MECHANICSBURG|PA
2|MWIDM INC|1445 CITY AVE|WYNNEWOOD|PA
2|NANDA INFOTECH SERVICES INC|3070 BRISTOL PIKE|BENSALEM|PA
2|OAKSTON TECHNOLOGIES LLC|5 GREAT VALLEY PKWY|MALVERN|PA
2|ON DEMAND AGILITY SOLUTIONS INC|3000 VALLEY FORGE CIRCLE|KING OF PRUSSIA|PA
2|ONDEMAND AGILITY SOLUTIONS INC|3000 VALLEY FORGE CIRCLE|KING OF PRUSSIA|PA
2|PACER STAFFING LLC|1445 CITY AVE|WYNNEWOOD|PA
2|R4 IT SOLUTIONS INC|801 SPRINGDALE DR|EXTON|PA
2|REDLEAF IT SYSTEMS LLC|630 FREEDOM BUSINESS CENTER|KING OF PRUSSIA|PA
2|SAIBBER LLC|5000 LENKER STREET|MECHANICSBURG|PA
2|SAISA LLC|47 MARCHWOOD ROAD|EXTON|PA
2|SAP AMERICA INC|3999 WEST CHESTER PIKE|NEWTOWN SQUARE|PA
2|SAP INDUSTRIES INC|3999 WEST CHESTER PIKE|NEWTOWN SQUARE|PA
2|SCS TECH SERVICES LLC|801 SPRINGDALE DR|EXTON|PA
2|SDLC MANAGEMENT INC|ONE PPG PLACE|PITTSBURGH|PA
2|SHINETECK INC|5000 RITTER ROAD|MECHANICSBURG|PA
2|SIGMA GAMES LLC|2026 EAST CARSON STREET|PITTSBURGH|PA
2|SIGMA RESOURCES LLC|2026 EAST CARSON STREET|PITTSBURGH|PA
2|SNAP LOGIC GLOBAL SOLUTIONS LLC|5008 LENKER STREET|MECHANICSBURG|PA
2|STV CONSTRUCTION INC|205 WEST WELSH DRIVE|DOUGLASSVILLE|PA
2|STV INCORPORATED|205 WEST WELSH DRIVE|DOUGLASSVILLE|PA
2|SUNTEC BUSINESS SOLUTIONS INC|333 TECHNOLOGY DRIVE|CANONSBURG|PA
2|SUNTEC BUSINESS SOLUTIONS PVT. LTD.|333 TECHNOLOGY DRIVE|CANONSBURG|PA
2|SURE TECH SERVICES INC|4950 DUNHAM DR|READING|PA
2|SURE TECH SERVICES INC|4950 DUNHUM DR|READING|PA
2|SURETECH SERVICES INC|4950 DUNHAM DR|READING|PA
2|SURETECH SERVICES INC|4950 DUNHUM DR|READING|PA
2|TAVAS SYSTEMS LLC|4740 DUNHAM DRIVE|READING|PA
2|TECH INSPIRON LLC|150 MONUMENT ROAD|BALA CYNWYD|PA
2|TECHGROW SYSTEMS LLC|5008 LENKER ST|MECHANICSBURG|PA
2|TECHLADDER LLC|239 FOURTH AVENUE|SEWICKLEY|PA
2|TECHLADDER LLC|239 FOURTH AVENUE|PITTSBURGH|PA
2|TEKINTEL INC|400 MIDDLETOWN BLVD|LANGHORNE|PA
2|TEKINTELI INC|400 MIDDLETOWN BLVD|LANGHORNE|PA
2|THE BERKELEY ASSOCIATES CORP|151 SOUTH WARNER ROAD|WAYNE|PA
2|TOWNYTREAT LLC|47 MARCHWOOD ROAD|EXTON|PA
2|VALSOURCE INC|918A HORSESHOE PIKE|DOWNINGTOWN|PA
2|VALSOURCE INC (F/K/A VALSOURCE LLC)|918A HORSESHOE PIKE|DOWNINGTOWN|PA
2|VELAGA ASSOCIATES INC|246 MOON CLINTON ROAD|MOON TOWNSHIP|PA
2|VELAGA ASSOCIATES INC|246 MOON CLINTON ROAD|CORAOPOLIS|PA
2|VSQUARE IT INC|5 GREAT VALLEY PKWY|MALVERN|PA
1|A&M IT SOLUTIONS LLC|2 MARKET PLAZA WAY|MECHANICSBURG|PA
1|AANDAVAR TECHNOLOGIES LLC|7631 LANCASTER AVENUE|MYERSTOWN|PA
