count|employer_name|employer_address1|employer_city|employer_state
2|BUSITANTS INC|10 DORRANCE ST|PROVIDENCE|RI
2|BUSITANTS INC|10 DORRANCE STREET|PROVIDENCE|RI
2|BUSITANTS INCORPORATED|10 DORRANCE ST|PROVIDENCE|RI
2|SHIOM TECH INC|10 DORRANCE STREET|PROVIDENCE|RI
2|SMARTHSHIFT TECHNOLOGIES INC|500 EXCHANGE STREET|PROVIDENCE|RI
2|SMARTSHIFT TECHNOLOGIES INC|500 EXCHANGE STREET|PROVIDENCE|RI
1|ADIL BUSINESS SYSTEMS INC|873 WARWICK AVENUE|WARWICK|RI
1|GVK IT INC|191 SOCIAL ST|WOONSOCKET|RI
1|HCH ENTERPRISES LLC|3016 POST ROAD|WARWICK|RI
1|IT1STOP INC|1515 SMITH ST., UNIT N|NORTH PROVIDENCE|RI
1|MILLS & BORN LLC|999 CHALKSTONE AVENUE|PROVIDENCE|RI
1|RHODE ISLAND HOSPITAL|593 EDDY STREET|PROVIDENCE|RI
1|SOFTWARE QUALITY ASSOCIATES LLC|3 DAVOL SQUARE|PROVIDENCE|RI
1|SYSCONS CORPORATION|959 MINERAL SPRING AVENUE|NORTH PROVIDENCE|RI
(14 rows)
