count|employer_name|employer_address1|employer_city|employer_state
4|CALIBER IT SOLUTION INC|454 S ANDERSON ROAD|ROCK HILL|SC
4|CALIBER IT SOLUTIONS INC|454 S ANDERSON ROAD|ROCK HILL|SC
4|ORDUSION TECHNOLOGIES INC|454 S ANDERSON ROAD|ROCK HILL|SC
4|SPARK IT TECHNOLOGIES LLC|454 S ANDERSON ROAD|ROCK HILL|SC
3|ADVANCED IT SOLUTIONS INC|1301 GERVAIS STREET|COLUMBIA|SC
3|AKEENTECH LLC|331 EAST MAIN STREET|ROCK HILL|SC
3|COMPANION PROFESSIONAL SERVICES LLC|1301 GERVAIS STREET|COLUMBIA|SC
3|ORRBA SYSTEMS LLC|452 LAKESHORE PARKWAY|ROCKHILL|SC
3|ORRBA SYSTEMS LLC|775 ADDISON AVENUE|ROCK HILL|SC
3|ORRBA SYSTEMS LLC|452 LAKESHORE PARKWAY|ROCK HILL|SC
3|SVK SYSTEMS INC|452 LAKESHORE PARKWAY|ROCK HILL|SC
3|SYSTEMS CAREERS INC|1301 GERVAIS STREET|COLUMBIA|SC
3|VIABOUND LLC|331 EAST MAIN STREET|ROCK HILL|SC
3|VIDLEXINFO LLC|331 EAST MAIN STREET|ROCK HILL|SC
3|WISSEN IT INC|775 ADDISON AVENUE|ROCK HILL|SC
3|WISSENIT INC|775 ADDISON AVENUE|ROCK HILL|SC
2|APPSTREAM TECHNOLOGIES LLC|135 E MAIN ST|ROCKHILL|SC
2|APPSTREAM TECHNOLOGIES LLC|331 E MAIN ST|ROCK HILL|SC
2|APPSTREAM TECHNOLOGIES LLC|135 E MAIN ST|ROCK HILL|SC
2|BLUE EYE SOFT|44 PARKWAY COMMONS WAY|GREER|SC
2|BLUE EYE SOFT CORP|44 PARKWAY COMMONS WAY|GREER|SC
2|CALIBER IT SOLUTIONS INC|454 S ANDERSON ROAD,|ROCK HILL|SC
2|GARUDA CONSULTANT LLC|458 OLD CHEROKEE ROAD|LEXINGTON|SC
2|GARUDA CONSULTANTS LLC|458 OLD CHEROKEE ROAD|LEXINGTON|SC
2|INGENICS CORP|1 RESEARCH DRIVE|GREENVILLE|SC
2|INGENICS CORPORATION|1 RESEARCH DRIVE|GREENVILLE|SC
2|KINECTRA LLC|1565 EBENEZER ROAD|ROCK HILL|SC
