count|employer_name|employer_address1|employer_city|employer_state
4|7TECHNIX LLC|6000 POPLAR AVENUE|MEMPHIS|TN
4|ARKANA INFOTECH INC|6000 POPLAR AVENUE|MEMPHIS|TN
4|COOK SYSTEMS INTERNATIONAL INC|6000 POPLAR AVENUE|MEMPHIS|TN
4|NIKAYA LLC|6000 POPLAR AVENUE|MEMPHIS|TN
3|AST GLOBAL INC|8295 TOURNAMENT DRIVE|MEMPHIS|TN
3|SAI TECHNOLOGIES LLC|8295 TOURNAMENT DRIVE|MEMPHIS|TN
3|ZREYA TECH INC|8295 TOURNAMENT DRIVE|MEMPHIS|TN
2|AGRANEE TECH INC|555 MARRIOTT DRIVE|NASHVILLE|TN
2|AMENTUM TECHNOLOGY INC|600 WILLIAM NORTHERN BOULEVARD|TULLAHOMA|TN
2|AMEYA INFOTECH INC|3238 PLAYERS CLUB CIR  75|MEMPHIS|TN
2|AMEYA INFOTECH LLC|3238 PLAYERS CLUB CIR  75|MEMPHIS|TN
2|CODEWORKS IT LLC|348 NEW BYHALIA ROAD|COLLIERVILLE|TN
2|CONCH TECHNOLOGIES|6750 POPLAR AVE|MEMPHIS|TN
2|CONCH TECHNOLOGIES INC|6750 POPLAR AVE|MEMPHIS|TN
2|CRESTSOFT INC|348 NEW BYHALIA ROAD|COLLIERVILLE|TN
2|DATAPLUSPLUS LLC|3401 MALLORY LANE|FRANKLIN|TN
2|GALAXY3 CORP|140 S MAIN STREET|COLLIERVILLE|TN
2|GALAXY3 CORP INC|140 S MAIN STREET|COLLIERVILLE|TN
2|HARVEY NASH INC|810 CRESCENT CENTRE|FRANKLIN|TN
2|IB TECHNOLOGIES LLC|3401 MALLORY LANE|FRANKLIN|TN
2|JACOBS TECHNOLOGY INC|600 WILLIAM NORTHERN BOULEVARD|TULLAHOMA|TN
2|LATITUDE 36 INC|810 CRESCENT CENTRE|FRANKLIN|TN
2|MILLENNIUM GLOBAL TECHNOLOGIES LLC|1661 INTERNATIONAL DR|MEMPHIS|TN
2|MOORE INFOTECH INC|1661 INTERNATIONAL DR|MEMPHIS|TN
2|S3 SOLUTIONS LLC|364 NEW BYHALIA ROAD|COLLIERVILLE|TN
2|SIMAXIVE TECHNOLOGIES INC|364 NEW BYHALIA ROAD|COLLIERVILLE|TN
