count|employer_name|employer_address1|employer_city|employer_state
33|ACENTRIK TECHNOLOGIES SOLUTIONS|5005 W ROYAL LN|IRVING|TX
33|ACENTRIK TECHNOLOGY SOLUTIONS LLC|5005 W ROYAL LN|IRVING|TX
33|APLOS AMERICA INC|5005 W ROYAL LN|IRVING|TX
33|CLOUD RESOURCES LLC|5005 W ROYAL LN|IRVING|TX
33|DEFTSQUAD INC|5005 W ROYAL LN|IRVING|TX
33|DESTIN IT SOLUTIONS INC|5005 W ROYAL LN|IRVING|TX
33|DEVI TECHS INC|5005 W ROYAL LN|IRVING|TX
33|ECHOSPARK TECHNOLOGIES LLC|5005 W ROYAL LN|IRVING|TX
33|ECORFY INC|5005 W ROYAL LN|IRVING|TX
33|ES SEARCH CONSULTANTS INC|5005 W ROYAL LN|IRVING|TX
33|FIORI TECHNOLOGY SOLUTIONS INC|5005 W ROYAL LN|LRVING|TX
33|FIORI TECHNOLOGY SOLUTIONS INC|5005 W ROYAL LN|IRVING|TX
33|IN DATA SOLUTIONS INC|5005 W ROYAL LN|IRVING|TX
33|INFO KEYS INC|5005 W ROYAL LN|IRVING|TX
33|INFOKEYS INC|5005 W ROYAL LN|IRVING|TX
33|INNOVATE SOFT LLC|5005 W ROYAL LN|IRVING|TX
33|MASH ASSOCIATES LLC|5005 W ROYAL LN|DALLAS|TX
33|MAXIMUS TEK INC|5005 W ROYAL LN|IRVING|TX
33|NEXTERAPATH INC|5005 W ROYAL LN|IRVING|TX
33|PLATINUM INFOSYS INC|5005 W ROYAL LN|IRVING|TX
33|PRAGMA INFO SYSTEMS INC|5005 W ROYAL LN|IRVING|TX
33|SAISIR INC|5005 W ROYAL LN|IRVING|TX
33|SCOTTLINE LLC|5005 W ROYAL LN|IRVING|TX
33|SKILLMAZE INC|5005 W ROYAL LN|IRVING|TX
33|SMART INFO SOLUTIONS LLC|5005 W ROYAL LN|IRVING|TX
33|SOFTPRO GLOBAL INC|5005 W ROYAL LN|IRVING|TX
33|TECH ERA LLC|5005 W ROYAL LN|IRVING|TX
33|TECHNIHIRE INC|5005 W ROYAL LN|IRVING|TX
33|TEKNOVIK INC|5005 W ROYAL LN|IRVING|TX
33|THINK FORCE 360 LLC|5005 W ROYAL LN|IRVING|TX
33|TRUGIT LLC|5005 W ROYAL LN|IRVING|TX
33|VEN SOLUTIONS LLC|5005 W ROYAL LN|IRVING|TX
33|VITYOU INC|5005 W ROYAL LN|IRVING|TX
21|ARKHATECH INC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|B3R TECHNOLOGIES LLC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|BYTE SOLUTIONS LLC|12100 FORD ROAD|FARMERS BRANCH|TX
21|COD CORES INC|12100 FORD ROAD|FARMERS BRANCH|TX
21|DEVAPPSIT LLC|12100 FORD ROAD|FARMERS BRANCH|TX
21|DISCOVER TECHNOLOGIES INC|12100 FORD ROAD|FARMERS BRANCH|TX
21|DONATO TECHNOLOGIES INC|12100 FORD ROAD|DALLAS|TX
21|GISPATH INC|12100 FORD ROAD|FARMERS BRANCH|TX
21|GOLDEN FUTURE INC|12100 FORD ROAD|FARMERS BRANCH|TX
21|HASH TEK INC|12100 FORD ROAD|FARMERS BRANCH|TX
21|I9 TECH SOLUTIONS LLC|12100 FORD ROAD|FARMERS BRANCH|TX
21|IKON SYSTEMS LLC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|INTELLAN TECHNOLOGIES LLC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|KEANE SOFT INC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|KIVYO INC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|MARK TECHNOLOGIES INC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|METAPICKS LLC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|MHR INFOTECH INC|12100 FORD ROAD|FARMERS BRANCH|TX
21|MORS TECHNOLOGIES INC|12100 FORD ROAD|FARMERS BRANCH|TX
21|MULTIEDGE INC|12100 FORD ROAD|FARMERS BRANCH|TX
21|OCTIGO SOLUTIONS INC|12100 FORD ROAD|DALLAS|TX
21|PRECISESOFT INC|12100 FORD ROAD|FARMERS BRANCH|TX
21|PROBPM INC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|RSA TECH GROUP LLC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|S TEKWIZARDS LLC|12100 FORD ROAD|FARMERS BRANCH|TX
21|SINFRALOGIX LLC|12100 FORD ROAD|DALLAS|TX
21|SKILLZDEPOT INC|12100 FORD ROAD|FARMERS BRANCH|TX
21|SOFT LOGAN TECHNOLOGIES INC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|SOFTLOGAN TECHNOLOGIES INC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|STACKTRACE LLC|12100 FORD ROAD|FARMERS BRANCH|TX
21|SUNIKSHA TECHNOLOGIES LLC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|SYNAPSOL INC|12100 FORD ROAD|FARMERS BRANCH|TX
21|TECH ABSTRACTOR LLC|12100 FORD ROAD|FARMERS BRANCH|TX
21|TECHGIRD SYSTEMS LLC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|TECHNO TASKS INC|12100 FORD ROAD|FARMERS BRANCH|TX
21|TEKACCEL INC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|VALCANIT INC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|VIMTECH CORPORATION|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|WORCKOG INC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|WORKCOG INC|2601 LITTLE ELM PKWY|FRISCO|TX
21|WORKCOG INC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
21|ZENTECH CONSULTING INC|2601 LITTLE ELM PKWY|LITTLE ELM|TX
20|360 TECHNOLOGY LLC|4100 SPRING VALLEY ROAD|FARMERS BRANCH|TX
20|AI TECHHUT INC|4100 SPRING VALLEY ROAD|DALLAS|TX
20|ALLIED TEC INC|2300 VALLEY VIEW LN|IRVING|TX
20|AMALGAM TECHNOLOGIES INC|2300 VALLEY VIEW LN|IRVING|TX
20|AXLE IT INC|4100 SPRING VALLEY ROAD|DALLAS|TX
20|BUSINESS INTELLI SOLUTIONS INC|4100 SPRING VALLEY ROAD|FARMERS BRANCH|TX
20|CEROTID INC|2300 VALLEY VIEW LN|IRVING|TX
