count|employer_name|employer_address1|employer_city|employer_state
2|HONEYSYS LLC|9980 S 300 W|SANDY|UT
2|JOBS N PROFILES LLC|392 E WINCHESTER ST.|MURRAY|UT
2|JOBS N PROFILES LLC|9980 S 300 W|SANDY|UT
2|NITYA SOFTWARE SOLUTIONS INC|392 E WINCHESTER ST.|MURRAY|UT
2|SONICA KOMMU|504 W 800 N|OREM|UT
2|SONUS SOFTWARE SOLUTIONS INC|504 W 800 N|OREM|UT
2|TECHFLUENT SYSTEMS LLC|2901 W BLUEGRASS BLVD|LEHI|UT
2|TECHFLUENTSYSTEMS LLC|2901 W BLUEGRASS BLVD|LEHI|UT
1|ALTIUS TECHNOLOGIES INC|922 W BAXTER DR|SOUTH JORDAN|UT
1|ALTIUS TECHNOLOGIES INC|9565 S 700 E|SANDY|UT
1|ALTIUS TECHNOLOGIES INC|9547 SOUTH 700 EAST|SANDY|UT
1|ALTIUS TECHNOLOGIES INC|922 W. BAXTER DRIVE|SOUTH JORDAN|UT
1|ALTIUS TECHNOLOGIES INC|922 W BAXTER DRIVE|SOUTH JORDAN|UT
1|AMROUTE LLC|3459 W 13800 S|BLUFFDALE|UT
1|ANSTEK INC|10408 S 1055 W SUITE 202|SOUTH JORDAN|UT
1|CLOUDBERG TEC LIMITED COMPANY|420 EAST SOUTH TEMPLE STREET|SALT LAKE CITY|UT
1|CONNVERTEX TECHNOLOGIES INC|10808 SOUTH RIVER FRONT PARKWAY|SOUTH JORDAN|UT
1|CONSULTNET LLC|10813 SOUTH RIVER FRONT PARKWAY|SOUTH JORDAN|UT
1|FATPIPE INC|392 EAST WINCHESTER STREET, 5TH FLOOR|SALT LAKE CITY|UT
1|FATPIPE TECHNOLOGIES INC|392 E. WINCHESTER ST., 5TH FLOOR|SALT LAKE CITY|UT
1|FATPIPE TECHNOLOGIES INC|392 E WINCHESTER ST|SALT LAKE CITY|UT
1|FEATURE STACK IT INC|10357 S WEEPING WILLOW DR|SANDY|UT
1|FEATURE STACK IT INC|11148 S 2700 W|SOUTH JORDAN|UT
1|INNOVECTURE|10421 SO. JORDAN GATEWAY|SOUTH JORDAN|UT
1|JSI ENGINEERING LLC|1475 N 200 W|NEPHI|UT
1|NITYA SOFTWARE SOLUTIONS INC|392 E WINCHESTER STREET,|MURRAY|UT
1|NITYA SOFTWARE SOLUTIONS INC|392 E WINCHESTER ST.,|MURRAY|UT
1|NITYA SOFTWARE SOLUTIONS INC|392E WINCHESTER ST.|MURRAY|UT
1|NOVUS ANALYTICAL TECHNOLOGIES INC|825 NORTH 300 WEST, SUITE NE 300|SALT LAKE CITY|UT
1|OUTBOX SYSTEMS INC|10 WEST BROADWAY|SALT LAKE CITY|UT
1|OUTBOX SYSTEMS INC|3300 N ASHTON BLVD|LEHI|UT
1|POWER ENGINEERS INC|249 NORTH 1200 EAST|LEHI|UT
1|PREVAIL INFOTECH INC|11148 S 2700W|SOUTH JORDAN|UT
1|PREVAIL INFOTECH INC|9035 S 1300 E|SANDY|UT
1|PROWISE SOLUTIONS INC|15 CORPORATE PLACE SOUTH|PISCATAWAY|UT
1|QUALTRICS LLC|333 RIVER PARK DRIVE|PROVO|UT
1|REDCASTLE RESOURCES INC|124 SOUTH 400 EAST, SUITE 240|SALT LAKE CITY|UT
1|SMITH JOHNSON GROUP INC|8899 S. 700 E., SUITE 275|SANDY|UT
1|SONUS SOFTWARE SOLUTIONS INC|504 W. 800 N.|OREM|UT
1|SONUS SOFTWARE SOLUTIONS INC|504 WEST 800 NORTH|OREM|UT
1|SQL DATA SOLUTIONS INC|450 N UNIVERSITY AVE|PROVO|UT
1|SQL DATA SOLUTIONS INC|450 N UNIVERSITY AVENUE|PROVO|UT
1|SYSTEMFINITY CORP|25 E KENSINGTON AVE|SALT LAKE CITY|UT
1|TERADATA LLC|9980 S 300W|SANDY|UT
1|USTECHSYSTEM LLC|13894 S.  BANGERTER PKWY|DRAPER|UT
1|USTECHSYSTEM LLC|13894 S. BANGERTER PARKWAY|DRAPER|UT
1|VALIANT TECHNOLOGY SOLUTIONS LLC|881 BAXTER DR|SOUTH JORDAN|UT
(47 rows)
