count|employer_name|employer_address1|employer_city|employer_state
7|AMERICAN TECHNOLOGY GROUP LLC|69 ALLEN ST|RUTLAND|VT
7|ARTIFINT TECHNOLOGIES LLC|69 ALLEN ST|RUTLAND|VT
7|BLOCKCHAIN TECHNOLOGIES LLC|69 ALLEN ST|RUTLAND|VT
7|DATA SCIENCE TECHNOLOGIES LLC|69 ALLEN ST|RUTLAND|VT
7|MACHINE INTELLIGENCE TECHNOLOGIES LLC|69 ALLEN ST|RUTLANT|VT
7|ROBOTIC PROCESS AUTOMATION LLC|69 ALLEN ST|RUTLAND|VT
7|SOFTWARE DEVELOPER|69 ALLEN ST|RUTLANT|VT
1|ITECH US INC|20 KIMBALL AVE|SOUTH BURLINGTON|VT
1|ITECH US INC|20 KIMBALL AVENUE|SOUTH BURLINGTON|VT
(9 rows)
