count|employer_name|employer_address1|employer_address2|employer_city
130|BTREE SOLUTIONS INC|13800 COPPERMINE ROAD|160|HERNDON
130|KEN SYSTEMS INC|13800 COPPERMINE ROAD|1ST FLOOR|HERNDON
130|ZYMO SOLUTIONS LLC|13800 COPPERMINE ROAD|1ST FLOOR|HERNDON
130|BTREE SOLUTIONS INC|13800 COPPERMINE ROAD|399|HERNDON
130|VIRTUE MINDS SOLUTIONS LLC|13800 COPPERMINE ROAD|3RD FLOOR, SUITE 391|HERNDON
130|VIRTUE MIND SOLUTIONS LLC|13800 COPPERMINE ROAD|3RD FLOOR, SUITE 391|HERNDON
130|HITEC INFORMATION & TECH INC|13800 COPPERMINE ROAD|FL 1 187|HENRDON
130|HITEC INFORMATION & TECH INC|13800 COPPERMINE ROAD|FL 1 187|HERNDON
130|Meta Info Solutions Inc|13800 COPPERMINE ROAD|FL 3|HERNDON
130|INFOCOGNIZE INC|13800 COPPERMINE ROAD|N/A|HERNDON
130|SAINTECH SOULTIONS LLC|13800 COPPERMINE ROAD|SUITE 100|HERNDON
130|SAINTECH SOLUTIONS LLC|13800 COPPERMINE ROAD|SUITE 100|HERNDON
130|ENLIVEN TECHNOLOGIES INC|13800 COPPERMINE ROAD|SUITE 111|Herndon
130|CONFIMINDS LLC|13800 COPPERMINE ROAD|SUITE 118|HERNDON
130|COVALENSE DIGITIAL SOLUTIONS LLC|13800 COPPERMINE ROAD|SUITE 134|HERNDON
130|COVALENSE DIGITAL SOLUTIONS LLC|13800 COPPERMINE ROAD|SUITE 134|HERNDON
130|SATSYIL CORP|13800 COPPERMINE ROAD|SUITE 138|HERNDON
130|VEENA CORP|13800 COPPERMINE ROAD|SUITE 140|HERNDON
130|Nunetz Tech LLC|13800 COPPERMINE ROAD|SUITE 151|HERNDON
130|BTREE SOLUTIONS INC|13800 COPPERMINE ROAD|SUITE 160|HERNDON
130|CLOUDSCAPE LLC|13800 COPPERMINE ROAD|SUITE 175|HERNDON
130|INFINITY SOFTWARE TECHNOLOGIES LLC|13800 COPPERMINE ROAD|SUITE 175|HERNDON
130|PMG GLOBAL CORPORATION|13800 COPPERMINE ROAD|SUITE 238|HERNDON
130|COVALENSE DIGITIAL SOLUTIONS LLC|13800 COPPERMINE ROAD|SUITE 245|HERNDON
130|APPLIXA TECHNOLOGIES LLC|13800 COPPERMINE ROAD|SUITE 250, 2ND FLOOR|HERNDON
130|PMG GLOBAL CORPORATION|13800 COPPERMINE ROAD|SUITE 253|HERNDON
130|BTREE SOLUTIONS INC|13800 COPPERMINE ROAD|SUITE 399|HERNDON
130|Ramswar Technologies|13800 COPPERMINE ROAD||Herndon
130|EIT SERVICES LLC|13800 COPPERMINE ROAD||HERNDON
130|DATAPIER TECHNOLOGIES INC|13800 COPPERMINE ROAD||HERNDON
130|Blue Verse Systems Corp|13800 COPPERMINE ROAD||HERNDON
130|INFOCOGNIZE INC|13800 COPPERMINE ROAD||HERNDON
130|Ramsware Technologies|13800 COPPERMINE ROAD||Herndon
130|ITDR INC|13800 COPPERMINE ROAD||HERNDON
130|RAMSWAR TECHNOLOGIES LLC|13800 COPPERMINE ROAD||HERNDON
130|LARGETON INC|13800 COPPERMINE ROAD||Herndon
130|GERENT LLC|13800 COPPERMINE ROAD||Herndon
130|Molina Technologies LLC|13800 Coppermine Road|1st Floor|Herndon
130|RAMSWAR TECHNOLOGIES LLC|13800 Coppermine Road|1st, 2nd and 3rd floor|Herndon
130|APPLIXA TECHNOLOGIES LLC|13800 Coppermine Road|2nd Floor Suite 250|Herndon
130|APPLIXA TECHNOLOGIES LLC|13800 Coppermine Road|2nd Floor, Suite 250|Herndon
130|Innovative Dynamic Solutions Global Inc|13800 Coppermine Road|327|Herndon
130|Meta Info Solutions Inc|13800 Coppermine Road|3rd Floor|Herndon
130|META INFO SOLUTIONS INC|13800 Coppermine Road|3rd Floor|Herndon
130|VirtueMind Solutions LLC|13800 Coppermine Road|3rd Floor, Suite 391|Herndon
130|Virtue Mind Solutions LLC|13800 Coppermine Road|3rd Floor, Suite 391|Herndon
130|VIRTUE MIND SOLUTIONS LLC|13800 Coppermine Road|3rd Floor, suite 391|Herndon
130|VIRTUE MIND SOLUTIONS LLC|13800 Coppermine Road|3rd Floor, suite 391,|Herndon
130|Hashi Solutions LLC|13800 Coppermine Road|First Floor|Herndon
130|Hashi Solutions LLC|13800 Coppermine Road|First floor|Herndon
130|Axelaar Inc|13800 Coppermine Road|Flr 3rd|Herndon
130|Acentle Inc|13800 Coppermine Road|STE 107|Herndon
130|ACENTLE INC|13800 Coppermine Road|STE 107|Herndon
130|Veena Corp|13800 Coppermine Road|STE 140|Herndon
130|Omega Hires|13800 Coppermine Road|STE 140|Herndon
130|RATNA LLC|13800 Coppermine Road|STE 142|Herndon
130|Sage Metrix Inc|13800 Coppermine Road|STE 249|Herndon
130|Oran Inc|13800 Coppermine Road|STE 307|Herndon
130|SSA Tech Inc|13800 Coppermine Road|Ste 130|Herndon
130|K Base Technologies Inc|13800 Coppermine Road|Ste 153|Herndon
130|Gerent LLC|13800 Coppermine Road|Ste 159|Herndon
130|ioSENTRIX LLC|13800 Coppermine Road|Ste 190|Herndon
130|Covalense Digital Solutions LLC|13800 Coppermine Road|Ste 245|Herndon
130|Gunina Innovative LLC|13800 Coppermine Road|Ste 288|Herndon
130|Axelaar Inc|13800 Coppermine Road|Ste 305|Herndon
130|Matha Inc|13800 Coppermine Road|Ste 393|Herndon
130|VALIANT TEK GROUP INC|13800 Coppermine Road|Suite 101|Herndon
130|AMSY SOFT INC|13800 Coppermine Road|Suite 105|Herndon
130|UDS Synergy Inc|13800 Coppermine Road|Suite 106|Herndon
130|Tek Staffing Inc|13800 Coppermine Road|Suite 110|Herndon
130|Nclipse Solutions LLC|13800 Coppermine Road|Suite 111|Herndon
130|iCloud Solutions Inc|13800 Coppermine Road|Suite 113|Herndon
130|Talteam Inc|13800 Coppermine Road|Suite 120|Herndon
130|ABS Tech LLC|13800 Coppermine Road|Suite 126|Herndon
130|ERADS INC|13800 Coppermine Road|Suite 127|Herndon
130|Satsyil Corp|13800 Coppermine Road|Suite 138|Herndon
130|SATSYIL CORP|13800 Coppermine Road|Suite 138|Herndon
130|Vmark Solutions Inc|13800 Coppermine Road|Suite 141, 1st floor|Herndon
130|Data Capital Inc|13800 Coppermine Road|Suite 143|Herndon
130|Ardent Tech Services Inc|13800 Coppermine Road|Suite 144|Herndon
130|Infogen Software Solutions Inc|13800 Coppermine Road|Suite 150|Herndon
130|Nunetz Tech LLC|13800 Coppermine Road|Suite 151|Herndon
130|Refyn Data LLC|13800 Coppermine Road|Suite 162|Herndon
