count|employer_name|employer_address1|employer_city|employer_state
7|BRICKRED SYSTEMS LLC|2018 156TH AVE NE|BELLEVUE|WA
7|MORINE TECHNOLOGIES|2018 156TH AVE NE|BELLEVUE|WA
7|NFOLKS DATA SOLUTIONS LLC|2018 156TH AVE NE|BELLEVUE|WA
7|NFOLKS LLC|2018 156TH AVE NE|BELLEVUE|WA
7|THRIVESOFTWARE SOLUTIONS INC|2018 156TH AVE NE|BELLEVUE|WA
7|TRUVS INC|2018 156TH AVE NE|BELLEVUE|WA
7|WAFERWIRE LLC|2018 156TH AVE NE|BELLEVUE|WA
3|CHATECK INC|22722 29TH DRIVE SE|BOTHELL|WA
3|COURSE5 INTELLIGENCE PRIVATE LIMITED|3600 136TH PL SE|BELLEVUE|WA
3|DIGISIGNALS INC|2018 156TH AVENUE NE|BELLEVUE|WA
3|INNOVATIVE EDGE TECHNOLOGY CONSULTANCY SERVICES|22722 29TH DRIVE SE|BOTHELL|WA
3|INNOVATIVE EDGE TECHNOLOGY CONSULTANCY SERVICES LLC|22722 29TH DRIVE SE|BOTHELL|WA
3|LOTUZ INC|22525 SE 64TH PLACE|ISSAQUAH|WA
3|MOODYS NORTH WEST CONSULTING LLC|3600 136TH PL SE|BELLEVUE|WA
3|MOODYS NORTH WEST CONSULTING LLC|3600 136TH PL SE|SAMMAMISH|WA
3|NFOLKS LLC|2018 156TH AVENUE NE|BELLEVUE|WA
3|RELANTO INC|22525 SE 64TH PLACE|ISSAQUAH|WA
3|SK TEK SOLUTIONS LLC|2018 156TH AVENUE NE|BELLEVUE|WA
3|SOPHUS IT SOLUTIONS LLC|22525 SE 64TH PLACE|ISSAQUAH|WA
2|9LOGIC TECHNOLOGIES INC|2775 152ND AVE NE|REDMOND|WA
2|9LOGIC TECHNOLOGIES INC|14042 NE 8TH ST|BELLEVUE|WA
2|AEGIS COMPANY|18300 REDMOND WAY|REDMOND|WA
2|AEGIS COMPANY|18300 NE UNION HILL ROAD|REDMOND|WA
2|ALAMERE SOFTWARE INC|11335 NE 122ND WAY|KIRKLAND|WA
2|AMERICAN ALLIANCE LLC|22722 29TH DR SE STE 100|BOTHELL|WA
2|APPLEXUS TECHNOLOGIES INC|33507 9TH AVENUE SOUTH|FEDERAL WAY|WA
2|APPLEXUS TECHNOLOGIES LLC|33507 9TH AVENUE SOUTH|FEDERAL WAY|WA
2|BM SQUARE INC|19125 NORTH CREEK PKWY|BOTHELL|WA
2|CHATECK INC|22722 29TH DR SE STE 100|BOTHELL|WA
2|CLOUDMOYO INC|14711 NE 29TH PLACE|BELLEVUE|WA
2|CORETEK LABS LLC|14042 NE 8TH STREET|BELLEVUE|WA
2|CRESENTTECH LLC|2265 116TH AVE NE|BELLEVUE|WA
2|EKAA SOLUTIONS INC|19125 NORTH CREEK PKWY|BOTHELL|WA
2|ENFEC LLC|8201 164TH AVENUE NE|REDMOND|WA
2|FLAIR TECH SOLUTIONS INC|2775 152ND AVENUE NE|REDMOND|WA
2|FLAIR TECH SOLUTIONS INC|2775 152ND AVE NE|REDMOND|WA
2|FLAIR TECH SOLUTIONS LLC|2775 152ND AVENUE NE|REDMOND|WA
2|GLOBIXS LLC|1729 208TH ST SE|BOTHELL|WA
2|HIGHBROW LLC|16301 NE 8TH STREET|BELLEVUE|WA
2|INABIA SOFTWARE & CONSULTING INC|7901 168TH AVE NE|REDMOND|WA
2|INABIA SOFTWARE AND CONSULTING INC|14711 NE 29TH PLACE|BELLEVUE|WA
2|INABIA SOFTWARE AND CONSULTING INC|7901 168TH AVE NE|REDMOND|WA
2|KLINK TECH SOLUTIONS INC|8201 164TH AVE NE|REDMOND|WA
2|KNACKSOFT LLC|8201 164TH AVE NE|REDMOND|WA
2|LASAI TECHNOLOGIES LLC|4170 148TH AVE NE|REDMOND|WA
2|LASAI TECHNOLOGIES LLC DBA DIGITECH LABS|4170 148TH AVE NE|REDMOND|WA
2|MC GROUP OF COMPANIES LLC|1729 208TH ST SE|BOTHELL|WA
2|NAVANSOFT TECHNOLOGIES LLC|20205 144TH AVE NE|WOODINVILLE|WA
2|NOISEFIGURE RESEARCH INC|1000 SW 7TH STREET|RENTON|WA
2|NOISEFIGURE RESEARCH LLC|1000 SW 7TH STREET|RENTON|WA
2|PEOPLE TECH GROUP INC|18300 REDMOND WAY|REDMOND|WA
2|PEOPLE TECH GROUP INC|18300 NE UNION HILL ROAD|REDMOND|WA
2|RELANTO INC|22525 SE 64TH PL|ISSAQUAH|WA
2|RIE CONSULTANTS LLC|8201 164TH AVENUE NE|REDMOND|WA
2|SAMAY CONSULTING LLC|2265 116TH AVE NE|BELLEVUE|WA
2|SAPIENCE TECHNOLOGIES LLC|16301 NE 8TH STREET|BELLEVUE|WA
2|SOPHUS IT SOLUTIONS|22525 SE 64TH PL.|ISSAQUAH|WA
2|SOPHUS IT SOLUTIONS LLC|22525 SE 64TH PL|ISSAQUAH|WA
2|SOPHUS IT SOLUTIONS LLC|22525 SE 64TH PL.|ISSAQUAH|WA
2|SYRENCLOUD INC|2018 156TH AVE NE, BUILDING F|BELLEVUE|WA
2|SYRENCLOUD LLC|2018 156TH AVE NE, BUILDING F|BELLEVUE|WA
2|TETRA SYSTEMS LLC|20205 144TH AVE NE|WOODINVILLE|WA
