count|employer_name|employer_address1|employer_city|employer_state
2|KEYLOGIC LLC|3168 COLLINS FERRY ROAD|MORGANTOWN|WV
2|KEYLOGIC SYSTEMS|3168 COLLINS FERRY ROAD|MORGANTOWN|WV
1|ATLAS PREDICTION CONTROL LLC|1740 UNION CARBIDE DRIVE|SOUTH CHARLESTON|WV
1|M&S CONSULTING LLC|1 SUBURBAN COURT|MORGANTOWN|WV
1|MAHANTECH CORPORATION|405 CAPITOL STREET|CHARLESTON|WV
1|SINFOTECH LLC|2872 UNIVERSITY AVE|MORGANTOWN|WV
1|WEST VIRGINIA STATE UNIVERSITY RESEARCH AND DEVELOPMENT CORPORATION|4015 FAIRLAWN AVENUE|INSTITUTE|WV
1|WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION|886 CHESTNUT RIDGE ROAD|MORGANTOWN|WV
1|WINSOFT GLOBAL SYSTEMS INC|1000 GATTIS SCHOOL ROAD|ROUND ROCK|WV
(9 rows)
