count|employer_name|employer_address1|employer_city|employer_state
2|EXEC SEARCH INC|2325 PARKLAWN DRIVE|WAUKESHA|WI
2|EXPERIS US INC|100 MANPOWER PLACE|MILWAUKEE|WI
2|EXPERIS US LLC|100 MANPOWER PLACE|MILWAUKEE|WI
2|GOVAN SYSTEMS|725 HEARTLAND TRL|MADISON|WI
2|GOVAN SYSTEMS INC|725 HEARTLAND TRL|MADISON|WI
2|HILMONT LLC|11925 WEST CARMEN AVE|MILWAUKEE|WI
2|HILMOT LLC|11925 WEST CARMEN AVE|MILWAUKEE|WI
2|WISDOM INFOTECH|18650 W CORPORATE DR|BROOKFIELD|WI
2|WISDOM INFOTECH LTD|18650 W CORPORATE DR|BROOKFIELD|WI
2|WISSEN INC|2325 PARKLAWN DR|WAUKESHA|WI
2|WISSEN INFOTECH INC|2325 PARKLAWN DR|WAUKESHA|WI
2|WISSEN INFOTECH INC|2325 PARKLAWN DRIVE|WAUKESHA|WI
1|ADAM INFORMATION TECHNOLOGIES LLC|402 GAMMON PL.|MADISON|WI
1|AI SPINS INC|8850 BLACKHAWK ROAD|MIDDLETON|WI
1|AMBA SYSTEMS|2215 S ONEIDA ST|GREEN BAY|WI
1|AMBA SYSTEMS LLC|2215 S ONEIDA STREET|GREEN BAY|WI
1|AMBA SYSTEMS LLC|2979 ALLIED STREET|GREEN BAY|WI
1|AMBA SYSTEMS LLC|2979 ALLIED ST.|2979 ALLIED ST, STE E, GREEN BAY WI|WI
1|ARORA INFOTECH INC|3131 TAYLOR AVE|RACINE|WI
1|ARORA INFOTECH INC|3131 TAYLOR AVENUE|RACINE|WI
1|ASP DIVERSE INC|8383 GREENWAY BLVD.|MIDDLETON|WI
1|CODEWORKS LLC|17800 W CAPITAL DRIVE|BROOKFIELD|WI
1|CODEWORKS LLC|17800 W CAPITOL DRIVE|BROOKFIELD|WI
1|CORE CONSULTING LLC|107 BUNTROCK AVE|THIENSVILLE|WI
1|CULLERTON GROUP LLC|223 W. JACKSON|CHICAGO|WI
1|DIGITAL RESOURCE PARTNERS LLC|3125 PROSPECT DRIVE|SUN PRAIRIE|WI
1|DIGITAL TRANSFORMATION SERVICES LLC|3530 S 120TH ST|GREENFIELD|WI
1|DIGITAL TRANSFORMATION SERVICES LLC|200 S. EXECUTIVE DRIVE|BROOKFIELD|WI
1|ELEGANT TECHNOLOGIES LLC|583 DONOFRIO DRIVE|MADISON|WI
1|ELEGANT TECHNOLOGIES LLC|583 D ONOFRIO DRIVE|MADISON|WI
1|ENPOWERTEK LLC|2810 CROSSROADS DR|MADISON|WI
1|ENTERPRISE SOLUTIONS TECHNOLOGY GROUP INC|1838 OAKVIEW DRIVE|STOUGHTON|WI
1|EXATECHINFO LLC|6402 ODANA ROAD|MADISON|WI
1|EXCEL GLOBAL SOLUTIONS INC|N27 W23960 PAUL ROAD|PEWAUKEE|WI
1|FLEXAGON LLC|3040 ALLIED ST.|GREEN BAY|WI
1|GENOME INTERNATIONAL CORPORATION|8000 EXCELSIOR DRIVE|MADISON|WI
1|GENOME INTERNATIONAL CORPORATION|8OOO EXCELSIOR DRIVE|MADISON|WI
1|GENOME INTERNATIONAL CORPORATION|8000 EXCESLSIOR DRIVE|MADISON|WI
1|GENOME INTERNATIONAL CORPORATION|8000 EXCELSIOR DR|MADISON|WI
1|GOVAN SYSTEMS INC|725 HEARTLAND TRL  201|MADISON, WI|WI
1|I2 IT SYSTEMS INC|110 E MAIN ST.|MADISON|WI
1|INCREX SYSTEMS LLC|3960 W KIMBERLY AVE|GREENFIELD|WI
1|INFETEK LLC|W201N5526 MAGNOLIA LN|MENOMONEE FALLS|WI
1|INTEN IT SOLUTIONS LLC|N19W24400 RIVERWOOD DRIVE|WAUKESHA|WI
1|ISR INFO WAY INC|559 DONOFRIO DRIVE|MADISON|WI
