case_number|case_status|employer_name|job_title|soc_code|full_time_position|begin_date|end_date|total_worker_positions|new_employment|continued_employment|new_concurrent_employment|change_previous_employment|change_employer|amended_petition|employer_address1|employer_address2|employer_city|employer_state|employer_poc_last_name|employer_poc_first_name|employer_poc_job_title|secondary_entity_business_name|worksite_address1|worksite_address2|worksite_city|worksite_state|h_1b_dependent|willful_violator|prevailing_wage|employer_phone|employer_phone_ext|employer_poc_phone|employer_poc_phone_ext|employer_poc_email|h_1b_dependent
I-200-26084-728982|Certified|ADP Inc|Global Solution Designer|15-1252.00|Y|2026-09-24|2029-09-23|1|1|0|0|0|0|0|1 ADP Blvd||Roseland|NJ|KOCAK|KOCAK|LEAD IMMIGRATION SPECIALIST|No||1 ADP Blvd.|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26084-729030|Certified|ADP Inc|Senior Integration Services Consultant|15-1244.00|Y|2026-09-24|2029-09-23|1|1|0|0|0|0|0|1 ADP Blvd||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||1 ADP Boulevard|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26084-728964|Certified|ADP Inc|Global Solution Designer|15-1299.09|Y|2026-09-24|2029-09-23|1|1|0|0|0|0|0|1 ADP Blvd||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||1 ADP Boulevard|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26084-729053|Certified|ADP Technology Services Inc|Technical Project Manager|15-1299.09|Y|2026-09-24|2029-09-23|1|1|0|0|0|0|0|1 ADP Blvd||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||99 Jefferson Road|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26084-729063|Certified|ADP Technology Services Inc|User Experience|15-1255.00|Y|2026-09-24|2029-09-23|1|1|0|0|0|0|0|1 ADP Blvd.||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||71 Hanover Road|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26084-727527|Certified|Intel Corporation|Software Engineer|15-1252.00|Y|2026-09-24|2029-09-23|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER|No||2501 NE Century Blvd|||Yes|No|Year|14807154205||14807154205||Immigration@intel.com|Yes
I-200-26084-727632|Certified|Intel Corporation|Software Engineer|15-1252.00|Y|2026-09-24|2029-09-23|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER|No||2501 NE Century Blvd|||Yes|No|Year|14807154205||14807154205||Immigration@intel.com|Yes
I-200-26084-727739|Certified|Intel Corporation|Software Engineer|15-1252.00|Y|2026-09-24|2029-09-23|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER|No||5000 W Chandler Blvd|||Yes|No|Year|14807154205||14807154205||Immigration@intel.com|Yes
I-200-26085-730906|Certified|Intel Corporation|Software Engineer|15-1252.00|Y|2026-09-24|2029-09-23|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER|No||5000 W Chandler Blvd|||Yes|No|Year|14807154205||14807154205||Immigration@intel.com|Yes
I-200-26084-727651|Certified|Teradata Operations Inc|Senior Software Engineer|15-1252.00|Y|2026-09-24|2029-09-23|1|1|0|0|0|0|0|17095 Via Del Campo||San Diego|CA|Henry|Jen|Director, People Services|No||222 N Pacific Coast Hwy|Floor 12||Yes|No|Year|13044336424||13044336424||Jen.Henry@Teradata.com|Yes
I-200-26084-730076|Certified|Universal Processing LLC|Technology Implementation Specialist|15-1244.00|N|2026-09-24|2029-09-23|1|1|0|0|0|0|0|215 W 40th Street|8th Floor|New York|NY|Huo|Na|Chief Financial Officer|No||7001 Corporate Drive|STE 227||Yes|Yes|Hour|12127793977||12127793977||nana@letsgoup.com|Yes
I-200-26084-727997|Certified|ADP Inc|Client Technical Support Consultant III|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|1 ADP Blvd||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||1 ADP Blvd.|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26084-728010|Certified|ADP Inc|Client Technical Support Consultant III|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|1 ADP Blvd||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||2735 N Stemmons Frwy|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26084-727981|Certified|ADP Inc|Cybersecurity Analyst|15-1212.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|1 ADP Blvd||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||1 ADP Boulevard|||Yes|No|Year|19739745000||19739745067||becky.kocak@adp.com|Yes
I-200-26084-727989|Certified|ADP Inc|Client Technical Support Consultant II|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|1 ADP Blvd||Roseland|NJ|KOCAK|BECKY|LEAD IMMIGRATION SPECIALIST|No||1 ADP Boulevard|||Yes|No|Year|19739745000||19739745067||BECKY.KOCAK@ADP.COM|Yes
I-200-26084-729912|Certified|Armada Systems Inc|Software Engineer [L3]|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|11 Funston Avenue|Suite A|San Francisco|CA|Shen|Ivy|Head of People Operations|No||13810 SE Eastgate Way|Suite 500||Yes|No|Year|14088063512||14088063512||is@armada.ai|Yes
I-200-26083-724604|Certified|First Horizon Bank|Mainframe Cobol, VSAM Developer|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|165 Madison Avenue|Third Floor|Memphis|TN|Bolden|Jabiana|VP, Talent Acquisition & Onboarding Manager|No||1 Glenwood Ave.|||Yes|No|Year|13375214427||13375214427||jbolden@firsthorizon.com|Yes
I-200-26083-725248|Certified|Gates Corporation|IT Application -Business Partner (Senior PDM System Analyst)|15-1211.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|1144 Fifteenth Street|Suite 1400|Denver|CO|Blanton|Kirsten|Director, HR, Corporate Functions|No||1144 Fifteenth Street|Suite 1400||Yes|No|Year|13037444244||13038986917||Kirsten.Blanton@gates.com|Yes
I-200-26084-727404|Certified|Google LLC|Software Engineer|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|1600 Amphitheatre Parkway||Mountain View|CA|Aziz/Quinn/Anderson/Wang/LeSeur|Ayesha/Jessica/Andru/Fei/Harry|Program Managers|No||285 W Tasman|||Yes|No|Year|16502037602||16502534513||GITAMER@google.com|Yes
I-200-26083-726032|Certified|Google LLC|Software Engineer|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|1600 Amphitheatre Parkway||Mountain View|CA|Cong/Murdock/Mark/Fortucci/Markham|Shu/Jill/Peter/Raymond/Taylor|Program Managers|No||400 Urban Plaza|||Yes|No|Year|16502037602||16502534513||GITAMER@google.com|Yes
I-200-26083-726869|Certified|Google LLC|Software Engineer|15-1252.00|Y|2026-09-23|2029-09-22|1|1|0|0|0|0|0|1600 Amphitheatre Parkway||Mountain View|CA|Aziz/Quinn/Anderson/Wang/LeSeur|Ayesha/Jessica/Andru/Fei/Harry|Program Managers|No||1190 Bordeaux Drive|||Yes|No|Year|16502037602||16502534513||GITAMER@google.com|Yes
