case_number|case_status|employer_name|job_title|soc_code|full_time_position|begin_date|end_date|total_worker_positions|new_employment|continued_employment|new_concurrent_employment|change_previous_employment|change_employer|amended_petition|employer_address1|employer_address2|employer_city|employer_state|employer_poc_last_name|employer_poc_first_name|employer_poc_job_title|secondary_entity_business_name|worksite_address1|worksite_address2|worksite_city|worksite_state|h_1b_dependent|willful_violator|prevailing_wage|employer_phone|employer_phone_ext|employer_poc_phone|employer_poc_phone_ext|employer_poc_email|h_1b_dependent
I-200-25357-504587|Certified|Intel Corporation|Research Scientist|15-1221.00|Y|2026-06-23|2029-06-22|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|Immigration Manager||2200 Mission College Blvd||Santa Clara|CA|No|No|$201,094.00 |14807154205||14807154205||Immigration@intel.com|No
I-200-25353-496426|Certified|Intel Corporation|Business Analyst|15-1211.00|Y|2026-06-17|2029-06-16|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER||5000 W Chandler Blvd||Chandler|AZ|No|No|$106,746.00 |14807154205||14807154205||Immigration@intel.com|No
I-200-25353-496389|Certified|Intel Corporation|Graphics Software Engineer|15-1252.00|Y|2026-06-17|2029-06-16|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER||1900 Prairie City Rd||Folsom|CA|No|No|$124,592.00 |14807154205||14807154205||Immigration@intel.com|No
I-200-25353-496619|Certified|Intel Corporation|Information Security Analyst|15-1212.00|Y|2026-06-17|2029-06-16|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER||1900 Prairie City Rd||Folsom|CA|No|No|$110,178.00 |14807154205||14807154205||Immigration@intel.com|No
I-200-25353-496570|Certified|Intel Corporation|Graphics Software Engineer|15-1252.00|Y|2026-06-17|2029-06-16|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER||1900 Prairie City Rd||Folsom|CA|No|No|$124,592.00 |14807154205||14807154205||Immigration@intel.com|No
I-200-25353-496469|Certified|Intel Corporation|Software Engineer|15-1252.00|Y|2026-06-17|2029-06-16|1|1|0|0|0|0|0|2200 Mission College Blvd||Santa Clara|CA|Heider|Sheila|IMMIGRATION MANAGER||1900 Prairie City Rd||Folsom|CA|No|No|$124,592.00 |14807154205||14807154205||Immigration@intel.com|No
I-200-25350-485558|Certified|Microsoft Corporation|Technical Program Management|15-1299.09|Y|2026-06-17|2029-06-16|1|1|0|0|0|0|0|1 Microsoft Way|N/A|Redmond|WA|Covington|Lee Mary|Business Program Manager||One Microsoft Way||Redmond|WA|No|No|$139,298.00 |14258828080||14258828080||PAF@MICROSOFT.COM|No
I-201-25349-481532|Certified|Microsoft Corporation|Software Engineering|15-1252.00|Y|2026-06-16|2029-06-15|1|1|0|0|0|0|0|1 Microsoft Way|N/A|Redmond|WA|Covington|Lee Mary|Business Program Manager||One Microsoft Way||Redmond|WA|N/A|N/A|$149,240.00 |14258828080||14258828080||PAF@MICROSOFT.COM|N/A
I-200-25353-496777|Certified|SCS TECH SERVICES LLC|Software Developer|15-1252.00|Y|2026-06-15|2029-06-14|1|1|0|0|0|0|0|801 Springdale Dr|Suite 100 E|Exton|PA|Velpula|Charmila|President|Vanguard Group|60 Morehall Rd||Malvern|PA|No|No|$88,088.00 |14848813739||14848813739||Charmila_velpula@scstechservices.com|No
I-200-25349-481613|Certified|CGI Technologies and Solutions Inc|Project Manager|15-1299.09|Y|2026-06-13|2029-06-12|50|10|20|0|10|0|10|11325 Random Hills Road||Fairfax|VA|Grant|Tamara|U.S. Immigration Lead|Point32 Health|1 Wellness Way||Canton|MA|No|No|$115,627.00 |17032678000||12032126527||tamara.grant@cgi.com|No
