-[ RECORD 1 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25258-310079
job_title                      | Application Developer
employer_name                  | IBM Corporation
secondary_entity_business_name | California Department of Health Care Services
employer_phone                 | 19192541493
employer_poc_first_name        | Birgitta
employer_poc_last_name         | Mangs
employer_poc_email             | bkmangs@ibm.com
employer_poc_phone             | 19195431817
employer_poc_phone_ext         | 
worksite_address1              | 820 Stillwater Road
worksite_address2              | 
worksite_city                  | West Sacramento
worksite_county                | 
lawfirm_name_business_name     | Fragomen Del Rey Bernsen & Loewy LLP
employer_address1              | 4205 S Miami Blvd
employer_address2              | Bldg 502
employer_city                  | Durham
employer_state                 | NC
employer_postal_code           | 27703-9141
begin_date                     | 2026-03-17
end_date                       | 2029-03-16
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 1
employer_name                  | IBM Corporation
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25254-302898
job_title                      | PeopleSoft Technical Consultant
employer_name                  | ERP Analysts Inc
secondary_entity_business_name | Department of Financial Information System for California (FI$Cal)
employer_phone                 | 16147189222
employer_poc_first_name        | Manjusha
employer_poc_last_name         | Akkapeddi
employer_poc_email             | erpaimmigration@erpa.com
employer_poc_phone             | 16147189222
employer_poc_phone_ext         | 
worksite_address1              | 2000 Evergreen Street
worksite_address2              | 
worksite_city                  | Sacramento
worksite_county                | 
lawfirm_name_business_name     | Shihab Burke LLC
employer_address1              | 425 Metro Place North
employer_address2              | Suite 510
employer_city                  | Dublin
employer_state                 | OH
employer_postal_code           | 43017
begin_date                     | 2026-02-26
end_date                       | 2029-02-25
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | ERP Analysts Inc
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25254-304049
job_title                      | Transportation Engineer (Civil)
employer_name                  | California Department of Transportation
secondary_entity_business_name | 
employer_phone                 | 12792342334
employer_poc_first_name        | Lyudmila
employer_poc_last_name         | Hackett
employer_poc_email             | DHR.Immigration.services@dot.ca.gov
employer_poc_phone             | 12792342334
employer_poc_phone_ext         | 
worksite_address1              | 925 North Franklin Street
worksite_address2              | 
worksite_city                  | Fort Bragg
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 1727 30th Street
employer_address2              | 6th Floor, MS-90
employer_city                  | Sacramento
employer_state                 | CA
employer_postal_code           | 95816
begin_date                     | 2026-02-17
end_date                       | 2029-02-16
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | California Department of Transportation
soc_code                       | 17-2051.01
h_1b_dependent                 | No
-[ RECORD 4 ]------------------+-----------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25239-271370
job_title                      | Devops Engineer
employer_name                  | USM Business Systems Inc
secondary_entity_business_name | EDD State of California
employer_phone                 | 17032630855
employer_poc_first_name        | Asha
employer_poc_last_name         | Haridas
employer_poc_email             | immigration@usmsystems.com
employer_poc_phone             | 17032630855
