-[ RECORD 1 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-25345-474754
job_title                      | Data Systems Manager I
employer_name                  | Montana State University
secondary_entity_business_name | 
employer_phone                 | 14069943651
employer_poc_first_name        | Renee
employer_poc_last_name         | Lineback
employer_poc_email             | Internationaltax@montana.edu
employer_poc_phone             | 14069947926
employer_poc_phone_ext         | 
worksite_address1              | 910 Technology Blvd, PO Box 173240
worksite_address2              | 2nd Flr
worksite_city                  | Bozeman
worksite_county                | 
lawfirm_name_business_name     | Berry Appleman & Leiden LLP
employer_address1              | 47 Renne Library
employer_address2              | PO Box 172520
employer_city                  | Bozeman
employer_state                 | MT
employer_postal_code           | 59717
begin_date                     | 2026-06-01
end_date                       | 2029-05-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Montana State University
soc_code                       | 15-2051.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-25272-343034
job_title                      | Associate Professor of Nursing and Nursing Program Director
employer_name                  | Montana State University - Northern
secondary_entity_business_name | 
employer_phone                 | 14062653700
employer_poc_first_name        | Rebecca
employer_poc_last_name         | Farr
employer_poc_email             | rebecca.farr@msun.edu
employer_poc_phone             | 14062653568
employer_poc_phone_ext         | 
worksite_address1              | 300 W. 11th St.
worksite_address2              | Hagener Hall
worksite_city                  | Havre
worksite_county                | 
lawfirm_name_business_name     | Curray York & Associates LLC
employer_address1              | 300 W. 11th St.
employer_address2              | P.O. Box 7751
employer_city                  | Havre
employer_state                 | MT
employer_postal_code           | 59501
begin_date                     | 2026-02-08
end_date                       | 2029-02-07
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 1
employer_name                  | Montana State University - Northern
soc_code                       | 25-1072.00
h_1b_dependent                 | No
-[ RECORD 3 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-25360-511595
job_title                      | Assistant Professor Civil Engineering
employer_name                  | Montana State University
secondary_entity_business_name | 
employer_phone                 | 14069943651
employer_poc_first_name        | Renee
employer_poc_last_name         | Lineback
employer_poc_email             | Internationaltax@montana.edu
employer_poc_phone             | 14069947926
employer_poc_phone_ext         | 
worksite_address1              | Montana State University
worksite_address2              | PO Box 173900
worksite_city                  | Bozeman
worksite_county                | 
lawfirm_name_business_name     | Berry Appleman & Leiden LLP
employer_address1              | 47 Renne Library
employer_address2              | PO Box 172520
employer_city                  | Bozeman
employer_state                 | MT
employer_postal_code           | 59717
begin_date                     | 2026-01-13
end_date                       | 2029-01-12
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Montana State University
soc_code                       | 25-1032.00
h_1b_dependent                 | No
-[ RECORD 4 ]------------------+---------------------------------------------------------------------------------------
case_number                    | I-200-25268-334252
job_title                      | Assistant Professor of Agricultural Process Engineering
employer_name                  | Montana State University
secondary_entity_business_name | 
employer_phone                 | 14069943651
employer_poc_first_name        | Lola
employer_poc_last_name         | Norbury
employer_poc_email             | lola.norbury@montana.edu
employer_poc_phone             | 14069943598
employer_poc_phone_ext         | 
worksite_address1              | 334 Leon Johnson Hall
worksite_address2              | Montana State University
worksite_city                  | Bozeman
worksite_county                | 
lawfirm_name_business_name     | Berry Appleman & Leiden LLP
employer_address1              | 47 Renne Library
