-[ RECORD 1 ]------------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25155-053095
job_title                      | Software Engineer
employer_name                  | KBTS Technologies Inc
secondary_entity_business_name | State of Nevada - Office of Project Management (OPM)
employer_phone                 | 12483741230
employer_poc_first_name        | Radhika
employer_poc_last_name         | Kandikonda
employer_poc_email             | radhika@kbtstech.com
employer_poc_phone             | 12483741230
employer_poc_phone_ext         | 402
worksite_address1              | 3850 Arrowhead Dr.
worksite_address2              | 
worksite_city                  | Carson City
worksite_county                | CARSON CITY
lawfirm_name_business_name     | 
employer_address1              | 41461 West Eleven Mile Road
employer_address2              | 
employer_city                  | Novi
employer_state                 | MI
employer_postal_code           | 48375
begin_date                     | 2025-10-01
end_date                       | 2028-09-30
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | KBTS Technologies Inc
soc_code                       | 15-1252
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25106-872556
job_title                      | BUSINESS ANALYST 3
employer_name                  | TECH SMART SOLUTIONS LLC
secondary_entity_business_name | Nevada Department of Transportation
employer_phone                 | 15512270336
employer_poc_first_name        | VIKRAM
employer_poc_last_name         | ODEDARA
employer_poc_email             | ITEAM@TSSUS.NET
employer_poc_phone             | 15512270336
employer_poc_phone_ext         | 
worksite_address1              | 1263 S Stewart St
worksite_address2              | 
worksite_city                  | CARSON CITY
worksite_county                | WASHOE
lawfirm_name_business_name     | 
employer_address1              | 190 ROUTE 27 SUITE 107
employer_address2              | 
employer_city                  | EDISON
employer_state                 | NJ
employer_postal_code           | 08820
begin_date                     | 2025-10-01
end_date                       | 2028-09-30
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | TECH SMART SOLUTIONS LLC
soc_code                       | 15-2051.01
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25106-870493
job_title                      | BUSINESS PROCESS ANALYST
employer_name                  | TECH SMART SOLUTIONS LLC
secondary_entity_business_name | Nevada Department of Transportation
employer_phone                 | 15512270336
employer_poc_first_name        | VIKRAM
employer_poc_last_name         | ODEDARA
employer_poc_email             | ITEAM@TSSUS.NET
employer_poc_phone             | 15512270336
employer_poc_phone_ext         | 
worksite_address1              | 1263 S Stewart St,
worksite_address2              | 
worksite_city                  | Carson
worksite_county                | WASHOE
lawfirm_name_business_name     | 
employer_address1              | 190 ROUTE 27 SUITE 107
employer_address2              | 
employer_city                  | EDISON
employer_state                 | NJ
employer_postal_code           | 08820
begin_date                     | 2025-10-01
end_date                       | 2028-09-30
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | TECH SMART SOLUTIONS LLC
soc_code                       | 15-2051.01
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25258-308492
job_title                      | Management Analyst
employer_name                  | MAVEN COMPANIES INC
secondary_entity_business_name | Nevada Department of Transportation
employer_phone                 | 17198840102
employer_poc_first_name        | MANISH
employer_poc_last_name         | KOCHHAR
employer_poc_email             | MANISH@MAVENCO.COM
employer_poc_phone             | 17198840102
employer_poc_phone_ext         | 
worksite_address1              | 1263 S Stewart St
worksite_address2              | 
worksite_city                  | Carson City
worksite_county                | 
lawfirm_name_business_name     | Malik & Popiel PC
employer_address1              | 1155 Kelly Johnson Blvd
employer_address2              | Suite 111
employer_city                  | COLORADO SPRINGS
employer_state                 | CO
employer_postal_code           | 80920
begin_date                     | 2025-10-01
end_date                       | 2028-09-30
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 1
employer_name                  | MAVEN COMPANIES INC
soc_code                       | 13-1111.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25219-227897
job_title                      | Administrative Assistant 3
employer_name                  | State of Nevada
secondary_entity_business_name | 
employer_phone                 | 17756842720
employer_poc_first_name        | Alan
employer_poc_last_name         | Vance
employer_poc_email             | a.vance@lands.nv.gov
employer_poc_phone             | 17756842751
employer_poc_phone_ext         | 
worksite_address1              | 901 South Stewart Street
worksite_address2              | Suite 5003
worksite_city                  | Carson City
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 901 South Stewart Street
employer_address2              | Suite 5003
employer_city                  | Carson City
employer_state                 | NV
employer_postal_code           | 89701
begin_date                     | 2025-09-01
end_date                       | 2028-08-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | State of Nevada
soc_code                       | 43-6014.00
h_1b_dependent                 | No
-[ RECORD 6 ]------------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25218-224785
job_title                      | Administrative Assistant 3
employer_name                  | State of Nevada
secondary_entity_business_name | 
employer_phone                 | 17756842720
employer_poc_first_name        | Alan
employer_poc_last_name         | Vance
employer_poc_email             | a.vance@lands.nv.gov
employer_poc_phone             | 17756842751
employer_poc_phone_ext         | 
worksite_address1              | 901 South Stewart Street
worksite_address2              | Suite 5003
worksite_city                  | Carson City
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 901 South Stewart Street
employer_address2              | Suite 5003
employer_city                  | Carson City
employer_state                 | NV
employer_postal_code           | 89701
begin_date                     | 2025-08-29
end_date                       | 2028-08-28
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | State of Nevada
soc_code                       | 43-6014.00
h_1b_dependent                 | No
-[ RECORD 7 ]------------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25203-192986
job_title                      | PROJECT MANAGER
employer_name                  | MAVIN TECHNOLOGIES INC
secondary_entity_business_name | State of Nevada - Dept. of Motor Vehicles (DMV)
employer_phone                 | 13015919755
employer_poc_first_name        | NAGARAJU
employer_poc_last_name         | UMMADISETTY
employer_poc_email             | RAJ.UMMADI@MAVIN-TECH.COM
employer_poc_phone             | 13013661278
employer_poc_phone_ext         | 
worksite_address1              | 555 Wright way
worksite_address2              | 
worksite_city                  | Carson City
worksite_county                | 
lawfirm_name_business_name     | 
employer_address1              | 4 PROFESSIONAL DR.
employer_address2              | SUITE 149
employer_city                  | GAITHERSBURG
employer_state                 | MD
employer_postal_code           | 20879
begin_date                     | 2025-08-01
end_date                       | 2028-07-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 1
employer_name                  | MAVIN TECHNOLOGIES INC
soc_code                       | 15-1299.09
h_1b_dependent                 | Yes
-[ RECORD 8 ]------------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25003-592311
job_title                      | SOFTWARE DEVELOPER
employer_name                  | PREMIER IT SOLUTIONS LLC
secondary_entity_business_name | NEVADA DEPARTMENT OF EMPLOYMENT, TRAINING & REHABILITATION
employer_phone                 | 19722314747
employer_poc_first_name        | KRUTIKA
employer_poc_last_name         | AMIN
employer_poc_email             | HR@PREMIERITSOLUTIONS.COM
employer_poc_phone             | 19722314747
employer_poc_phone_ext         | 301
worksite_address1              | 1370 S CURRY ST
worksite_address2              | 
worksite_city                  | CARSON CITY
worksite_county                | CARSON CITY
lawfirm_name_business_name     | 
employer_address1              | 801 E CAMPBELL ROAD
employer_address2              | SUITE 270
employer_city                  | RICHARDSON
employer_state                 | TX
employer_postal_code           | 75081
begin_date                     | 2025-07-01
end_date                       | 2028-06-30
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | PREMIER IT SOLUTIONS LLC
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 9 ]------------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25003-592311
job_title                      | SOFTWARE DEVELOPER
employer_name                  | PREMIER IT SOLUTIONS LLC
secondary_entity_business_name | NEVADA DEPARTMENT OF EMPLOYMENT, TRAINING & REHABILITATION
employer_phone                 | 19722314747
employer_poc_first_name        | KRUTIKA
employer_poc_last_name         | AMIN
employer_poc_email             | HR@PREMIERITSOLUTIONS.COM
employer_poc_phone             | 19722314747
employer_poc_phone_ext         | 301
worksite_address1              | 1370 S CURRY ST
worksite_address2              | 
worksite_city                  | CARSON CITY
worksite_county                | CARSON CITY
lawfirm_name_business_name     | 
employer_address1              | 801 E CAMPBELL ROAD
employer_address2              | SUITE 270
employer_city                  | RICHARDSON
employer_state                 | TX
employer_postal_code           | 75081
begin_date                     | 2025-07-01
end_date                       | 2028-06-30
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | PREMIER IT SOLUTIONS LLC
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 10 ]-----------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-202-25094-834215
job_title                      | Technical Architect
employer_name                  | Novalink Solutions LLC
secondary_entity_business_name | State of Nevada
employer_phone                 | 14705672003
employer_poc_first_name        | Huu
employer_poc_last_name         | Phan
employer_poc_email             | reports@novalink-solutions.com
employer_poc_phone             | 14705672003
employer_poc_phone_ext         | 
worksite_address1              | 3850 Arrowhead Drive
worksite_address2              | 
worksite_city                  | Carson City
worksite_county                | CARSON CITY
lawfirm_name_business_name     | Malik & Popiel PC
employer_address1              | 1186 Satellite Blvd
employer_address2              | Suite 250
employer_city                  | Suwanee
employer_state                 | GA
employer_postal_code           | 30024
begin_date                     | 2025-04-11
end_date                       | 2028-04-10
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Novalink Solutions LLC
soc_code                       | 15-1252
h_1b_dependent                 | N/A
-[ RECORD 11 ]-----------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-202-25094-834261
job_title                      | Technical Architect
employer_name                  | Novalink Solutions LLC
secondary_entity_business_name | State of Nevada
employer_phone                 | 14705672003
employer_poc_first_name        | Huu
employer_poc_last_name         | Phan
employer_poc_email             | reports@novalink-solutions.com
employer_poc_phone             | 14705672003
employer_poc_phone_ext         | 
worksite_address1              | 3850 Arrowhead Drive
worksite_address2              | 
worksite_city                  | Carson City
worksite_county                | CARSON CITY
lawfirm_name_business_name     | Malik & Popiel PC
employer_address1              | 1186 Satellite Blvd
employer_address2              | Suite 250
employer_city                  | Suwanee
employer_state                 | GA
employer_postal_code           | 30024
begin_date                     | 2025-04-11
end_date                       | 2028-04-10
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 1
amended_petition               | 0
employer_name                  | Novalink Solutions LLC
soc_code                       | 15-1252
h_1b_dependent                 | N/A
-[ RECORD 12 ]-----------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-25126-944462
job_title                      | Software Engineer
employer_name                  | Ness USA Inc
secondary_entity_business_name | Clark County Election Department
employer_phone                 | 17247457100
employer_poc_first_name        | Thomas
employer_poc_last_name         | McLaughlin
employer_poc_email             | Thomas.McLaughlin@ness.com
employer_poc_phone             | 17247457100
employer_poc_phone_ext         | 
worksite_address1              | 965 Trade Dr
worksite_address2              | 
worksite_city                  | North Las Vegas
worksite_county                | CLARK
lawfirm_name_business_name     | 
employer_address1              | 400 Southpointe Boulevard, Southpointe Plaza 1
employer_address2              | Suite 230
employer_city                  | Canonsburg
employer_state                 | PA
employer_postal_code           | 15317
begin_date                     | 2025-06-01
end_date                       | 2028-03-14
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 1
employer_name                  | Ness USA Inc
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 13 ]-----------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24344-527110
job_title                      | SOFTWARE DEVELOPER
employer_name                  | SOFTTUNE TECHNOLOGIES INC
secondary_entity_business_name | NEVADA DEPARTMENT OF TRANSPORTATION
employer_phone                 | 13093244477
employer_poc_first_name        | PRATHYUSHA
employer_poc_last_name         | VALLURU
employer_poc_email             | Hr@softtunetech.com
employer_poc_phone             | 13093244477
employer_poc_phone_ext         | 
worksite_address1              | 6610 ULLOM DR
worksite_address2              | 
worksite_city                  | LAS VEGAS
worksite_county                | CLARK
lawfirm_name_business_name     | 
employer_address1              | 650 E DEVON AVE
employer_address2              | SUITE 155
employer_city                  | ITASCA
employer_state                 | IL
employer_postal_code           | 60143
begin_date                     | 2025-02-24
end_date                       | 2028-02-23
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | SOFTTUNE TECHNOLOGIES INC
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 14 ]-----------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24344-527110
job_title                      | SOFTWARE DEVELOPER
employer_name                  | SOFTTUNE TECHNOLOGIES INC
secondary_entity_business_name | NEVADA DEPARTMENT OF TRANSPORTATION
employer_phone                 | 13093244477
employer_poc_first_name        | PRATHYUSHA
employer_poc_last_name         | VALLURU
employer_poc_email             | Hr@softtunetech.com
employer_poc_phone             | 13093244477
employer_poc_phone_ext         | 
worksite_address1              | 6610 ULLOM DR
worksite_address2              | 
worksite_city                  | LAS VEGAS
worksite_county                | CLARK
lawfirm_name_business_name     | 
employer_address1              | 650 E DEVON AVE
employer_address2              | SUITE 155
employer_city                  | ITASCA
employer_state                 | IL
employer_postal_code           | 60143
begin_date                     | 2025-02-24
end_date                       | 2028-02-23
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | SOFTTUNE TECHNOLOGIES INC
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 15 ]-----------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24344-527110
job_title                      | SOFTWARE DEVELOPER
employer_name                  | SOFTTUNE TECHNOLOGIES INC
secondary_entity_business_name | NEVADA DEPARTMENT OF TRANSPORTATION
employer_phone                 | 13093244477
employer_poc_first_name        | PRATHYUSHA
employer_poc_last_name         | VALLURU
employer_poc_email             | Hr@softtunetech.com
employer_poc_phone             | 13093244477
employer_poc_phone_ext         | 
worksite_address1              | 6610 ULLOM DR
worksite_address2              | 
worksite_city                  | LAS VEGAS
worksite_county                | CLARK
lawfirm_name_business_name     | 
employer_address1              | 650 E DEVON AVE
employer_address2              | SUITE 155
employer_city                  | ITASCA
employer_state                 | IL
employer_postal_code           | 60143
begin_date                     | 2025-02-24
end_date                       | 2028-02-23
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | SOFTTUNE TECHNOLOGIES INC
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 16 ]-----------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24288-404797
job_title                      | Network Engineer
employer_name                  | COMTEK GLOBAL INC
secondary_entity_business_name | State of Nevada – Department of Transportation
employer_phone                 | 19082058990
employer_poc_first_name        | YOGENDRANATH
employer_poc_last_name         | PAPAGARI
employer_poc_email             | IMMIGRATION@CENTILLIONZ.COM
employer_poc_phone             | 19082058990
employer_poc_phone_ext         | 
worksite_address1              | 6610 S Ullom Drive
worksite_address2              | 
worksite_city                  | Las Vegas
worksite_county                | CLARK
lawfirm_name_business_name     | 
employer_address1              | 15 Corporate PL S
employer_address2              | SUITE 402
employer_city                  | Piscataway
employer_state                 | NJ
employer_postal_code           | 08854
begin_date                     | 2024-12-02
end_date                       | 2027-12-01
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 1
employer_name                  | COMTEK GLOBAL INC
soc_code                       | 15-1244.00
h_1b_dependent                 | Yes
-[ RECORD 17 ]-----------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24288-404797
job_title                      | Network Engineer
employer_name                  | COMTEK GLOBAL INC
secondary_entity_business_name | State of Nevada  Department of Transportation
employer_phone                 | 19082058990
employer_poc_first_name        | YOGENDRANATH
employer_poc_last_name         | PAPAGARI
employer_poc_email             | IMMIGRATION@CENTILLIONZ.COM
employer_poc_phone             | 19082058990
employer_poc_phone_ext         | 
worksite_address1              | 6610 S Ullom Drive
worksite_address2              | 
worksite_city                  | Las Vegas
worksite_county                | CLARK
lawfirm_name_business_name     | 
employer_address1              | 15 Corporate PL S
employer_address2              | SUITE 402
employer_city                  | Piscataway
employer_state                 | NJ
employer_postal_code           | 08854
begin_date                     | 2024-12-02
end_date                       | 2027-12-01
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 1
employer_name                  | COMTEK GLOBAL INC
soc_code                       | 15-1244.00
h_1b_dependent                 | Yes
-[ RECORD 18 ]-----------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24288-404797
job_title                      | Network Engineer
employer_name                  | COMTEK GLOBAL INC
secondary_entity_business_name | State of Nevada - Department of Transportation
employer_phone                 | 19082058990
employer_poc_first_name        | YOGENDRANATH
employer_poc_last_name         | PAPAGARI
employer_poc_email             | IMMIGRATION@CENTILLIONZ.COM
employer_poc_phone             | 19082058990
employer_poc_phone_ext         | 
worksite_address1              | 6610 S Ullom Drive
worksite_address2              | 
worksite_city                  | Las Vegas
worksite_county                | CLARK
lawfirm_name_business_name     | 
employer_address1              | 15 Corporate PL S
employer_address2              | SUITE 402
employer_city                  | Piscataway
employer_state                 | NJ
employer_postal_code           | 08854
begin_date                     | 2024-12-02
end_date                       | 2027-12-01
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 1
employer_name                  | COMTEK GLOBAL INC
soc_code                       | 15-1244
h_1b_dependent                 | Yes
-[ RECORD 19 ]-----------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24164-103834
job_title                      | Database Administrator
employer_name                  | Appridat Solutions LLC
secondary_entity_business_name | State of Nevada,Department Of Public Safety
employer_phone                 | 16786486191
employer_poc_first_name        | Anj
employer_poc_last_name         | Balusu
employer_poc_email             | anj@appridat.com
employer_poc_phone             | 16786486191
employer_poc_phone_ext         | 503
worksite_address1              | 1445 Old Hot Springs Road
worksite_address2              | 
worksite_city                  | Carson City
worksite_county                | CARSON CITY
lawfirm_name_business_name     | Law Offices of Priti Tripathi PC
employer_address1              | 5655 Peachtree Parkway
employer_address2              | Suite 207
employer_city                  | Peachtree Corners
employer_state                 | GA
employer_postal_code           | 30092
begin_date                     | 2024-11-06
end_date                       | 2027-11-05
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Appridat Solutions LLC
soc_code                       | 15-1242.00
h_1b_dependent                 | Yes
-[ RECORD 20 ]-----------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24164-103834
job_title                      | Database Administrator
employer_name                  | Appridat Solutions LLC
secondary_entity_business_name | State of Nevada,Department Of Public Safety
employer_phone                 | 16786486191
employer_poc_first_name        | Anj
employer_poc_last_name         | Balusu
employer_poc_email             | anj@appridat.com
employer_poc_phone             | 16786486191
employer_poc_phone_ext         | 503
worksite_address1              | 1445 Old Hot Springs Road
worksite_address2              | 
worksite_city                  | Carson City
worksite_county                | CARSON CITY
lawfirm_name_business_name     | Law Offices of Priti Tripathi PC
employer_address1              | 5655 Peachtree Parkway
employer_address2              | Suite 207
employer_city                  | Peachtree Corners
employer_state                 | GA
employer_postal_code           | 30092
begin_date                     | 2024-11-06
end_date                       | 2027-11-05
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Appridat Solutions LLC
soc_code                       | 15-1242.00
h_1b_dependent                 | Yes
-[ RECORD 21 ]-----------------+---------------------------------------------------------------------------------------------------------------------
case_number                    | I-200-24295-421178
job_title                      | Applications Developer
employer_name                  | CSXTech Inc
secondary_entity_business_name | State of Nevada - Division of Welfare and Supportive Services
employer_phone                 | 14694434700
employer_poc_first_name        | Hari
employer_poc_last_name         | Kancharla
employer_poc_email             | Immigration@csxtech.com
employer_poc_phone             | 14694434700
employer_poc_phone_ext         | 
worksite_address1              | 1470 College Parkway
worksite_address2              | 
worksite_city                  | Carson City
worksite_county                | WASHOE
lawfirm_name_business_name     | 
employer_address1              | 4975 Preston Park Blvd
employer_address2              | Suite 55
employer_city                  | Plano
employer_state                 | TX
employer_postal_code           | 75093
