-[ RECORD 1 ]------------------+------------------------------------------------------------------------------------------
case_number                    | I-200-25336-450502
job_title                      | Sr. Data Engineer
employer_name                  | Data Systems Integration Group Inc
secondary_entity_business_name | Bureau of Workers Compensation (State of Ohio)
employer_phone                 | 16143444600
employer_poc_first_name        | Chandrashekar
employer_poc_last_name         | Chalumalla
employer_poc_email             | chad@dsig-inc.com
employer_poc_phone             | 16143444600
employer_poc_phone_ext         | 
worksite_address1              | 30 W. Spring St
worksite_address2              | 17th Floor
worksite_city                  | Columbus
worksite_county                | 
lawfirm_name_business_name     | Shihab Burke LLC
employer_address1              | 485 Metro Place South
employer_address2              | Suite 101
employer_city                  | Dublin
employer_state                 | OH
employer_postal_code           | 43017
begin_date                     | 2026-05-29
end_date                       | 2029-05-28
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Data Systems Integration Group Inc
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+------------------------------------------------------------------------------------------
case_number                    | I-200-25330-441275
job_title                      | SOFTWARE DEVELOPER
employer_name                  | DEVCARE SOLUTIONS LIMITED
secondary_entity_business_name | STATE OF OHIO DEPARTMENT OF COMMERCE
employer_phone                 | 16142212277
employer_poc_first_name        | JANAKI
employer_poc_last_name         | THIRUMALAIAPPAN
employer_poc_email             | JANAKI@DEVCARE.COM
employer_poc_phone             | 16142212277
employer_poc_phone_ext         | 
worksite_address1              | 6606 TUSSING ROAD
worksite_address2              | 
worksite_city                  | REYNOLDSBURG
worksite_county                | 
lawfirm_name_business_name     | MADAN & SAIGAL LLC
employer_address1              | 579 EXECUTIVE CAMPUS DRIVE, SUITE 370
employer_address2              | 
employer_city                  | WESTERVILLE
employer_state                 | OH
employer_postal_code           | 43082
begin_date                     | 2026-05-08
end_date                       | 2029-05-07
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | DEVCARE SOLUTIONS LIMITED
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+------------------------------------------------------------------------------------------
case_number                    | I-200-25311-389599
job_title                      | Software Developer
employer_name                  | Data Systems Integration Group Inc
secondary_entity_business_name | Department of Children and Youth
employer_phone                 | 16143444600
employer_poc_first_name        | Chandrashekar
employer_poc_last_name         | Chalumalla
employer_poc_email             | chad@dsig-inc.com
employer_poc_phone             | 16143444600
employer_poc_phone_ext         | 
worksite_address1              | 246 N High St
worksite_address2              | 8th Fl
worksite_city                  | Columbus
worksite_county                | 
lawfirm_name_business_name     | Shihab Burke LLC
employer_address1              | 485 Metro Place South
employer_address2              | Suite 101
employer_city                  | Dublin
employer_state                 | OH
employer_postal_code           | 43017
begin_date                     | 2026-05-08
end_date                       | 2029-05-07
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 1
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Data Systems Integration Group Inc
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+------------------------------------------------------------------------------------------
case_number                    | I-200-25323-421189
job_title                      | Clinical Lab Professional 2
employer_name                  | The Ohio State University
secondary_entity_business_name | 
employer_phone                 | 16142926101
employer_poc_first_name        | Carina
employer_poc_last_name         | Hansen
employer_poc_email             | h1bprocessing@osu.edu
employer_poc_phone             | 16142926101
employer_poc_phone_ext         | 
worksite_address1              | 460 W. 10th Avenue
worksite_address2              | 
worksite_city                  | Columbus
worksite_county                | 
