-[ RECORD 1 ]------------------+------------------------------------------------------------------------------------------------
case_number                    | I-200-22039-887035
job_title                      | IT Consultant (Software QA Engineer)
full_time_position             | Y
employer_name                  | IT Division Inc
secondary_entity_business_name | Remote Work From Home for State of Minnesota - DHS
employer_poc_email             | immigration@apeiro.us
employer_poc_phone             | 19496883995
employer_poc_first_name        | Sheetal
employer_poc_last_name         | Zumale
worksite_address1              | 15153 Elysium Ave
worksite_address2              | 
worksite_city                  | Apple Valley
worksite_county                | DAKOTA
lawfirm_name_business_name     | Mannam & Associates LLC
employer_address1              | 410 Peachtree Parkway
employer_address2              | Suite 4245
employer_city                  | Cumming
employer_state                 | GA
employer_postal_code           | 30041
begin_date                     | 2022-08-01
end_date                       | 2025-07-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
soc_code                       | 15-1199.01
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+------------------------------------------------------------------------------------------------
case_number                    | I-200-22046-903359
job_title                      | IT Consultant (Software QA Engineer)
full_time_position             | Y
employer_name                  | IT Division Inc
secondary_entity_business_name | Remote Work From Home for State of Minnesota - DHS
employer_poc_email             | immigration@apeiro.us
employer_poc_phone             | 19496883995
employer_poc_first_name        | Sheetal
employer_poc_last_name         | Zumale
worksite_address1              | 15153 Elysium Ave
worksite_address2              | 
worksite_city                  | Apple Valley
worksite_county                | DAKOTA
lawfirm_name_business_name     | Mannam & Associates LLC
employer_address1              | 9170 Irvine Center Drive
employer_address2              | Suite 200
employer_city                  | Irvine
employer_state                 | CA
employer_postal_code           | 92618
begin_date                     | 2022-08-01
end_date                       | 2025-07-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
soc_code                       | 15-1199.01
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+------------------------------------------------------------------------------------------------
case_number                    | I-200-22036-881014
job_title                      | IT Consultant (Software QA Engineer)
full_time_position             | Y
employer_name                  | IT Division Inc
secondary_entity_business_name | Remote Work From Home for State of Minnesota - DHS
employer_poc_email             | immigration@apeiro.us
employer_poc_phone             | 19496883995
employer_poc_first_name        | Sheetal
employer_poc_last_name         | Zumale
worksite_address1              | 15153 Elysium Ave
worksite_address2              | 
worksite_city                  | Apple Valley
worksite_county                | DAKOTA
lawfirm_name_business_name     | Mannam & Associates LLC
