-[ RECORD 1 ]------------------+---------------------------------------------------------------------------------
case_number                    | I-200-24003-612924
job_title                      | Salesforce Developer
full_time_position             | Y
employer_name                  | Excelon Solutions LLC
secondary_entity_business_name | (Work from Home) Department of Veterans Affairs
employer_poc_email             | immigration@excelonsolutions.com
employer_poc_phone             | 19895280914
employer_poc_first_name        | Chandhana
employer_poc_last_name         | Busireddy
worksite_address1              | 510 Memorial Blvd
worksite_address2              | Apt 3
worksite_city                  | Bayonne
worksite_county                | HUDSON
lawfirm_name_business_name     | 
employer_address1              | 2625 N Josey Ln
employer_address2              | Ste 322
employer_city                  | Carrollton
employer_state                 | TX
employer_postal_code           | 75007
begin_date                     | 2024-02-01
end_date                       | 2027-01-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+---------------------------------------------------------------------------------
case_number                    | I-200-23235-289058
job_title                      | FULL STACK DEVELOPER
full_time_position             | Y
employer_name                  | HCL GLOBAL SYSTEMS INC
secondary_entity_business_name | DEPARTMENT OF SOCIAL SERVICES - NYC (REMOTE)
employer_poc_email             | GADDE@HCLGLOBAL.COM
employer_poc_phone             | 12484730720
employer_poc_first_name        | DURGA PRASAD
employer_poc_last_name         | GADDE
worksite_address1              | 30 REDSTONE DRIVE
worksite_address2              | 
worksite_city                  | PARSIPPANY
worksite_county                | MORRIS
lawfirm_name_business_name     | 
employer_address1              | 24543 INDOPLEX CIRCLE
employer_address2              | SUITE 220
employer_city                  | FARMINGTON HILLS
employer_state                 | MI
employer_postal_code           | 48335
begin_date                     | 2023-08-31
end_date                       | 2026-08-30
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 1
amended_petition               | 0
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+---------------------------------------------------------------------------------
case_number                    | I-200-24229-273570
job_title                      | SOFTWARE DEVELOPER
full_time_position             | Y
employer_name                  | HIGHDATA SOFTWARE CORPORATION
secondary_entity_business_name | DMHAS, DOH STATE OF NEW JERSEY (REMOTE)
employer_poc_email             | ANISH@HIGHDATA.COM
employer_poc_phone             | 16036852300
employer_poc_first_name        | SUBRAMANIYAM
employer_poc_last_name         | SEETHA RAMAN
worksite_address1              | 53 NORTH MILL ROAD
worksite_address2              | 
worksite_city                  | PRINCETON
worksite_county                | MERCER
lawfirm_name_business_name     | 
employer_address1              | 45 STILES ROAD
employer_address2              | SUITE 212
employer_city                  | SALEM
employer_state                 | NH
employer_postal_code           | 03079
begin_date                     | 2024-08-16
end_date                       | 2025-09-30
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 1
soc_code                       | 15-1299.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+---------------------------------------------------------------------------------
case_number                    | I-200-22309-571429
job_title                      | Business Analyst
full_time_position             | Y
employer_name                  | ECCLESIASTES INC
secondary_entity_business_name | Department of Education, NYC (remotely from home office)
employer_poc_email             | hr@eccles.digital
employer_poc_phone             | 13024708343
employer_poc_first_name        | Venkat
employer_poc_last_name         | MANDA
worksite_address1              | 210 Hopkins Avenue
worksite_address2              | Apt 2
worksite_city                  | Jersey City
worksite_county                | HUDSON
lawfirm_name_business_name     | LAW OFFICES OF MADHAVI SAMUDRALA,P.C.
employer_address1              | 200 CONTINENTAL DR.
employer_address2              | SUITE 401
employer_city                  | NEWARK
employer_state                 | DE
employer_postal_code           | 19713-4337
begin_date                     | 2022-11-14
end_date                       | 2025-11-13
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 1
soc_code                       | 15-2031.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+---------------------------------------------------------------------------------
case_number                    | I-200-25189-157456
job_title                      | Dot .Net Developer
full_time_position             | Y
employer_name                  | Aroopa Inc
secondary_entity_business_name | Louisiana Department of Public Safety /Remote
employer_poc_email             | srini@aroopatech.com
employer_poc_phone             | 17325820699
employer_poc_first_name        | Srinivasan
employer_poc_last_name         | Radhakrishnan
worksite_address1              | 46 Dennis Court
worksite_address2              | 
worksite_city                  | Hightstown
