-[ RECORD 1 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-24198-199386
job_title                      | Software Developer
full_time_position             | Y
employer_name                  | APPLAB SYSTEMS INC
secondary_entity_business_name | Department Of Administration Wisconsin (Remote)
employer_poc_email             | IMMIGRATION@APPLABSYSTEMS.COM
employer_poc_phone             | 17322504672
employer_poc_first_name        | SRINIVAS
employer_poc_last_name         | MUPPALLA
worksite_address1              | 9993 W North Ave
worksite_address2              | Apt 129
worksite_city                  | Milwaukee
worksite_county                | MILWAUKEE
lawfirm_name_business_name     | 
employer_address1              | 4365 ROUTE 1 SOUTH
employer_address2              | SUITE 105
employer_city                  | PRINCETON
employer_state                 | NJ
employer_postal_code           | 08540
begin_date                     | 2025-01-01
end_date                       | 2027-12-31
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-24031-679363
job_title                      | Data Warehouse Developer II
full_time_position             | Y
employer_name                  | Intone Networks Inc
secondary_entity_business_name | Department of Workforce Development(Working Remotely)
employer_poc_email             | sailaja@intonenetworks.com
employer_poc_phone             | 19089307189
employer_poc_first_name        | Sailaja
employer_poc_last_name         | Allu
worksite_address1              | 248 E Hill Pkwy
worksite_address2              | Apartment 101
worksite_city                  | Madison
worksite_county                | DANE
lawfirm_name_business_name     | Fragomen Del Rey Bernsen & Loewy LLP
employer_address1              | 10 Austin Avenue
employer_address2              | 
employer_city                  | Iselin
employer_state                 | NJ
employer_postal_code           | 08830
begin_date                     | 2024-04-19
end_date                       | 2027-04-18
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
soc_code                       | 15-1243.01
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-24018-647879
job_title                      | Software Engineer
full_time_position             | Y
employer_name                  | Talent IT Services Inc
secondary_entity_business_name | Remote work from Residence for Wisconsin Department of Children and Families
employer_poc_email             | suvarchala@ittalents.com
employer_poc_phone             | 18606435307
employer_poc_first_name        | Rajitha
employer_poc_last_name         | Galva
worksite_address1              | 3140 Prospect Dr
worksite_address2              | 
worksite_city                  | Sun Prairie
worksite_county                | DANE
lawfirm_name_business_name     | IMM Laws
employer_address1              | 776 N. Main St.
employer_address2              | 2nd Floor
employer_city                  | Manchester
employer_state                 | CT
employer_postal_code           | 06042
begin_date                     | 2024-06-29
end_date                       | 2027-06-28
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-25150-035413
job_title                      | Software Engineer
full_time_position             | Y
employer_name                  | Lakshya Technologies Inc
secondary_entity_business_name | State of Wisconsin - Dept of Justice (remote address)
employer_poc_email             | hr@lakshya-tech.com
employer_poc_phone             | 13262141397
employer_poc_first_name        | Akshara
employer_poc_last_name         | Jonna
worksite_address1              | 2400 E Bradford Avenue
worksite_address2              | 
worksite_city                  | Milwaukee
worksite_county                | MILWAUKEE
lawfirm_name_business_name     | John Clement PLC
employer_address1              | 625 Mary Ln
employer_address2              | 
employer_city                  | Miamisburg
employer_state                 | OH
employer_postal_code           | 45342
begin_date                     | 2025-10-01
end_date                       | 2028-09-30
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
soc_code                       | 15-1252
h_1b_dependent                 | No
-[ RECORD 5 ]------------------+-----------------------------------------------------------------------------
case_number                    | I-200-24142-020616
job_title                      | SR. MAINFRAME DEVELOPER
full_time_position             | Y
employer_name                  | HCL GLOBAL SYSTEMS INC
secondary_entity_business_name | WISCONSIN DEPARTMENT OF EMPLOYEE TRUST FUNDS (ETF) (REMOTE)
employer_poc_email             | GADDE@HCLGLOBAL.COM
employer_poc_phone             | 12484730720
employer_poc_first_name        | DURGA PRASAD
employer_poc_last_name         | GADDE
worksite_address1              | 436 TAWNY ELM PARKWAY
worksite_address2              | 
worksite_city                  | VERONA
worksite_county                | DANE
lawfirm_name_business_name     | 
employer_address1              | 24543 INDOPLEX CIRCLE
employer_address2              | SUITE 220
employer_city                  | FARMINGTON HILLS
employer_state                 | MI
employer_postal_code           | 48335
begin_date                     | 2024-11-09
end_date                       | 2027-11-08
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes

