-[ RECORD 1 ]------------------+-----------------------------------------------------
case_number                    | I-200-25213-215104
job_title                      | Civil Engineer I  Construction & Structures
employer_name                  | State of Vermont
secondary_entity_business_name | 
employer_phone                 | 18025952382
employer_poc_first_name        | Seth
employer_poc_last_name         | Hisman
employer_poc_email             | seth.hisman@vermont.gov
employer_poc_phone             | 18025952382
employer_poc_phone_ext         | 
worksite_address1              | 219 North Main Street
worksite_address2              | 
worksite_city                  | Barre
worksite_county                | 
lawfirm_name_business_name     | Law Office of Sidney Collier PLC
employer_address1              | 219 North Main Street
employer_address2              | 
employer_city                  | Barre
employer_state                 | VT
employer_postal_code           | 05641
begin_date                     | 2025-08-03
end_date                       | 2028-08-02
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | State of Vermont
soc_code                       | 17-2051.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+-----------------------------------------------------
case_number                    | I-200-24127-960859
job_title                      | Business Analyst
employer_name                  | TECH MAHINDRA (AMERICAS) INC
secondary_entity_business_name | Department of Liquor and Lottery State of Vermont
employer_phone                 | 19732169008
employer_poc_first_name        | ULPA
employer_poc_last_name         | SHUKLA
employer_poc_email             | LCAMOVEMENT@TECHMAHINDRA.COM
employer_poc_phone             | 19732169008
employer_poc_phone_ext         | 
worksite_address1              | 1311 US Route 302, Suite 100
worksite_address2              | 
worksite_city                  | BARRE
worksite_county                | WASHINGTON
lawfirm_name_business_name     | 
employer_address1              | 500 HILLS DRIVE
employer_address2              | SUITE 200A
employer_city                  | BEDMINSTER
employer_state                 | NJ
employer_postal_code           | 07921
begin_date                     | 2024-10-01
end_date                       | 2027-09-30
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | TECH MAHINDRA (AMERICAS) INC
soc_code                       | 13-1111.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+-----------------------------------------------------
case_number                    | I-200-24163-094063
job_title                      | Assistant Director of Multilingual Student Services
employer_name                  | Vermont State University
secondary_entity_business_name | 
employer_phone                 | 18024681207
employer_poc_first_name        | Gina
employer_poc_last_name         | Kelley
employer_poc_email             | Gina.Kelley@vermontstate.edu
employer_poc_phone             | 18024681207
employer_poc_phone_ext         | 
worksite_address1              | Vermont State University, Castleton Campus
worksite_address2              | 62 Alumni Drive
worksite_city                  | Castleton
worksite_county                | RUTLAND
lawfirm_name_business_name     | Dinse PC
employer_address1              | 62 Alumni Drive
employer_address2              | 
employer_city                  | Castleton
employer_state                 | VT
employer_postal_code           | 05735
begin_date                     | 2024-07-08
end_date                       | 2027-07-07
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Vermont State University
soc_code                       | 25-1123.00
h_1b_dependent                 | No
-[ RECORD 4 ]------------------+-----------------------------------------------------
case_number                    | I-200-24050-729893
job_title                      | ORACLE DEVELOPER
employer_name                  | INVICTUS INFOTECH LLC
secondary_entity_business_name | VIRGINIA DEPARTMENT OF HEALTH
employer_phone                 | 17324047393
employer_poc_first_name        | KISHORE
employer_poc_last_name         | CHINTHAKUNTA
employer_poc_email             | RAO@INVICTUSINFOTECH.COM
employer_poc_phone             | 17324047393
employer_poc_phone_ext         | 
worksite_address1              | 109 GOVERNOR STREET
worksite_address2              | 
worksite_city                  | RICHMOND
worksite_county                | RICHMOND
lawfirm_name_business_name     | 
employer_address1              | 200 MIDDLESEX ESSEX TPK
employer_address2              | STE 306C
employer_city                  | ISELIN
employer_state                 | NJ
employer_postal_code           | 08830
begin_date                     | 2024-07-01
end_date                       | 2027-06-30
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | INVICTUS INFOTECH LLC
soc_code                       | 15-1242.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+-----------------------------------------------------
case_number                    | I-200-24101-875332
job_title                      | Senior Technical and Application Support Specialist
employer_name                  | VERMONT STATE COLLEGES
secondary_entity_business_name | 
employer_phone                 | 18026540527
employer_poc_first_name        | Mary
employer_poc_last_name         | Brodsky
employer_poc_email             | Mary.Brodsky@ccv.edu
employer_poc_phone             | 18026540527
employer_poc_phone_ext         | 
worksite_address1              | Community College of Vermont, Winooski Campus
worksite_address2              | 1 Abenaki Way
worksite_city                  | Winooski
worksite_county                | CHITTENDEN
lawfirm_name_business_name     | DINSE PC
employer_address1              | 575 Stone Cutters Way
employer_address2              | P.O. Box 7
employer_city                  | Montpelier
employer_state                 | VT
employer_postal_code           | 05601
begin_date                     | 2024-05-24
end_date                       | 2027-05-23
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | VERMONT STATE COLLEGES
soc_code                       | 15-1244.00
h_1b_dependent                 | No
-[ RECORD 6 ]------------------+-----------------------------------------------------
case_number                    | I-200-24092-845833
job_title                      | Senior Technical and Application Support Specialist
employer_name                  | VERMONT STATE COLLEGES, Community College of Vermont
secondary_entity_business_name | 
employer_phone                 | 18026540527
employer_poc_first_name        | Mary
employer_poc_last_name         | Brodsky
employer_poc_email             | Mary.Brodsky@ccv.edu
employer_poc_phone             | 18026540527
employer_poc_phone_ext         | 
worksite_address1              | 1 Abenaki Way
worksite_address2              | 
worksite_city                  | Winooski
worksite_county                | CHITTENDEN
lawfirm_name_business_name     | DINSE PC
employer_address1              | 1 Abenaki Way
employer_address2              | Winooski Campus
employer_city                  | Winooski
employer_state                 | VT
employer_postal_code           | 05404
begin_date                     | 2024-05-24
end_date                       | 2027-05-23
total_worker_positions         | 1
new_employment                 | 1
continued_employment           | 0
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | VERMONT STATE COLLEGES, Community College of Vermont
soc_code                       | 15-1244.00
h_1b_dependent                 | No
-[ RECORD 7 ]------------------+-----------------------------------------------------
case_number                    | I-200-24036-692831
job_title                      | Lead INSTITUTIONAL RESEARCH ANALYST
employer_name                  | VERMONT STATE COLLEGES
secondary_entity_business_name | 
employer_phone                 | 18022243011
employer_poc_first_name        | Sarah
employer_poc_last_name         | Potter
employer_poc_email             | sarah.potter@vsc.edu
employer_poc_phone             | 18022799622
employer_poc_phone_ext         | 
worksite_address1              | 575 Stone Cutters Way
worksite_address2              | P.O. Box 7
worksite_city                  | Montpelier
worksite_county                | MONTPELIER CITY
lawfirm_name_business_name     | DINSE PC
employer_address1              | 575 STONE CUTTERS WAY
employer_address2              | PO BOX 7
employer_city                  | MONTPELIER
employer_state                 | VT
employer_postal_code           | 05601
begin_date                     | 2024-04-23
end_date                       | 2027-04-22
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | VERMONT STATE COLLEGES
soc_code                       | 15-2041.00
h_1b_dependent                 | No
-[ RECORD 8 ]------------------+-----------------------------------------------------
case_number                    | I-200-23223-259716
job_title                      | Assistant Professor of Nursing
employer_name                  | Vermont State University
secondary_entity_business_name | 
employer_phone                 | 18024681207
employer_poc_first_name        | Gina
employer_poc_last_name         | Kelley
employer_poc_email             | Gina.Kelley@vermontstate.edu
employer_poc_phone             | 18024681207
employer_poc_phone_ext         | 
worksite_address1              | 62 Alumni Drive
worksite_address2              | 
worksite_city                  | Castleton
worksite_county                | RUTLAND
lawfirm_name_business_name     | Dinse PC
employer_address1              | 62 Alumni Drive
employer_address2              | 
employer_city                  | Castleton
employer_state                 | VT
employer_postal_code           | 05735
begin_date                     | 2023-08-25
end_date                       | 2026-08-24
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Vermont State University
soc_code                       | 25-1072.00
h_1b_dependent                 | No
-[ RECORD 9 ]------------------+-----------------------------------------------------
case_number                    | I-200-23223-259716
job_title                      | Assistant Professor of Nursing
employer_name                  | Vermont State University
secondary_entity_business_name | 
employer_phone                 | 18024681207
employer_poc_first_name        | Gina
employer_poc_last_name         | Kelley
employer_poc_email             | Gina.Kelley@vermontstate.edu
employer_poc_phone             | 18024681207
employer_poc_phone_ext         | 
worksite_address1              | 62 Alumni Drive
worksite_address2              | 
worksite_city                  | Castleton
worksite_county                | RUTLAND
lawfirm_name_business_name     | Dinse PC
employer_address1              | 62 Alumni Drive
employer_address2              | 
employer_city                  | Castleton
employer_state                 | VT
employer_postal_code           | 05735
begin_date                     | 2023-08-25
end_date                       | 2026-08-24
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Vermont State University
soc_code                       | 25-1072.00
h_1b_dependent                 | No
-[ RECORD 10 ]-----------------+-----------------------------------------------------
case_number                    | I-200-23223-259716
job_title                      | Assistant Professor of Nursing
employer_name                  | Vermont State University
secondary_entity_business_name | 
employer_phone                 | 18024681207
employer_poc_first_name        | Gina
employer_poc_last_name         | Kelley
employer_poc_email             | Gina.Kelley@vermontstate.edu
employer_poc_phone             | 18024681207
employer_poc_phone_ext         | 
worksite_address1              | 62 Alumni Drive
worksite_address2              | 
worksite_city                  | Castleton
worksite_county                | RUTLAND
lawfirm_name_business_name     | Dinse PC
employer_address1              | 62 Alumni Drive
employer_address2              | 
employer_city                  | Castleton
employer_state                 | VT
employer_postal_code           | 05735
begin_date                     | 2023-08-25
end_date                       | 2026-08-24
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Vermont State University
soc_code                       | 25-1072.00
h_1b_dependent                 | No
-[ RECORD 11 ]-----------------+-----------------------------------------------------
case_number                    | I-200-23223-259716
job_title                      | Assistant Professor of Nursing
employer_name                  | Vermont State University
secondary_entity_business_name | 
employer_phone                 | 18024681207
employer_poc_first_name        | Gina
employer_poc_last_name         | Kelley
employer_poc_email             | Gina.Kelley@vermontstate.edu
employer_poc_phone             | 18024681207
employer_poc_phone_ext         | 
worksite_address1              | 62 Alumni Drive
worksite_address2              | 
worksite_city                  | Castleton
worksite_county                | RUTLAND
lawfirm_name_business_name     | Dinse PC
employer_address1              | 62 Alumni Drive
employer_address2              | 
employer_city                  | Castleton
employer_state                 | VT
employer_postal_code           | 05735
begin_date                     | 2023-08-25
end_date                       | 2026-08-24
total_worker_positions         | 1
new_employment                 | 0
continued_employment           | 1
change_previous_employment     | 0
new_concurrent_employment      | 0
change_employer                | 0
amended_petition               | 0
employer_name                  | Vermont State University
soc_code                       | 25-1072
h_1b_dependent                 | No

